,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
0,porque es alegre,si porque canta,una bola llena de pelos,muchos pero,de papel,brillosas,helado,calentita,despacito,rápido,que no va a ver,porque no va haber ojos miel,si puede haber,si puede haber collar de perlas,no puede haber,no puede haber escobas de cristal,si puede haber,si puede haber comida salada,si puede haber,si puede haber,no puede haber,no puede lápiz sin sabor,si puede haber,si puede haber acercan los hornos,si lo hace,si puede seria el tren,no va a ser,no pueden correr los días
1,no porque las pelotas no cantan,que su hermano grita mucho,mi vecina porque que se,es una pelota secreta porque que se,se hace muy cuidadosa,bonitas de muchos colores,rojos con sangre,0,0,que van muy rápido los segundos y el día,que los ojos son brillantes,porque es cuando tienes los ojos brillantes,un collar muy costoso,porque si los tienen,una escoba,porque no existe,cuando se le hecha mucha sal,cuando le hechas mucha sal y lo comes esta salado,un abrazo suave,por que lo puedes dar un abrazo suave,que el lápiz tiene sabor,no ni modo que te lo comas,que caminan,no no caminan y no se acercan,que va viajando,que lleva pasajeros el tren,que los días vuelan,que pasa muy rápido los días
2,si pelota la que le platico,0,que es una pelota,porque,que un papel,que es dorado,que fríos es un papel,una sonrisa tibia,el lento,segundos vuelan,ojos de miel,por que crees,nos,porque nos,pos si que tiene,por si crees,nos,por que crees,nos,porque crees,por si,nos,por no,por que crees,por si,por si tiene,nos,nos
3,no porque no existe una pelota que canta,que mi hermano habla y llora mucho,mi cabello porque cuando te peinas te puedes hacer chinos,el estomago porque es un poquito duro,suave y con mucho papel,bonitas y con diferentes colores,rojos asquerosos,bonita y alegre,que es muy lento,que el tiempo va muy rápido,que alguien tiene los ojos muy hermosos,creo que es posible porque alguien puede tener los ojos muy hermosos,que hay collares de perlas,si es posible porque si hay collares de perlas,porque hay escobas de cristal,no creo que sea posible porque no hay escobas de cristal,que le puedes echar mucha sal a tu comida,creo que es posible porque hay cosas saladas,que tu quieres darle un abrazo a alguien,creo que si es posible porque puedes dar suaves abrazos,que el lápiz no sabe rico,creo que si es posible porque el lápiz no tiene sabor,que los hornos no se pueden mover solos,creo que no es posible porque el horno no se mueve solo,que el tren se mueve,creo que si es posible porque el tren se mueve,que el tiempo pasa muy rápido,creo que si es posible por que el tiempo es muy rápido
4,no porque una pelota no puede hablar,porque es muy travieso o llora mucho,se le cae el pelo o porque tiene mucho pelo,que se porta muy bien,es suave,son amarillos y parecen girasoles,blancos o azules,pues normal,se tarda,que pierdes tiempo,que los tiene de miel los ojos,porque eso no existe,un collar de perlas hermoso,porque eso lo encuentran en la playa,es una escoba se rompería,seria cara y costaría mucho,comida salada es buena,pero hace daño,que alguien te da un abrazo en una almohada,por que es real lo puede intentar,un lápiz,un lápiz tiene sabor a madera,un te come no,porque un horno no camina,es real,pues un tren es viajo posible todavía funcione,los días corren,los días pasan
5,no porque las pelotas no cantan,sus hermanos gritan mucho,un oso un lobo son animales que necesitan su pelo para cubrirse,las plantas,suave,suave muy colorida,corazones rotos,sonrisa bonita,se les hace que el año va muy lento,el tiempo pasa muy rápido,ojos caídos,porque nadie tiene los ojos así,0,porque los puede hacer,0,porque no puede hacerse,comida muy salada,si porque si unos platos solo le echan sal a su plato,carillo cariño,porque si es posible de cariño,lápiz normal,porque no le pueden morder,0,porque los hornos no pueden caminar,tiene llantas,tienen llantas y un mecanismo,0,los días se pasan muy rápidos
6,no porque no hablan,que su hermano grita mucho,un gato porque tiene muchos pelos,una moneda porque es muy brillante,suave y blanda,de colores y huelen rico,rojos pegajosos,es brillante,en el año va muy lento,que corre rápido el tiempo,que tiene ojos de miel una persona,no es posible,que una persona tiene collar de perlas,si es posible,que es te escobas de cristal,no es posible,que la comida le pusieron mucha sal,si es posible,que tu des abrazos suaves,si se puede,que es un lápiz de color,no se puede,que el horno se acerca,no se puede,que el tren se mueve,si se puede,que los días van rápido,si se puede
7,si es una metáfora,porque algunos gritamos cuando queremos,una cabeza con muchos pelos,un balón,delgada y delicada,de colores y bonitas,bonitos y rojos,agradable y te muestra cariño,comienzan a caminar,que se va muy rápido el tiempo,muy brillantes,porque a veces alguna persona puede tener los ojos muy brillantes,a veces estas muy güero,por que son güeros,cuando el cabello lo tienes brillante,porque algunas personas tienen el cabello brilloso,es cuando haces con mucha sal,porque a veces se te pasa la sal,por que alguna piel es sensible,porque algunos tienen la piel sensible,es a veces por la comida sin sabor,es cuando sin sabor te queda la comida,es cuando alguien gordo se acercan,es cuando se acercan,es cuando alguien se va,es cuando alguien se va de viaje,que se va muy rápido,que se va muy rápido al tiempo
8,si porque te diviertes jugando con ella,es muy irritante y llora mucho,lo perros y la cabeza,cuando algo es bonito,color carne y suave,bonitas y de diferentes colores,rojos sinceros y no respiras,de distintas maneras,0,los segundos son rápidos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,si es algo que nos gusta y se puede decir así,que su hermano grita mucho,perro tiene pelos,luna porque es de color plateado,suave,de colores,de color rojo,alegre,tiene muchas estaciones,que pasan muy rápido los segundos,que los ojos son suaves,que no puede ser posible que alguien tenga ojos de miel,que un collar es de perlas,si puede haber collares de perlas,que es una escoba de cristal,no puede haber escobas de cristal,una comida puede ser salada,hay muchas comidas saladas,que es un abrazo suave,si pueden darse abrazos suaves,que el color es de colores,no creo que hayan colores de sabores,que se calientan,que se acercan los hornos,que se mueve el tren,que si puede pasar,que pare el tiempo,que los días se acaban
10,no porque en realidad es una metáfora y las metáfora son mentira,mi hermano es un ,el cabello desordenado,porque cuando alguien sonríe su sonrisa brilla tanto y por eso le puse eso,piel tan blanca y bonita,flores amarillas,corazones destrozados,sonrisa como que tímida,que los días o el año van lentes,que los segundos se pasan en tu tiempo de la volada,que tus ojos son amarillos,porque los ojos de miel no son posibles pero si amarillos,que algunos collares tienen perlas,porque casi hay muchos collares con perlas,que la escoba es azul,porque las escobas azules son muy diferentes al cristal y el cristal puede tener poco azul,que la comida esta salada,porque hay algunas comidas que son saladas o se cocinan saladas,que los abrazos son suaves,porque algunos abrazos pueden se suaves,que el lápiz no tiene sabor,porque los lapices no se chupan o se comen,que los hornos están a todo alcance,porque los hornos no se pueden salir de su lugar,que el tren se esta moviendo,porque los hornos se pueden transportar a cualquier lugar del país,que los días van pasando,porque los días siempre van pasando
11,si porque se inspira,mi hermano grita mucho,tiene muchos pelos,que es una pelota de plata,muy distinta la piel de papel a las otras pieles,la flor de oro a las otras flores porque es de oro y las otras no son igual,corazón frio con corazón caliente corazón tibio de carne,normales distintas media media,el año va rápido y lento,los segundos vuelan los otros no,significa no lo tiene piel,no los tienen,tienen barios,barios usan,no hay escobas de cristal,puede ser haya escobas,hay mucha comida salada,a veces,que te abrasen suave,porque inspira a todos,que no tiene sabor,no da sabor,que los hornos no se acercan,el horno no se acerca,viaja barios lados,viajan mucho interesa,corren rápido y a veces no,corren mucho
12,no porque me gusta mucho la frase,0,un perro,la luna,guerita,de colores,calentitos,bonita,a nosotros se nos va así,que va muy rápido el día,que tiene los ojos bonitos,que no podemos tener esos ojos,que si,porque son bonitos,porque una escoba es de madera,porque las escobas son de madera,porque nos ase daño,porque nos puede hacer daño,que le gusta lo suave,si es verdad los abrazos,que los lápiz no tienen sabor,los lápiz no tienen sabor,no tienen pies,no tienen pies,siempre lleva a la gente,siempre lleva a la gente,si porque se hace de noche,si porque se hace de noche
