b1_frase,b1_tipo,b1_ruta,c1_b1,c2_b1,c3_b1,c4_b1,b1,b2_frase,b2_tipo,b2_ruta,c1_b2,c2_b2,c3_b2,c4_b2,b2,b3_frase,b3_tipo,b3_ruta,c1_b3,c2_b3,c3_b3,c4_b3,b3,b4_frase,b4_tipo,b4_ruta,c1_b4,c2_b4,c3_b4,c4_b4,b4,b5_frase,b5_tipo,b5_ruta,c1_b5,c2_b5,c3_b5,c4_b5,b5,b6_frase,b6_tipo,b6_ruta,c1_b6,c2_b6,c3_b6,c4_b6,b6,b7_frase,b7_tipo,b7_ruta,c1_b7,c2_b7,c3_b7,c4_b7,b7,b8_frase,b8_tipo,b8_ruta,c1_b8,c2_b8,c3_b8,c4_b8,b8,b9_frase,b9_tipo,b9_ruta,c1_b9,c2_b9,c3_b9,c4_b9,b9,b10_frase,b10_tipo,b10_ruta,c1_b10,c2_b10,c3_b10,c4_b10,b10,b11_frase,b11_tipo,b11_ruta,c1_b11,c2_b11,c3_b11,c4_b11,b11,b12_frase,b12_tipo,b12_ruta,c1_b12,c2_b12,c3_b12,c4_b12,b12,b13_frase,b13_tipo,b13_ruta,c1_b13,c2_b13,c3_b13,c4_b13,b13,b14_frase,b14_tipo,b14_ruta,c1_b14,c2_b14,c3_b14,c4_b14,b14,b15_frase,b15_tipo,b15_ruta,c1_b15,c2_b15,c3_b15,c4_b15,b15,b16_frase,b16_tipo,b16_ruta,c1_b16,c2_b16,c3_b16,c4_b16,b16,b17_frase,b17_tipo,b17_ruta,c1_b17,c2_b17,c3_b17,c4_b17,b17,b18_frase,b18_tipo,b18_ruta,c1_b18,c2_b18,c3_b18,c4_b18,b18,b19_frase,b19_tipo,b19_ruta,c1_b19,c2_b19,c3_b19,c4_b19,b19,b20_frase,b20_tipo,b20_ruta,c1_b20,c2_b20,c3_b20,c4_b20,b20,b21_frase,b21_tipo,b21_ruta,c1_b21,c2_b21,c3_b21,c4_b21,b21,b22_frase,b22_tipo,b22_ruta,c1_b22,c2_b22,c3_b22,c4_b22,b22,b23_frase,b23_tipo,b23_ruta,c1_b23,c2_b23,c3_b23,c4_b23,b23,b24_frase,b24_tipo,b24_ruta,c1_b24,c2_b24,c3_b24,c4_b24,b24,b25_frase,b25_tipo,b25_ruta,c1_b25,c2_b25,c3_b25,c4_b25,b25,b26_frase,b26_tipo,b26_ruta,c1_b26,c2_b26,c3_b26,c4_b26,b26,b27_frase,b27_tipo,b27_ruta,c1_b27,c2_b27,c3_b27,c4_b27,b27
estrellas de cristal,m_ff,ml,material,0,0,0,3,piernas de acero,m_ff,m,resistente,0,0,0,3,ojos de miel,m_ff,m,brillo,dulce,sonar,0,3,vestidos de tela,l_ff,l,seda,tela,vestirse,0,3,sobre de papel,l_ff,l,compartimiento,guardar,formas,0,3,collares de perlas,l_ff,l,lujoso,0,0,0,3,zapatos de miel,a_ff,a,dulce,0,0,0,3,calendario de zacate,a_ff,a,usarse,zacate,calendario,0,3,escobas de cristal,a_ff,a,0,0,0,0,3,escultura de piedra,l_fp,l,monumento,representar,0,0,3,carbon ardiente,l_fp,l,carbon,fuego,caliente,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,m,dura,aguanta,0,0,3,ojos amargos,m_fp,m,llorar,expresion,0,0,3,abrazos suaves,m_fp,m,calido,dan placer,0,0,3,banqueta abrigadora,a_fp,ali,caliente,0,0,0,3,calceta de plata,a_fp,a,calceta,fina,brillante,hilo de plata,3,lapiz sin sabor,a_fp,a,0,0,0,0,3,la silla ya llego,a_mt,al,no se mueven solas,traer,0,0,3,la cebolla llega,a_mt,a,cebolla,persona,llego,traer,3,los hornos se acercan,a_mt,a,0,0,0,0,3,los atletas corren,l_mt,l,cometido,0,0,0,3,las gaviotas vuelan,l_mt,l,vuela,ave,0,0,3,el tren viaja,l_mt,lm,la vida pasa muy rapido,0,0,0,3,el tiempo alcanza,m_mt,m,oro,vale,0,0,3,la noche llega,m_mt,ml,oscuro,normal,0,0,3,los dias corren,m_mt,mc,0,0,0,0,3
estrellas de cristal,m_ff,mml,brillan,luz propia,materiales,0,3,piernas de acero,m_ff,m,ejercicio,0,0,0,3,ojos de miel,m_ff,m,color,bonito,0,0,3,vestidos de tela,l_ff,l,tela,0,0,0,3,sobre de papel,l_ff,l,sobre,cartas,papel,0,3,collares de perlas,l_ff,l,lujoso,0,0,0,3,zapatos de miel,a_ff,ali,hechos,0,0,0,3,calendario de zacate,a_ff,ai,calendario,particular,sirve para lavar trastes,0,3,escobas de cristal,a_ff,am,se romperia facil,fragil,0,0,3,escultura de piedra,l_fp,l,piedra,0,0,0,3,carbon ardiente,l_fp,l,fuego,0,0,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,mml,temple,luchara,valor,intangible,3,ojos amargos,m_fp,m,negro,sabor,0,0,3,abrazos suaves,m_fp,m,no fuerza,0,0,0,3,banqueta abrigadora,a_fp,al,cubrir,0,0,0,3,calceta de plata,a_fp,a,calceta,plata,tela,0,3,lapiz sin sabor,a_fp,al,color,0,0,0,3,la silla ya llego,a_mt,al,traer,0,0,0,3,la cebolla llega,a_mt,a,cebolla,llego,pelota,0,3,los hornos se acercan,a_mt,a,0,0,0,0,3,los atletas corren,l_mt,l,trabajo,0,0,0,3,las gaviotas vuelan,l_mt,l,gaviota,vuela,0,0,3,el tren viaja,l_mt,l,paseo,transporte,0,0,3,el tiempo alcanza,m_mt,m,0,0,0,0,3,la noche llega,m_mt,m,oscuro,posible,0,0,3,los dias corren,m_mt,mc,rapido,0,0,0,3
estrellas de cristal,m_ff,mml,bellas,masas gravitatorias,0,0,3,piernas de acero,m_ff,m,fuerte,manera de expresarse,0,0,3,ojos de miel,m_ff,m,lindo,color,0,0,3,vestidos de tela,l_ff,l,tela,vestirse,0,0,3,sobre de papel,l_ff,l,recibir,cartas,envio,0,3,collares de perlas,l_ff,l,0,0,0,0,3,zapatos de miel,a_ff,aml,color,liquido,0,0,3,calendario de zacate,a_ff,a,calendario,zacate,no resiste,0,3,escobas de cristal,a_ff,al,escultura,adorno,0,0,3,escultura de piedra,l_fp,l,tatuar,no se rompe,0,0,3,carbon ardiente,l_fp,l,prende,fuego,quemar,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,mmi,fuerte,0,0,0,3,ojos amargos,m_fp,m,tristeza,0,0,0,3,abrazos suaves,m_fp,m,liviano,tierno,0,0,3,banqueta abrigadora,a_fp,ami,bonita,agradable,0,0,3,calceta de plata,a_fp,ai,simbolo,buena suerte,0,0,3,lapiz sin sabor,a_fp,a,0,0,0,0,3,la silla ya llego,a_mt,al,traer,0,0,0,3,la cebolla llega,a_mt,a,cebolla,viene,no camina,0,3,los hornos se acercan,a_mt,am,calor,expresion,0,0,3,los atletas corren,l_mt,l,0,0,0,0,3,las gaviotas vuelan,l_mt,l,gaviota,vuela,ave,0,3,el tren viaja,l_mt,l,transporte,0,0,0,3,el tiempo alcanza,m_mt,ml,suficiente,medir,0,0,3,la noche llega,m_mt,m,noche,oscurecer,expresion,0,3,los dias corren,m_mt,ml,avanzar,0,0,0,3
estrellas de cristal,m_ff,ml,fragil,hermoso,cristal,objetos,3,piernas de acero,m_ff,m,fuerte,0,0,0,3,ojos de miel,m_ff,ml,color,sustancia,0,0,3,vestidos de tela,l_ff,l,tela,factible,0,0,3,sobre de papel,l_ff,l,sobre,cartas,papel,0,3,collares de perlas,l_ff,l,lucir,0,0,0,3,zapatos de miel,a_ff,ali,fabricar,0,0,0,3,calendario de zacate,a_ff,a,ver los dias y meses,foto,papel,0,3,escobas de cristal,a_ff,al,se rompen rapido,0,0,0,3,escultura de piedra,l_fp,l,material,piedra,0,0,3,carbon ardiente,l_fp,l,caliente,carbon,prende,0,3,comida salada,l_fp,l,exceso,0,0,0,3,alma de hierro,m_fp,mmi,corazon,fuerte,sensibles,0,3,ojos amargos,m_fp,m,tristeza,enojo,0,0,3,abrazos suaves,m_fp,m,mentira,0,0,0,3,banqueta abrigadora,a_fp,ali,0,0,0,0,3,calceta de plata,a_fp,a,imposibe,0,0,0,3,lapiz sin sabor,a_fp,al,0,0,0,0,3,la silla ya llego,a_mt,ali,camina,alma,0,0,3,la cebolla llega,a_mt,a,llorar,no camina,0,0,3,los hornos se acercan,a_mt,am,caliente,0,0,0,3,los atletas corren,l_mt,l,0,0,0,0,3,las gaviotas vuelan,l_mt,lim,intentar,vuela,0,0,3,el tren viaja,l_mt,l,0,0,0,0,3,el tiempo alcanza,m_mt,m,corto,apurado,rapido,0,3,la noche llega,m_mt,m,noche,llega,0,0,3,los dias corren,m_mt,m,rapido,perder,0,0,3
estrellas de cristal,m_ff,ml,cristal,tiempo,0,0,3,piernas de acero,m_ff,m,ejercicio,0,0,0,3,ojos de miel,m_ff,ml,color,figurativo,0,0,3,vestidos de tela,l_ff,l,tela,tipo de vestir,vestimenta,0,3,sobre de papel,l_ff,l,carta,algo especifico,regalo,0,3,collares de perlas,l_ff,l,valen mucho,mar,0,0,3,zapatos de miel,a_ff,ali,fabricar,comestible,poca duracion,material,3,calendario de zacate,a_ff,al,bano,ilogico,0,0,3,escobas de cristal,a_ff,al,bonito,0,0,0,3,escultura de piedra,l_fp,l,material,piedra,0,0,3,carbon ardiente,l_fp,l,caliente,prende,carbon,0,3,comida salada,l_fp,l,agria,textura,0,0,3,alma de hierro,m_fp,mml,resistente,energia,0,0,3,ojos amargos,m_fp,m,tristeza,0,0,0,3,abrazos suaves,m_fp,m,valor,fuerza,0,0,3,banqueta abrigadora,a_fp,al,agrigue,mendigo,duerma,0,3,calceta de plata,a_fp,a,calceta,color,plata,0,3,lapiz sin sabor,a_fp,al,no tinta,crear cosas,0,0,3,la silla ya llego,a_mt,al,llevar,0,0,0,3,la cebolla llega,a_mt,a,comida,traslado,0,0,3,los hornos se acercan,a_mt,al,0,0,0,0,3,los atletas corren,l_mt,l,0,0,0,0,3,las gaviotas vuelan,l_mt,l,gaviota,vuela,animal,0,3,el tren viaja,l_mt,l,trabaja mucho,0,0,0,3,el tiempo alcanza,m_mt,m,vieja,0,0,0,3,la noche llega,m_mt,m,noche,0,0,0,3,los dias corren,m_mt,m,rapido,0,0,0,3
estrellas de cristal,m_ff,ml,posibilidades,nuevo,0,0,3,piernas de acero,m_ff,m,resistente,robot,0,0,3,ojos de miel,m_ff,m,dulsura,0,0,0,3,vestidos de tela,l_ff,l,tela,posible,0,0,3,sobre de papel,l_ff,l,papel,real,0,0,3,collares de perlas,l_ff,l,dinero,0,0,0,3,zapatos de miel,a_ff,ali,alimento,pegajoso,0,0,3,calendario de zacate,a_ff,al,bano,0,0,0,3,escobas de cristal,a_ff,am,fragil,corazon,0,0,3,escultura de piedra,l_fp,l,arte,0,0,0,3,carbon ardiente,l_fp,l,fuego,ardiente,lumbre,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,m,cruel,0,0,0,3,ojos amargos,m_fp,m,tristeza,0,0,0,3,abrazos suaves,m_fp,m,carino,gusto,0,0,3,banqueta abrigadora,a_fp,ali,moverse,0,0,0,3,calceta de plata,a_fp,a,plata,imposible,0,0,3,lapiz sin sabor,a_fp,al,madera,carbon,0,0,3,la silla ya llego,a_mt,al,traer,sentarse,0,0,3,la cebolla llega,a_mt,a,llego,llorar,no camina,0,3,los hornos se acercan,a_mt,a,0,0,0,0,3,los atletas corren,l_mt,l,dedicarse,0,0,0,3,las gaviotas vuelan,l_mt,l,ave,vuela,0,0,3,el tren viaja,l_mt,l,cuando quiere,0,0,0,3,el tiempo alcanza,m_mt,ml,0,0,0,0,3,la noche llega,m_mt,mi,tiempo,oscuro,malo,luna,3,los dias corren,m_mt,m,rapido,0,0,0,3
estrellas de cristal,m_ff,ma,ayuda,0,0,0,3,piernas de acero,m_ff,ml,sentido figurado,protesis,0,0,3,ojos de miel,m_ff,ml,color,0,0,0,3,vestidos de tela,l_ff,l,tla,material,0,0,3,sobre de papel,l_ff,l,sobre,papel,hojas,doblar,3,collares de perlas,l_ff,l,almejas,0,0,0,3,zapatos de miel,a_ff,al,posibilidad,nuevo,descubrimiento,creacion,3,calendario de zacate,a_ff,a,no real,0,0,0,3,escobas de cristal,a_ff,am,brujas,0,0,0,3,escultura de piedra,l_fp,l,estatua,tallar,0,0,3,carbon ardiente,l_fp,l,carbon,prende,cocinar,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,m,inquebrantable,0,0,0,3,ojos amargos,m_fp,m,tristeza,reflejo,0,0,3,abrazos suaves,m_fp,m,lindo,diferente,0,0,3,banqueta abrigadora,a_fp,a,dura,roca,0,0,3,calceta de plata,a_fp,al,trofeo,0,0,0,3,lapiz sin sabor,a_fp,al,imaginacion,0,0,0,3,la silla ya llego,a_mt,al,encargar,llegar,traer,0,3,la cebolla llega,a_mt,a,llego,llorar,no camina,0,3,los hornos se acercan,a_mt,a,calor,0,0,0,3,los atletas corren,l_mt,l,competencias,0,0,0,3,las gaviotas vuelan,l_mt,l,vuela,logica,0,0,3,el tren viaja,l_mt,l,ir de un lado a otro,viaje,0,0,3,el tiempo alcanza,m_mt,m,0,0,0,0,3,la noche llega,m_mt,m,tarde,anocheser,posible,0,3,los dias corren,m_mt,m,rapido,0,0,0,3
estrellas de cristal,m_ff,mlm,cristal,brilla,0,0,3,piernas de acero,m_ff,ml,acero,0,0,0,3,ojos de miel,m_ff,m,hermosos,0,0,0,3,vestidos de tela,l_ff,l,tela,material,0,0,3,sobre de papel,l_ff,l,carta,crear,0,0,3,collares de perlas,l_ff,l,fino,0,0,0,3,zapatos de miel,a_ff,ali,creados,ensamble,0,0,3,calendario de zacate,a_ff,a,dias,festejo,dioses,0,3,escobas de cristal,a_ff,a,fragil,negocio,0,0,3,escultura de piedra,l_fp,l,escultura,fabricar,artistas,0,3,carbon ardiente,l_fp,l,carbon,arde,caliente,0,3,comida salada,l_fp,l,fuerte,0,0,0,3,alma de hierro,m_fp,m,fuerte,no te lastiman,0,0,3,ojos amargos,m_fp,m,irritable,ardor,0,0,3,abrazos suaves,m_fp,m,suave,0,0,0,3,banqueta abrigadora,a_fp,ali,acera,cemento,0,0,3,calceta de plata,a_fp,al,trofeo,reconocimiento,0,0,3,lapiz sin sabor,a_fp,a,0,0,0,0,3,la silla ya llego,a_mt,al,poner,llevar,0,0,3,la cebolla llega,a_mt,a,mesa,compras,0,0,3,los hornos se acercan,a_mt,a,alma,0,0,0,3,los atletas corren,l_mt,l,jugador,0,0,0,3,las gaviotas vuelan,l_mt,l,vuela,logica,0,0,3,el tren viaja,l_mt,l,moviendo,0,0,0,3,el tiempo alcanza,m_mt,m,0,0,0,0,3,la noche llega,m_mt,m,tarde,noche,0,0,3,los dias corren,m_mt,m,rapido,0,0,0,3
estrellas de cristal,m_ff,mlm,cristal,imaginaria,real,0,3,piernas de acero,m_ff,m,resistentes,ejercicio,0,0,3,ojos de miel,m_ff,ml,amarillo,0,0,0,3,vestidos de tela,l_ff,lm,usarse,0,0,0,3,sobre de papel,l_ff,l,sobre,cartas,mandar,lejos,3,collares de perlas,l_ff,lm,cuello,blanco,0,0,3,zapatos de miel,a_ff,ali,hechos,0,0,0,3,calendario de zacate,a_ff,am,antiguo,uso de materiales,0,0,3,escobas de cristal,a_ff,a,0,0,0,0,3,escultura de piedra,l_fp,l,arte,expresar,emociones,0,3,carbon ardiente,l_fp,l,prende,arde,0,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,m,se va,0,0,0,3,ojos amargos,m_fp,m,mover ojos,0,0,0,3,abrazos suaves,m_fp,m,no fuerte,0,0,0,3,banqueta abrigadora,a_fp,al,gente de la calle,cubre,0,0,3,calceta de plata,a_fp,alm,calceta,color,metafora,0,3,lapiz sin sabor,a_fp,a,0,0,0,0,3,la silla ya llego,a_mt,al,llego,creada,0,0,3,la cebolla llega,a_mt,a,cebolla,llorar,cortar,0,3,los hornos se acercan,a_mt,a,0,0,0,0,3,los atletas corren,l_mt,l,moverse,0,0,0,3,las gaviotas vuelan,l_mt,l,gaviota,vuela,0,0,3,el tren viaja,l_mt,l,moviendo,0,0,0,3,el tiempo alcanza,m_mt,m,metafora,aprovecharlo,0,0,3,la noche llega,m_mt,mc,tarde,anocheser,0,0,3,los dias corren,m_mt,m,noche,larga,dormir poco,0,3
estrellas de cristal,m_ff,ml,figura,apodo,posibilidad,navidad,3,piernas de acero,m_ff,m,duro,imaginacion,0,0,3,ojos de miel,m_ff,ml,no existe,0,0,0,3,vestidos de tela,l_ff,l,fabricada,tela,crear,0,3,sobre de papel,l_ff,l,papel,sobre el papel,0,0,3,collares de perlas,l_ff,l,0,0,0,0,3,zapatos de miel,a_ff,ali,piel,0,0,0,3,calendario de zacate,a_ff,a,zacate,posible,esponja,0,3,escobas de cristal,a_ff,al,gato,0,0,0,3,escultura de piedra,l_fp,l,creada,escultura,practicada,0,3,carbon ardiente,l_fp,l,quemar,caliente,0,0,3,comida salada,l_fp,l,0,0,0,0,3,alma de hierro,m_fp,m,fragiles,0,0,0,3,ojos amargos,m_fp,m,tristeza,amargado,sentimiento,0,3,abrazos suaves,m_fp,ml,fuerza,0,0,0,3,banqueta abrigadora,a_fp,al,cama,pobre,casa,0,3,calceta de plata,a_fp,a,oro,imposible,0,0,3,lapiz sin sabor,a_fp,a,0,0,0,0,3,la silla ya llego,a_mt,al,llegar,crear,0,0,3,la cebolla llega,a_mt,a,cebolla,llorar,ojos,0,3,los hornos se acercan,a_mt,a,0,0,0,0,3,los atletas corren,l_mt,l,ejercicio,0,0,0,3,las gaviotas vuelan,l_mt,l,vuela,alas,0,0,3,el tren viaja,l_mt,l,transportar,0,0,0,3,el tiempo alcanza,m_mt,m,rapido,0,0,0,3,la noche llega,m_mt,ml,dia,se va,oscurece,0,3,los dias corren,m_mt,ml,correr,pasan,0,0,3
