,por_que_pelota_que_canta_count,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count,que_otra_cosa_podria_ser_una_pelota_de_pelos_count,explica_tu_respuesta_en_la_frase_pelota_de_plata_count,c1t_count,c2t_count,c3t_count,c4t_count,c5t_count,c6t_count,que_significa_1_count,por_que_crees_que_si_o_no_es_posible_1_count,que_significa_2_count,por_que_crees_que_si_o_que_no_es_posible_2_count,que_significa_3_count,por_que_crees_que_si_o_que_no_es_posible_3_count,que_significa_4_count,por_que_crees_que_si_o_que_no_es_posible_4_count,que_significa_5_count,por_que_crees_que_si_o_que_no_es_posible_5_count,que_significa_6_count,por_que_crees_que_si_o_que_no_es_posible_6_count,que_significa_7_count,por_que_crees_que_si_o_que_no_es_posible_7_count,que_significa_8_count,por_que_crees_que_si_o_que_no_es_posible_8_count,que_significa_9_count,por_que_crees_que_si_o_que_no_es_posible_9_count,suma_total
0,7,5,2,5,3,1,1,1,3,5,2,5,1,5,3,6,2,9,3,3,5,6,4,6,3,3,3,5,107
1,11,12,19,10,2,4,12,9,7,13,12,34,12,7,10,8,4,17,21,12,8,6,4,10,4,7,5,7,287
2,0,5,12,2,2,3,1,2,2,7,0,11,6,6,6,8,7,3,3,3,0,0,6,14,3,4,10,8,134
3,8,5,7,5,2,3,1,3,3,6,8,3,7,5,3,4,4,6,6,8,4,4,6,5,6,5,3,4,134
4,17,3,2,9,2,2,1,1,1,11,10,5,3,5,8,8,6,10,2,5,5,11,4,5,4,3,4,4,151
5,6,5,3,6,1,1,1,3,3,6,2,12,5,8,2,5,5,13,6,9,5,6,6,13,5,6,8,9,160
6,3,6,5,12,2,3,5,5,10,5,3,26,5,3,5,7,7,13,10,10,5,9,8,9,7,12,8,6,209
7,8,7,9,5,13,4,3,3,5,17,11,8,9,5,7,3,3,9,5,6,8,5,7,11,5,9,6,12,203
8,15,15,2,14,11,6,7,9,13,11,11,10,6,14,6,13,6,13,6,18,12,12,4,17,4,16,9,8,288
9,17,6,2,13,8,1,2,1,8,12,13,9,8,12,9,12,9,11,5,7,5,6,4,4,4,6,5,8,207
10,5,3,2,7,2,2,2,2,2,4,0,5,2,4,4,3,5,5,0,2,2,4,4,6,3,4,4,4,92
11,7,7,3,6,2,1,4,1,1,11,9,4,4,5,3,6,5,8,3,4,4,4,0,0,3,4,4,5,118
12,10,13,5,7,2,2,2,3,4,6,8,8,6,6,7,8,10,7,9,14,8,18,3,8,3,9,4,8,198
13,2,5,1,7,3,3,5,10,13,14,5,4,6,7,5,5,3,2,3,5,3,3,4,4,3,3,4,4,136
14,3,4,2,3,6,3,2,4,6,3,4,6,3,4,3,3,3,8,4,3,3,6,9,3,2,4,3,3,110
15,20,10,5,3,3,5,3,3,8,7,8,10,8,13,8,4,3,11,4,7,4,4,7,3,4,4,9,5,183
16,8,8,2,15,5,4,7,5,8,8,7,9,7,11,6,10,4,9,5,10,5,7,5,8,4,9,11,17,214
17,5,3,2,5,1,1,1,1,4,5,5,7,6,6,8,5,5,4,6,7,8,2,3,3,2,5,1,5,116
18,4,5,2,0,2,1,1,1,2,5,0,1,4,5,3,5,2,7,1,6,1,0,0,4,1,4,1,4,72
19,16,11,5,8,14,15,10,11,14,10,11,13,6,15,0,15,8,11,5,17,0,5,7,13,4,11,7,3,265
20,5,4,2,8,1,1,4,1,3,4,4,5,3,2,2,5,5,6,4,5,2,4,3,2,2,3,3,2,95
21,2,3,2,5,1,1,2,2,3,4,3,6,2,5,2,4,2,5,2,5,4,9,1,3,3,5,5,10,101
22,6,6,2,5,2,1,1,1,6,7,7,10,9,7,7,10,7,8,7,8,0,4,8,5,6,8,7,6,161
23,2,3,1,2,1,2,1,3,3,3,1,3,4,1,5,1,5,1,5,1,1,1,3,1,4,1,3,1,63
24,10,7,1,1,1,1,1,5,4,4,7,5,5,7,0,0,7,6,3,4,0,0,7,4,9,4,0,0,103
25,11,4,6,11,8,11,10,5,6,9,4,10,6,9,4,3,6,24,6,3,4,10,5,7,9,10,5,41,247
26,8,4,2,15,2,2,1,2,2,9,0,0,10,7,4,9,4,4,16,15,10,7,4,4,4,6,12,12,175
27,1,5,5,9,0,3,1,2,2,6,3,3,4,1,3,4,4,5,4,1,0,1,3,3,2,1,6,2,84
28,7,9,2,7,2,4,2,3,7,4,10,4,8,4,4,10,7,4,7,5,7,7,6,7,6,6,6,3,158
29,3,4,2,6,3,3,3,3,6,4,9,2,8,8,8,4,6,5,3,9,8,14,6,11,4,7,4,9,162
30,3,5,2,3,4,3,2,5,9,8,7,3,5,6,5,9,1,3,6,6,5,1,0,3,3,1,4,2,114
31,6,3,5,4,8,0,0,0,0,4,0,6,3,0,0,0,4,5,5,4,7,10,1,0,4,1,5,0,85
32,5,4,3,3,1,4,0,4,4,9,5,14,4,8,5,5,4,9,3,6,2,4,1,0,5,0,4,4,120
33,6,4,3,3,3,3,1,3,1,4,1,2,2,2,3,1,6,1,2,1,0,1,0,1,5,1,4,1,65
34,2,1,1,3,1,3,1,3,2,2,3,1,3,1,3,1,4,1,2,1,0,1,6,1,3,1,5,1,57
35,6,4,2,2,2,5,6,1,7,7,4,4,7,10,13,8,4,9,6,7,5,6,5,6,4,5,4,6,155
36,6,8,4,13,3,2,4,1,2,7,4,9,5,7,3,6,3,9,3,8,4,8,4,9,3,7,7,6,155
37,5,8,4,6,6,5,6,3,5,9,7,9,8,8,5,7,5,6,5,10,4,6,7,8,5,5,7,13,182
38,4,7,7,11,2,5,1,5,4,5,6,8,7,8,7,7,5,6,4,11,4,6,3,6,2,4,7,9,161
39,7,5,2,5,9,9,5,8,8,13,6,9,5,8,11,7,7,14,10,11,7,9,8,12,10,13,7,15,240
40,8,8,14,20,5,6,6,5,9,5,5,18,5,11,12,24,7,16,18,23,8,9,7,12,9,22,9,22,323
41,10,9,2,6,2,1,1,1,4,8,3,10,5,10,7,12,8,11,11,22,2,9,5,12,9,6,9,8,203
42,8,8,4,6,1,1,6,3,6,6,7,9,6,3,6,8,6,3,6,0,5,5,5,8,4,5,4,0,139
43,2,3,2,8,1,1,3,2,6,3,12,13,9,8,12,3,1,3,2,7,8,8,4,2,3,4,6,5,141
44,12,10,11,11,1,7,2,2,2,6,12,23,5,42,6,27,7,14,5,22,5,26,14,27,6,9,8,22,344
45,4,4,1,4,4,6,5,4,3,3,0,4,5,1,4,5,3,5,0,5,6,7,8,3,4,2,7,1,108
46,3,4,6,3,1,2,2,3,5,4,6,1,8,1,4,5,9,1,2,1,2,1,3,1,1,1,2,1,83
47,4,4,2,3,1,2,1,2,2,3,3,7,6,4,6,8,4,7,2,3,2,5,0,0,3,4,5,10,103
48,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
49,30,8,2,13,3,5,1,3,3,4,3,13,4,7,4,12,4,7,6,20,3,15,3,9,4,6,6,40,238
50,0,5,1,3,1,2,1,2,3,6,1,1,2,7,0,0,9,2,3,2,0,0,7,5,9,1,5,2,80
51,0,1,1,0,0,0,1,2,5,0,0,4,6,5,8,4,4,2,1,1,1,0,2,1,4,3,1,3,60
52,4,2,2,4,0,0,0,0,1,4,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,10,0,38
53,10,11,2,2,10,6,1,1,5,7,8,9,5,0,0,0,7,4,2,5,0,0,8,3,2,4,2,4,118
54,9,8,6,11,4,4,4,7,9,11,4,5,9,5,7,8,4,9,5,5,0,2,0,0,5,8,3,8,160
55,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
56,6,2,2,3,1,1,1,1,3,5,2,6,1,4,0,0,1,7,2,5,0,0,3,6,4,2,4,4,76
57,9,8,2,6,1,1,1,1,6,7,4,6,7,8,6,12,7,9,2,17,4,7,10,9,12,12,14,8,196
58,3,8,2,11,4,4,3,4,4,9,6,8,11,9,11,6,1,4,7,5,10,12,17,0,3,3,7,4,176
59,5,6,1,15,3,1,1,1,2,3,4,5,7,3,6,3,6,6,5,7,5,7,4,5,5,6,6,8,136
60,9,9,2,12,1,1,1,1,3,4,8,8,0,0,0,0,7,5,9,7,8,5,8,9,4,4,7,9,141
61,9,12,6,15,8,4,9,11,12,6,7,15,6,8,5,14,1,12,3,11,1,6,1,3,3,2,3,7,200
62,16,13,2,11,4,10,3,10,3,20,12,9,11,6,3,5,5,6,5,7,5,5,5,6,3,4,4,6,199
63,7,7,2,7,2,1,3,2,3,8,4,5,4,6,3,8,5,8,5,5,5,7,4,4,3,3,4,10,135
64,6,4,2,12,1,1,2,1,6,3,5,15,6,9,7,3,8,3,1,9,5,3,7,11,4,6,5,4,149
65,6,12,5,8,2,3,2,4,3,7,6,7,6,5,6,5,5,4,6,4,5,3,5,5,5,4,5,4,142
