,por_que_pelota_que_canta_count,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count,que_otra_cosa_podria_ser_una_pelota_de_pelos_count,explica_tu_respuesta_en_la_frase_pelota_de_plata_count,c1t_count,c2t_count,c3t_count,c4t_count,c5t_count,c6t_count,que_significa_1_count,por_que_crees_que_si_o_no_es_posible_1_count,que_significa_2_count,por_que_crees_que_si_o_que_no_es_posible_2_count,que_significa_3_count,por_que_crees_que_si_o_que_no_es_posible_3_count,que_significa_4_count,por_que_crees_que_si_o_que_no_es_posible_4_count,que_significa_5_count,por_que_crees_que_si_o_que_no_es_posible_5_count,que_significa_6_count,por_que_crees_que_si_o_que_no_es_posible_6_count,que_significa_7_count,por_que_crees_que_si_o_que_no_es_posible_7_count,que_significa_8_count,por_que_crees_que_si_o_que_no_es_posible_8_count,que_significa_9_count,por_que_crees_que_si_o_que_no_es_posible_9_count,suma_total
0,7,5,9,9,1,1,2,3,2,25,8,8,5,7,5,9,10,5,5,12,12,11,9,6,5,4,4,4,193
1,6,10,2,9,3,4,1,2,5,7,7,6,5,5,5,11,5,5,5,9,3,3,6,8,5,4,7,7,155
2,7,8,2,12,3,4,3,6,8,14,9,5,8,8,6,5,8,15,10,6,8,5,14,13,5,8,8,7,215
3,13,5,2,1,2,2,1,2,2,5,5,1,5,4,13,3,4,7,8,6,3,4,9,8,3,14,7,13,152
4,12,7,5,13,2,3,5,3,5,8,11,8,9,10,1,8,9,9,1,5,1,7,1,10,5,6,9,6,179
5,10,5,5,12,3,3,2,3,2,3,6,11,6,11,8,12,5,10,3,14,5,8,5,13,6,7,4,8,190
6,10,8,2,7,10,4,4,10,3,11,7,16,6,11,7,8,5,12,5,10,5,7,4,8,4,13,5,4,206
7,6,6,2,11,4,5,3,4,9,5,10,10,5,7,6,15,7,4,7,5,16,10,6,6,5,7,4,11,196
8,5,6,1,6,1,1,1,1,6,4,4,9,4,9,4,5,4,9,4,10,4,7,4,4,4,5,4,9,135
9,1,3,3,3,2,0,0,0,0,0,0,0,8,8,4,15,13,15,6,23,4,7,5,8,5,8,4,11,156
10,6,6,2,8,3,3,3,4,8,6,4,4,9,9,3,8,5,7,4,7,4,9,0,0,3,3,0,0,128
11,6,11,3,9,3,4,3,4,16,8,5,7,7,4,3,4,8,7,8,8,8,5,7,5,2,12,9,4,180
12,2,6,2,6,19,3,9,5,4,14,11,11,7,5,5,4,10,5,8,10,0,0,4,0,8,5,9,0,172
13,9,7,2,3,8,9,5,8,5,9,3,9,6,4,6,8,6,7,6,9,3,9,4,5,5,5,5,3,168
14,14,6,8,14,4,4,7,5,7,13,7,15,6,6,0,5,7,7,7,12,11,8,5,4,7,8,10,8,215
15,6,6,3,12,2,2,3,2,1,4,4,9,5,7,6,9,4,14,3,12,6,12,7,6,3,6,5,10,169
16,2,3,2,2,1,1,1,2,1,3,2,2,3,4,2,3,1,1,2,3,3,1,4,1,3,1,4,1,59
17,6,8,1,9,18,8,7,6,6,8,9,13,8,9,11,8,8,7,5,4,11,7,5,12,3,5,5,2,209
18,6,5,7,11,3,1,3,5,4,21,5,5,10,8,2,7,7,10,10,9,4,6,4,4,5,5,5,10,182
19,7,3,3,8,3,11,2,17,7,12,12,10,5,11,7,8,4,18,5,14,5,13,11,9,8,10,6,10,239
20,12,5,4,7,3,5,4,6,3,14,2,8,5,14,4,10,11,15,3,7,6,3,4,6,8,5,14,16,204
21,8,6,2,6,1,4,1,4,2,7,4,7,2,7,3,3,5,4,4,4,4,4,4,4,2,2,3,5,112
22,9,8,2,4,2,1,6,1,7,9,6,8,6,6,5,6,5,4,5,9,6,4,6,6,4,4,6,6,151
23,14,5,2,4,3,3,1,5,8,10,3,8,4,6,3,5,4,6,2,8,0,0,0,6,2,5,4,4,125
24,8,6,2,10,4,5,4,2,1,9,2,9,1,7,5,5,2,7,3,8,0,3,5,3,5,7,4,10,137
25,9,5,4,10,3,1,1,3,10,10,4,17,7,9,8,10,8,11,8,12,11,14,4,9,5,4,4,11,212
26,14,20,15,18,28,18,14,22,18,22,11,9,14,1,14,8,7,22,44,7,15,4,7,1,4,9,16,17,399
27,4,4,2,5,3,6,3,2,4,9,3,3,5,2,3,1,0,2,5,3,0,2,0,0,1,3,0,1,76
28,6,11,2,11,3,3,7,3,7,12,8,12,6,8,5,9,6,17,5,9,7,7,8,12,4,12,12,11,223
29,0,3,1,0,2,1,1,1,1,1,3,4,8,7,0,0,5,5,6,5,0,0,0,0,5,2,6,0,67
30,5,4,2,6,1,1,1,1,4,6,0,0,4,13,1,3,1,6,0,3,5,0,4,9,3,1,5,1,90
31,1,3,2,4,2,4,1,9,2,0,4,4,0,5,9,8,5,5,4,10,5,0,4,4,5,4,4,5,113
32,9,5,5,18,1,1,1,3,2,13,6,23,6,7,6,12,6,15,6,13,5,12,11,9,6,10,6,19,236
33,7,11,4,11,8,4,5,3,7,9,6,14,9,9,7,10,9,23,11,16,10,15,5,16,7,7,8,31,282
34,8,7,4,9,3,12,3,9,8,21,10,7,18,13,11,10,10,9,21,6,15,13,4,7,7,5,6,6,262
35,13,7,11,7,4,4,6,4,11,18,6,8,7,7,4,9,10,10,7,12,6,10,9,18,11,4,5,5,233
36,2,6,22,6,3,1,1,1,1,3,7,5,7,6,4,5,1,6,5,4,2,5,3,6,2,5,5,6,130
37,4,10,2,8,7,11,8,3,9,13,5,11,6,6,4,15,8,13,2,8,7,10,5,3,6,5,8,6,203
38,4,3,11,9,5,4,6,2,3,4,6,5,5,3,6,10,4,6,5,5,4,5,4,5,5,0,3,4,136
39,0,3,2,1,1,1,2,1,1,1,0,0,0,1,0,2,0,3,0,0,0,2,2,0,4,2,0,3,32
40,2,4,0,3,3,4,5,0,4,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
41,7,4,3,3,1,2,1,1,5,14,4,6,4,7,0,0,6,7,4,6,4,9,5,12,3,4,6,6,134
42,4,4,4,4,6,4,7,3,0,9,0,3,10,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,65
43,3,8,4,16,6,4,5,6,4,9,3,4,5,6,7,8,6,4,9,9,2,5,5,0,0,4,0,4,146
44,4,4,2,6,1,1,1,3,2,4,8,8,5,5,5,4,7,13,3,3,5,4,4,7,4,7,6,7,133
45,10,5,4,11,5,5,1,1,7,4,6,4,5,5,0,7,0,5,0,5,2,4,5,4,2,4,0,0,111
46,3,8,2,5,0,3,1,1,2,4,3,5,0,3,3,3,0,4,0,3,2,0,0,4,3,4,4,6,76
47,10,7,2,16,2,3,3,3,4,17,8,8,7,12,7,14,8,10,6,7,6,9,6,14,7,8,4,13,221
48,3,3,2,3,1,1,1,1,2,2,3,1,1,1,1,2,6,2,2,2,2,1,5,1,4,1,2,1,57
49,22,11,2,16,1,1,3,1,3,9,6,16,7,12,5,8,6,8,4,6,6,22,0,27,8,14,17,8,249
50,12,11,2,14,2,4,3,2,4,4,8,8,10,8,5,6,11,17,16,20,7,7,9,13,12,17,14,11,257
51,5,6,4,12,1,5,26,6,1,17,27,7,12,10,9,10,13,6,9,4,14,4,9,4,11,8,16,7,263
52,6,9,4,12,9,4,7,6,7,18,11,11,17,14,12,11,7,12,7,9,10,12,6,17,11,11,9,17,286
53,8,3,2,6,1,4,2,3,4,7,6,7,1,8,2,9,1,5,4,5,1,7,3,7,1,4,7,4,122
54,4,11,2,3,8,3,8,3,5,12,6,6,9,6,14,5,8,10,7,6,4,7,7,4,4,3,11,6,182
55,6,7,4,7,5,2,2,4,6,21,3,9,5,6,5,4,7,7,7,7,4,8,7,10,4,11,6,21,195
56,6,4,2,7,1,2,1,3,5,8,6,6,4,8,4,13,5,8,15,10,11,4,7,6,6,5,5,8,170
57,9,8,2,6,9,5,4,4,2,9,4,10,6,12,6,12,9,18,3,15,5,10,6,8,3,6,5,10,206
58,6,7,2,6,3,4,1,3,5,15,4,13,4,12,9,11,8,16,9,16,17,19,9,8,21,10,10,14,262
59,3,4,4,5,7,1,1,1,2,5,5,12,8,14,4,13,7,12,4,11,4,8,4,0,4,14,4,7,168
60,10,6,4,12,2,3,4,3,6,12,7,13,5,16,5,13,7,8,3,17,3,3,3,8,4,9,1,18,205
61,6,5,2,13,3,2,4,2,2,7,4,6,12,9,8,8,4,8,3,9,5,10,4,5,3,7,7,17,175
62,4,4,3,6,3,3,3,1,5,4,7,8,4,8,5,9,9,8,5,7,3,6,0,6,5,5,15,5,151
63,3,10,2,4,1,3,1,2,3,6,3,5,3,6,2,2,1,6,5,5,5,5,5,4,3,3,8,6,112
64,3,3,1,5,0,1,1,1,2,11,4,9,2,7,6,4,1,13,0,9,0,10,4,4,4,4,5,2,116
65,13,3,2,6,1,1,1,2,6,18,9,13,5,13,2,6,5,23,7,5,18,11,10,9,9,17,18,7,240
66,1,5,2,6,5,1,3,1,1,7,1,8,5,3,3,3,5,5,4,1,5,4,3,2,6,2,1,3,96
67,7,3,2,2,3,5,4,6,4,6,0,0,6,3,0,0,5,4,0,0,0,0,0,6,4,5,7,5,87
68,8,8,2,6,1,1,3,4,5,4,8,8,3,14,6,14,7,11,8,5,9,4,4,6,4,8,7,7,175
69,7,4,2,6,7,6,3,10,9,15,14,20,21,11,8,14,8,12,11,18,7,14,5,10,12,5,5,9,273
70,7,6,2,4,7,6,6,12,6,11,6,9,7,3,0,0,5,4,5,8,8,12,1,1,8,5,9,7,165
71,8,4,2,4,1,1,1,1,3,4,1,10,3,4,0,6,0,6,2,0,2,6,0,0,0,1,0,0,70
72,24,10,2,24,4,4,4,1,7,3,3,18,5,14,9,17,3,11,7,9,3,6,11,17,5,4,9,8,242
73,6,7,2,3,7,2,4,6,3,4,4,14,11,5,3,5,4,9,6,14,2,6,3,9,2,6,0,6,153
74,7,5,4,14,15,3,1,4,4,5,4,12,4,7,1,10,1,11,1,7,1,4,1,8,6,4,7,5,156
75,8,4,2,6,4,12,7,10,5,11,4,7,5,6,5,5,5,3,6,6,7,7,5,5,6,5,5,6,167
76,14,10,2,6,1,1,1,2,2,4,3,14,5,13,18,12,6,14,5,7,9,12,5,6,5,10,5,12,204
77,8,5,4,10,3,8,1,5,7,16,13,16,6,20,4,8,8,19,0,9,5,6,6,15,4,12,7,8,233
78,4,5,2,3,1,1,1,1,2,9,4,7,6,14,5,8,4,11,5,8,0,4,7,7,11,9,4,7,150
79,9,5,2,9,1,1,1,1,1,6,4,13,7,9,5,10,5,9,5,10,5,7,7,11,4,10,6,7,170
80,8,5,2,6,2,2,1,1,5,7,4,8,11,7,6,5,11,12,2,8,5,9,9,9,4,5,7,12,173
81,8,10,5,15,1,2,2,3,10,4,7,8,12,12,12,17,10,11,4,11,7,6,7,11,6,10,15,8,234
82,17,15,2,12,6,9,4,10,12,20,6,8,7,7,13,34,6,8,10,15,4,27,7,16,4,16,8,14,317
83,9,8,2,7,1,1,2,2,2,5,5,9,8,7,5,6,5,7,6,8,6,5,5,8,4,6,4,19,162
84,10,7,7,27,3,4,10,8,7,5,5,23,7,11,7,21,5,20,9,18,2,16,10,6,5,9,9,9,280
85,14,12,8,5,2,2,1,1,8,8,3,14,6,11,5,5,4,5,2,5,5,5,4,5,5,5,2,3,155
86,1,1,1,1,1,0,1,1,1,1,1,1,9,2,0,0,4,13,5,12,5,7,0,0,14,4,18,5,109
87,3,6,2,6,5,1,1,1,1,3,5,8,0,4,2,0,4,7,0,0,4,8,4,4,5,1,8,4,97
88,7,7,6,15,1,1,3,1,2,4,5,8,7,7,5,5,7,8,13,8,5,5,3,7,5,14,5,12,176
89,27,31,4,20,17,13,1,3,12,15,18,14,6,4,5,9,4,3,2,8,11,6,8,4,6,3,2,5,261
90,11,5,2,10,1,1,1,3,2,3,6,7,2,11,7,3,5,4,5,8,0,0,4,4,3,3,5,3,119
91,6,3,2,6,1,1,1,1,3,1,4,8,13,13,4,4,5,10,4,8,7,5,4,5,3,6,6,8,142
92,6,8,2,15,6,6,5,3,5,4,13,9,9,17,3,2,7,22,6,17,13,14,13,11,5,11,8,8,248
93,12,8,5,3,2,1,2,2,15,6,6,11,7,6,6,5,6,7,8,13,0,3,6,8,8,3,5,7,171
94,10,5,5,11,2,2,1,8,4,5,11,12,3,6,5,0,3,11,18,7,7,18,4,9,7,5,14,10,203
95,10,7,2,7,3,2,8,6,6,16,8,7,6,12,2,3,6,6,9,5,6,5,2,9,5,5,2,4,169
96,55,22,2,27,22,4,19,25,8,6,13,8,7,7,0,8,14,8,0,8,5,13,0,5,18,5,22,6,337
97,14,13,7,6,1,3,2,2,2,14,5,11,14,14,5,11,10,15,5,12,9,11,7,12,8,7,11,10,241
98,4,4,5,3,1,1,10,4,4,8,4,13,6,10,7,6,8,13,6,8,11,16,5,11,6,4,4,11,193
99,10,2,3,6,1,1,8,5,3,11,6,6,5,10,3,6,6,10,4,13,4,7,5,10,5,7,3,9,169
100,5,15,3,6,3,6,3,3,5,9,5,4,6,3,4,5,7,4,5,5,5,10,3,3,3,4,11,2,147
101,6,8,2,6,4,4,3,4,4,8,6,6,12,8,6,7,14,4,7,4,5,6,8,13,4,8,8,7,182
102,3,10,2,15,1,1,6,7,6,11,4,15,10,6,4,4,14,9,2,7,5,11,2,0,5,3,6,9,178
103,10,20,5,3,2,1,9,3,6,16,3,11,3,5,2,6,1,4,2,4,0,0,0,0,4,5,4,5,134
104,10,10,2,5,1,1,1,2,1,4,6,7,8,6,0,0,6,0,0,0,0,0,0,0,2,4,4,3,83
105,5,5,10,10,2,1,1,1,5,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,2,2,5,14,77
106,2,2,1,2,1,1,1,1,3,5,0,3,9,1,0,3,5,2,0,0,0,3,0,5,5,6,7,2,70
107,23,12,12,17,6,3,7,3,13,12,12,13,5,9,7,10,5,8,8,22,9,5,6,6,4,8,2,5,252
108,6,2,2,3,7,3,5,6,2,7,2,8,14,4,3,1,4,5,6,2,3,2,3,2,2,2,9,2,117
109,39,14,9,20,1,1,2,7,5,7,6,8,9,8,8,14,6,14,10,13,11,13,8,7,3,8,5,11,267
110,12,10,3,5,4,6,7,2,3,7,7,8,4,12,6,6,4,8,6,7,6,9,0,7,2,4,3,6,164
111,1,1,1,1,4,4,5,2,4,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
112,3,3,2,3,1,1,1,1,2,4,4,6,4,4,4,4,5,2,2,3,0,3,6,4,2,3,5,1,83
113,5,2,2,1,1,2,3,2,4,1,2,4,2,3,3,3,3,3,1,3,4,0,3,3,3,3,1,3,70
114,6,3,2,3,1,1,1,1,4,2,3,3,3,3,2,4,1,1,2,4,3,6,2,4,2,6,1,5,79
115,9,6,6,6,2,2,1,1,3,4,4,6,8,7,5,6,5,8,2,6,2,5,7,5,6,5,5,8,140
116,9,10,8,13,5,15,14,8,3,16,11,9,6,11,18,19,21,4,10,7,4,13,17,6,4,5,3,8,277
117,9,3,2,7,3,3,2,3,3,11,0,0,2,3,0,3,6,6,5,3,0,3,4,4,3,4,4,3,99
118,6,8,2,9,3,6,2,6,6,11,9,9,4,6,6,9,5,9,7,8,5,13,4,21,6,3,6,21,210
119,5,5,4,2,2,4,9,1,1,3,9,5,10,3,6,6,3,4,5,5,5,13,3,6,7,4,4,7,141
