"","word","n"
"1","no se",6
"2","un perro",5
"3","cabeza porque tiene pelos",3
"4","un gato",3
"5","gato porque tiene mucho pelo",2
"6","mi perro es una pelota de pelos",2
"7","no entiendo",2
"8","perro porque tiene mucho pelo",2
"9","perro porque tiene muchos pelos*",2
"10","un gato porque tiene muchos pelos.",2
"11","algo que tiene mucho pelo, porque asi es como se oye",1
"12","alguien que tiene demasiados pelos, las pelotas son grandes",1
"13","alguna persona con mucho pelo",1
"14","ardilla",1
"15","axila",1
"16","bola de pelos de los gatos",1
"17","cabeza porque es una pelota y tiene pelos*",1
"18","chango porque tiene pelos",1
"19","como el zacate",1
"20","creo que es ser genial",1
"21","cualquier animal porque tiene pelos",1
"22","cualquier otra mascota que penga pelos",1
"23","cuando te enojas mucho",1
"24","(dormido)",1
"25","el cabello desordenado",1
"26","el coco porque es redondo y circular y ademas tiene pelos",1
"27","el gato se hace rollo de pelos",1
"28","el mar porque esta muy grande",1
"29","el mundo",1
"30","el padre tiene mucho pelo",1
"31","el pecho porque tambien crece pelo",1
"32","el sol porque es redondo",1
"33","el vello porque cuando te lo quitas puedes hacer una pelota de vellos",1
"34","es chida",1
"35","es que es muy chido, porque cuando dice pelos se refiere a chido, valiente, etc.",1
"36","es su perro porque tiene mucho pelo",1
"37","gato, chango, leon, perro porque tienen pelos*",1
"38","gato, hamster porque los dos tienen mucho pelo",1
"39","gato porque tiene muchos pelos",1
"40","gato porque tiene pelos",1
"41","gato, porque tiene pelos",1
"42","hamster, porque el chiste es que tenga pelos",1
"43","hamster, porque tiene alrededor de su rostro pelo",1
"44","jamster porque tiene pelo",1
"45","la axila",1
"46","la cabeza",1
"47","la cabeza de chewbacca",1
"48","la cabeza porque tiene cabello",1
"49","la cabeza porque tiene mucho pelo",1
"50","la cabeza porque tiene muchos pelos",1
"51","la cabeza porque tiene pelo",1
"52","la de los gatos",1
"53","la pelota de picos",1
"54","las cabezas de los demas",1
"55","las manos porque salen pelos",1
"56","los perros y la cabeza",1
"57","mi abuelito es una pelota de pelos",1
"58","mi amigo es una pelota de pelos, mi amigo es lo mejor",1
"59","mi axila porque tiene pelos",1
"60","mi cabello, porque cuando te peinas te puedes hacer chinos",1
"61","mi cabello porque se la pasa enredado ",1
"62","mi cabeza, tiene mucho cabello",1
"63","mi gato porque suelta mucho pelo",1
"64","mi gato porque tiene pelos",1
"65","mi hermano porque es ruidoso",1
"66","mi mama",1
"67","mi oso panda",1
"68","mi papa, un chango, un gato, un leon, un gorila",1
"69","mi perrito porque es gordo y peludo*",1
"70","mi perro porque tiene mucho pelo",1
"71","mi perro porque tiene muchos pelos",1
"72","mi perro porque tiene pelos",1
"73","mi primo es una pelota divertida",1
"74","mi primo tiene pelos",1
"75","mi vecina porque, que se?",1
"76","muchos pelos, porque una pelota es como mucho",1
"77","nada porque no existen esas pelotas",1
"78","no existe",1
"79","no lo se",1
"80","no lo se es como si fuera de que el balon esta duro",1
"81","no respondio",1
"82","no se me ocurre ninguna",1
"83","no se, no se me ocurre otra cosa",1
"84","o sea que es una pelota peluda",1
"85","papa (jajajaja) la verdad no se, solo lo puse porque no pensaba en nada mas",1
"86","para un perro",1
"87","pelota",1
"88","pelota de piojos porque es algo del cabello",1
"89","pelota de volleyball, pelota de tennis, baseball, y football",1
"90","perrito porque tiene muchos pelos*",1
"91","perro*",1
"92","perro, cabeza, rata, hamster, conejo, raton.",1
"93","perro, hamster, oso o monos",1
"94","perro o hamster",1
"95","perro o hamster porque tienen muchos pelos*",1
"96","perro, porque es muy peludo",1
"97","perro porque es peludo*",1
"98","perro porque son muy peludos*",1
"99","perro porque tiene mucho pelo*",1
"100","perro porque tiene muchos pelos",1
"101","perro porque tiene pelos",1
"102","perro porque tiene pelos*",1
"103","perro porque ya que todo lo ve como una pelota todo es una pelota",1
"104","perro que lo saco a pasar",1
"105","perros porque tienen mucho pelo",1
"106","perro tiene mucho pelo",1
"107","perro tiene muchos pelos*",1
"108","perro tiene pelos",1
"109","porque esta lleno de pelo de la cabeza hasta la cola",1
"110","porque se le cae el pelo",1
"111","porque tiene mucho pelo",1
"112","porque una pelota no tiene pelos",1
"113","puede ser como una pelota de pelos porque puede ser asi",1
"114","puede ser muy suave",1
"115","pues un pajaro porque es muy peludo",1
"116","que es suave ",1
"117","que esta chida esta de !pelos!",1
"118","que esta hecha de pelos",1
"119","que es una pelota",1
"120","que hay cosas con muchos pelos, como el perro o gato",1
"121","que mi mama tiene pelo en la cabeza",1
"122","que son pelotas cualquiera",1
"123","que tiene mucho pelo",1
"124","que una pelota tiene pelos",1
"125","rata",1
"126","se le cae el pelo o porque tiene mucho pelo",1
"127","seria como una mascota",1
"128","seria una pelota hecha de pelos",1
"129","si",1
"130","significa que su papa es porque son peludos",1
"131","sin respuesta",1
"132","solo el perro",1
"133","su cabeza",1
"134","su papa es de pelos",1
"135","su pc porque el nino se divierte",1
"136","su perro",1
"137","sus primos porque son buenos",1
"138","tiene muchos pelos",1
"139","tiene muchos pelos o podria ser un animal",1
"140","tiene una pelota de pelos esta bien chida",1
"141","tu porque eres la unica que falta",1
"142","una bola con pelos",1
"143","una bola de estambre o una cabeza de pelo",1
"144","una bola de estambre porque tiene forma de pelos",1
"145","una bola de pelos",1
"146","una bola de pelos de gato",1
"147","una bola llena de pelos",1
"148","una cabeza con muchos pelos",1
"149","una cabeza o cabello, porque la cabeza es la pelota y los pelos son los cabellos",1
"150","una cabeza porque hay mucho pelos, un juguete que sea de pelos u otra cosa, etc",1
"151","una cabeza, porque tiene pelos",1
"152","una cabeza tiene muchos pelos",1
"153","una mascota porque mi mascota es una bola de pelos bueno esta peluda",1
"154","un amigo porque puede tener mucho pelo",1
"155","un animal con mucho fuego",1
"156","un animal, perro, gato, cebra porque tienen pelos*",1
"157","un animal porque los animales tienen pelos",1
"158","una pelota con lineas delgadisimas porque asi es el cabello",1
"159","una pelota de lana porque tiene forma de pelota y tiene tipo de pelos",1
"160","una pelota de oro, porque una pelota de pelos nadie la quiere",1
"161","una pelota de pelo no se puede porque se desata",1
"162","una pelota grande depende a que se refiera de pelos o el pelo",1
"163","una pelota que le cayo pelo de la peluqueria",1
"164","una pelota que tiene de adorno pelos",1
"165","una pelota que tiene pelos",1
"166","una pelota traviesa y gritona",1
"167","una peluca de pelos",1
"168","una persona de pelos, porque pelota es como decir persona",1
"169","un balon con picos porque parecen pelos",1
"170","un balon de espinas porque tendria mucha similitud",1
"171","un circulo porque es redondo como las pelotas",1
"172","un erizo, tiene muchos pinchos",1
"173","un gatito porque los gatos tienen muchos pelos",1
"174","un gato creo",1
"175","un gato o un perro",1
"176","un gato porque ellos tienen muchos pelos",1
"177","un gato porque es muy peludo",1
"178","un gato porque sacan bolas de pelo",1
"179","un gato tiene pelos",1
"180","un gato, un hamster, una rata y un cote, porque tienen mucho pelo",1
"181","un hamster, porque perro ya se ocupa mucho",1
"182","un monton de pelos",1
"183","uno mismo por no cortarse el pelo",1
"184","un oso",1
"185","un oso porque esta gordo y peludo",1
"186","un oso, un lobo son animales que necesitan su pelo para cubrirse.",1
"187","un peluche",1
"188","un peluche, porque algunos son redondos y tienen el pelo suave",1
"189","un peluche, una almohada, el algodon, etc, porque tienen pelos pero de diferente material",1
"190","un perro gordo",1
"191","un perro gordo porque la pelota de pelos podria ser un perro gordo",1
"192","un perro, los perros tienen mucho pelo en todas partes",1
"193","un perro porque tiene mucho pelo",1
"194","un perro porque tienen muchos pelos",1
"195","un perro york o un poodle porque tienen mucho pelo, pero el que mas peludo esta, es el york.",1
"196","un puerco espin, porque es como una pelota con pelos",1
"197",NA,1
