"line","word"
1,"mi pelo"
2,"mi abuela"
3,"pelos"
4,"mi cabeza"
5,"mi papa"
6,"gato"
7,"perro"
8,"papa"
9,"gato"
10,"cabeza"
11,"perro"
12,"mama"
13,"gato"
14,"pelota"
15,"gato"
16,"papa"
17,"hermana"
18,"mi fenomeno"
19,"gato"
20,"primo"
21,"cabeza"
22,"cabeza"
23,"hermano"
24,"cabeza"
25,"perrito"
27,"pedro"
28,"gato"
29,"pelota"
30,"""no entendio"""
31,"cabeza"
32,"gato"
33,"gato"
34,"pelota"
35,"perro"
36,"perro"
37,"cabello"
38,"perro"
39,"pelotas"
40,"perro"
41,"amigo"
42,"ermos"
43,"bola"
44,"papa"
45,"no se"
46,"pelota"
47,"gato"
48,"cabeza"
49,"carro"
50,"perro"
51,"amigo"
52,"perro"
53,"cabello"
54,"perro"
55,"perrito"
56,"perro"
57,"papa"
58,"hermano"
59,"cabeza"
60,"perro"
61,"cabeza"
62,"pelota"
63,"perro"
64,"pelota"
65,"amigo"
66,"cabeza"
67,"cabeza"
68,"papa"
69,"papa"
70,"amiga"
71,"pelota"
72,"pelota"
73,"pelota"
74,"gato"
75,"perrito"
76,"papa"
77,"gato"
78,"hermano"
79,"gato"
80,"pelo"
81,"no contesto"
82,"perro"
83,"cabeza"
84,"coco"
85,"gato"
86,"cabeza"
87,"hermana"
88,"mama"
89,"cabello"
90,"gato"
91,"cabeza"
92,"perro"
93,"pelo"
94,"jabon"
95,"perro"
96,"perro"
97,"hermanito"
98,"pelo"
99,"mama"
100,"planeta"
101,"perro"
102,"(dormido)"
103,"gato"
104,"cabeza"
105,"no contesto"
106,"cabello"
107,"a "
108,"circulo"
109,"cabeza"
110,"cabello"
111,"cabeza"
112,"mama"
113,"hermano"
114,"pelota"
115,"perro"
116,"perro"
117,"perro"
118,"mama"
119,"perro"
120,"mama"
121,"gato"
122,"perro"
123,"perro"
124,"mama"
125,"papa"
126,"cabello"
127,"cabeza"
128,"cabeza"
129,"hermano"
130,"pelo"
131,"perro"
132,"gato"
133,"perrito"
134,"perro"
135,"perro"
136,"pluma"
137,"perro"
138,"perro"
139,"hermano"
140,"perro"
141,"hermanito"
142,"perro"
143,"gato"
144,"gato"
145,"perro"
146,"perro"
147,"perro"
148,"cabeza"
149,"hermana"
150,"pelota"
151,"gato"
152,"perro"
153,"papa"
154,"pierna"
155,"pelota"
156,"pelota"
157,"perro"
158,"perro"
159,"cabeza"
160,"perro"
161,"perro"
162,"papa"
163,"mascota"
164,"perro"
165,"papa"
166,"cabeza"
167,"papa"
168,"cabello"
169,"hermano"
170,"perro"
171,"perro"
172,"perro"
173,"cuerpo"
174,"perro"
175,"gato"
176,"gato"
177,"perro"
178,"cabeza"
179,"gato"
180,"papa"
181,"perro"
182,"amigo"
183,"gato"
184,"pelota"
185,"perro"
186,"amigo"
187,"perro"
188,"perro"
189,"gato"
190,"gato"
191,"pelota"
192,"mascota"
193,"gato"
194,"gato"
195,"maestra"
196,"cabeza"
197,"perro"
198,"perro"
199,"perro"
200,"no"
201,"gato"
202,"gato"
203,"cabeza"
204,"gato"
205,"gato"
206,"papa"
207,"perro"
208,"perro"
209,"hermana"
210,"hermano"
211,"gato"
212,"ramon"
213,"mama"
214,"cabeza"
215,"perro"
216,"papa"
