"","word","ninos","author","proportion"
"1","a ",0.00465116279069767,"ninas",NA
"2","abuela",NA,"ninas",0.00943396226415094
"3","amiga",0.00465116279069767,"ninas",NA
"4","amigo",0.0232558139534884,"ninas",0.00471698113207547
"5","balon",NA,"ninas",0.00471698113207547
"6","bola",0.00465116279069767,"ninas",NA
"7","bonita",NA,"ninas",0.00471698113207547
"8","cabello",0.0325581395348837,"ninas",0.0377358490566038
"9","cabeza",0.116279069767442,"ninas",0.122641509433962
"10","carro",0.00465116279069767,"ninas",NA
"11","cepillo",NA,"ninas",0.00943396226415094
"12","circulo",0.00465116279069767,"ninas",NA
"13","coco",0.00465116279069767,"ninas",0.0188679245283019
"14","conejo",NA,"ninas",0.00471698113207547
"15","corazon",NA,"ninas",0.00471698113207547
"16","cuerpo",0.00465116279069767,"ninas",NA
"17","cuyo",NA,"ninas",0.00471698113207547
"18","(dormido)",0.00465116279069767,"ninas",NA
"19","ermos",0.00465116279069767,"ninas",NA
"20","gatito",NA,"ninas",0.00471698113207547
"21","gato",0.153488372093023,"ninas",0.0754716981132075
"22","hermana",0.0186046511627907,"ninas",0.0235849056603774
"23","hermanito",0.00930232558139535,"ninas",0.0141509433962264
"24","hermano",0.0372093023255814,"ninas",0.0188679245283019
"25","jabon",0.00465116279069767,"ninas",NA
"26","karen",NA,"ninas",0.00471698113207547
"27","la pelota",NA,"ninas",0.00471698113207547
"28","madrina",NA,"ninas",0.00471698113207547
"29","maestra",0.00465116279069767,"ninas",0.00471698113207547
"30","mama",0.0372093023255814,"ninas",0.0377358490566038
"31","mascota",0.00930232558139535,"ninas",0.0235849056603774
"32","mi abuela",0.00465116279069767,"ninas",NA
"33","mi cabeza",0.00465116279069767,"ninas",0.00471698113207547
"34","mi fenomeno",0.00465116279069767,"ninas",NA
"35","mi hermano",NA,"ninas",0.00471698113207547
"36","mi mama",NA,"ninas",0.00471698113207547
"37","mi papa",0.00465116279069767,"ninas",NA
"38","mi pelo",0.00465116279069767,"ninas",NA
"39","mi perro",NA,"ninas",0.00943396226415094
"40","mi primo",NA,"ninas",0.00471698113207547
"41","mundo",NA,"ninas",0.00471698113207547
"42","muneca",NA,"ninas",0.00471698113207547
"43","muy feo",NA,"ninas",0.00471698113207547
"44","no",0.00465116279069767,"ninas",NA
"45","no contesto",0.00930232558139535,"ninas",NA
"46","""no entendio""",0.00465116279069767,"ninas",NA
"47","no se",0.00465116279069767,"ninas",0.00471698113207547
"48","papa",0.0697674418604651,"ninas",0.10377358490566
"49","pedro",0.00465116279069767,"ninas",NA
"50","pelo",0.0186046511627907,"ninas",0.00943396226415094
"51","pelos",0.00465116279069767,"ninas",NA
"52","pelota",0.0697674418604651,"ninas",0.0235849056603774
"53","pelota de pelos",NA,"ninas",0.0235849056603774
"54","pelota pelos",NA,"ninas",0.00471698113207547
"55","pelotas",0.00465116279069767,"ninas",0.00471698113207547
"56","pelusa",NA,"ninas",0.00471698113207547
"57","perrita",NA,"ninas",0.0141509433962264
"58","perrito",0.0186046511627907,"ninas",NA
"59","perro",0.251162790697674,"ninas",0.297169811320755
"60","pierna",0.00465116279069767,"ninas",NA
"61","planeta",0.00465116279069767,"ninas",NA
"62","pluma",0.00465116279069767,"ninas",NA
"63","primo",0.00465116279069767,"ninas",0.00471698113207547
"64","ramon",0.00465116279069767,"ninas",NA
"65","sacate",NA,"ninas",0.00471698113207547
"66","tia",NA,"ninas",0.00471698113207547
"67","tio",NA,"ninas",0.00471698113207547
"68",NA,NA,"ninas",0.00471698113207547
