"line","word"
1,"mucho dinero"
2,"mi vecino"
3,"veredo"
4,"mi estomago "
5,"la nina"
6,"metal"
7,"moneda"
8,"que"
9,"hermana "
10,"luna"
11,"tu sonrisa"
12,"hermanito"
13,"la luna"
14,"la paja"
15,"el"
16,"anochecer"
17,"mama"
18,"pesada"
19,"mi perro"
20,"papa"
21,"luna"
22,"mar"
23,"mama"
24,"cual"
25,"mar"
27,"mi mama"
28,"perro"
29,"pesada"
30,"""no entendio"""
31,"moneda"
32,"el fierro"
33,"no se"
34,"pelota"
35,"y"
36,"no se"
37,"la luna"
38,"la estrella"
39,"pelotas"
40,"luna"
41,"el"
42,"voliche"
43,"agua"
44,"abuela"
45,"la luna"
46,"caliente"
47,"la luna"
48,"iman"
49,"baston"
50,"no contesto"
51,"como"
52,"mi vida"
53,"medalla"
54,"robot"
55,"no contesto"
56,"luna"
57,"la nina"
58,"brillante"
59,"el balon"
60,"papa"
61,"la moneda"
62,"que"
63,"arete"
64,"la plata"
65,"tambien"
66,"hierro"
67,"el anillo"
68,"la luna"
69,"plata"
70,"el"
71,"la mina"
72,"el"
73,"que"
74,"cara"
75,"planta"
76,"ella"
77,"la luna"
78,"el agua"
79,"mi moneda"
80,"no se"
81,"no contesto"
82,"el pez"
83,"la luna"
84,"la luna"
85,"la luna"
86,"moneda"
87,"ella"
88,"y"
89,"moneda"
90,"luna"
91,"aretes"
92,"no entiendo nada"
93,"luna"
94,"anillo"
95,"mama"
96,"el"
97,"canto"
98,"que es"
99,"que"
100,"que es"
101,"el"
102,"(dormido)"
103,"luna"
104,"luna"
105,"no contesto"
106,"moneda"
107,"que"
108,"fuerte"
109,"no entiendo"
110,"el arete"
111,"luna"
112,"hermano"
113,"eliod"
114,"pelota"
115,"senor"
116,"minero"
117,"la luna"
118,"rico"
119,"oro"
120,"plata"
121,"mi goma"
122,"luna"
123,"no respondio"
124,"mi hermanito"
125,"la estrella"
126,"el dinero"
127,"medalla"
128,"la luna"
129,"pelota roja"
130,"el hierro"
131,"mama"
132,"mi consola"
133,"medalla"
134,"la luna"
135,"luna"
136,"carro"
137,"mi cabello"
138,"la luna"
139,"papa"
140,"no respondio"
141,"mi mama"
142,"luna"
143,"dinero"
144,"la luna"
145,"mi alcancia"
146,"luna"
147,"la luna"
148,"la luna"
149,"oro"
150,"nino"
151,"la luna"
152,"la luna"
153,"no respondio"
154,"mujer"
155,"ella"
156,"la bola"
157,"el"
158,"luego"
159,"la luna"
160,"hermanito"
161,"el"
162,"mi abuelo"
163,"mama"
164,"luna"
165,"amigo"
166,"moneda"
167,"porque"
168,"amigo"
169,"y el otro"
170,"dinero"
171,"dadega"
172,"el oro"
173,"amor"
174,"mi moneda"
175,"perro"
176,"la luna"
177,"cartera"
178,"la moneda"
179,"solta"
180,"la luna"
181,"que"
182,"la llanta"
183,"el amigo"
184,"la pelota"
185,"mi dinero"
186,"hermano"
187,"hermano"
188,"mi reloj"
189,"mi casa"
190,"mi papa"
191,"no respondio"
192,"mi casa"
193,"mi abuelo"
194,"la luna"
195,"ese"
196,"la moneda"
197,"y"
198,"oro"
199,"cartera"
200,"no"
201,"la luna"
202,"una canica"
203,"luna"
204,"luna"
205,"la perla"
206,"la moneda"
207,"papa"
208,"moneda"
209,"no "
210,"mateo"
211,"canica"
212,"mike"
213,"si"
214,"mi alma"
215,"mi papa"
216,"la luna"
217,"caliente"
218,NA
219,"luna"
220,"dije"
221,"mi abuela"
222,"arete"
223,"luna"
224,"abuelita"
225,"que bonito"
226,"mi trofeo"
227,"esa"
228,"luna"
229,"el bosque"
230,"oro"
231,"de fuego"
232,"luna"
233,"mama"
234,"primo"
235,"trofeo"
236,"es una"
237,"jazmin"
238,"papa"
239,"trofeo"
240,"corazon"
241,"collar"
242,"cadena"
243,"moneda"
244,"medalla"
245,"trofeo"
246,"no contesto"
247,"el"
248,"maceta"
249,"y (el tiempo)"
250,"luna"
251,"no contesto"
252,"no se"
253,"el"
254,"porque"
255,"no se"
256,"la brillantina"
257,"moneda"
258,"no se"
259,"luna"
260,"pelota"
261,"luna"
262,"luna"
263,"luna"
264,"luna"
265,"pelota plata"
266,"planta"
267,"como"
268,"??l"
269,"plata"
270,"sarten"
271,"abuela"
272,"luna"
273,"globo"
274,"mena"
275,"nino"
276,"tio"
277,"el anillo"
278,"bandeja"
279,"el metal"
280,"luna"
281,"papa"
282,"luna"
283,"papa"
284,"esfera"
285,"luna"
286,"luna"
287,"papa"
288,"amigo"
289,"el"
290,"moneda"
291,"luna"
292,"luna"
293,"papa"
294,"arbol"
295,"luna"
296,"pelota plata"
297,"luna"
298,"luna"
299,"luna"
300,"luna"
301,"luna"
302,"luna"
303,"naranja"
304,"luna"
305,"el"
306,"mama"
307,"no contesto"
308,"muy"
309,"sol"
310,"gran jaguar"
311,"no contesto"
312,"la"
313,"cuando estan feliz"
314,"pelota plata"
315,"aire"
316,"abuela"
317,"tambien"
318,"abuela"
319,"minero"
320,"la luna"
321,"tomate"
322,"la luna"
323,"luna"
324,"mama"
325,"la luna"
326,"la calceta"
327,"el es como una"
328,"balon"
329,"mi corazon"
330,"la luna"
331,"juan"
332,"luna"
333,"luna"
334,"medallita"
335,"mi hermana"
336,"papa"
337,"dorado"
338,"luna"
339,"familia"
340,"la nieve"
341,"alcancia"
342,"el mundo"
343,"tambien"
344,"mama"
345,"cualquiera"
346,"pelota"
347,"mi abuelo"
348,"el"
349,"luna"
350,"luna"
351,"pelota"
352,"trofeo"
353,"porque"
354,"la luna"
355,"luna"
356,"familia"
357,"pelotas"
358,"la luna"
359,"mama"
360,"su pulsera"
361,"pasto"
362,"la nieve"
363,"que es"
364,"nieve"
365,"medalla"
366,"luna"
367,"mama"
368,"hermana"
369,"ojos"
370,"mi luna"
371,"la tierra"
372,"mi espada"
373,"luna"
374,"la luna"
375,"la mente"
376,"el"
377,"la luna"
378,"hierro"
379,"hierro"
380,"ella"
381,"amiga"
382,"luna"
383,"el plateado"
384,"el"
385,"no contesto"
386,"la moneda"
387,"no contesto"
388,"dolor"
389,"tia"
390,"bondad"
391,"dinero"
392,"una amiga"
393,"abuela"
394,"hermana"
395,"luna"
396,"el anillo"
397,"que"
398,"papa"
399,"y la luna"
400,"amigo"
401,"que es"
402,"y"
403,"esta"
404,"mi hermana"
405,"la estatua"
406,"esta"
407,"la novia"
408,"hermana"
409,"porque"
410,"amigo"
411,"familia"
412,"el televisor"
413,"boton"
414,"mi amiga"
415,"mi deporte"
416,"la moneda"
417,"tio"
418,"lupita"
419,"papa"
420,"la bala"
421,"pinpon"
422,"luna"
423,"luna"
424,"eso"
425,"luna"
426,"la luna"
427,"en un anillo"
428,"eso"
