"","word","n"
"1","que grita mucho",26
"2","que su hermano grita mucho",11
"3","por que grita mucho",6
"4","que su hermanito grita mucho",5
"5","porque grita mucho",4
"6","grita mucho",3
"7","mi hermano grita mucho",3
"8","que grita demasiado",3
"9","que mi hermano grita mucho",3
"10","que siempre esta gritando",3
"11","que siempre grita",3
"12","que su hermano es muy griton",3
"13","que su hermano grita mucho.",3
"14","que su hermano se la pasa gritando",3
"15","que tu hermano grita mucho",3
"16","mi hermanito grita mucho",2
"17","no",2
"18","por que siempre grita",2
"19","que el hermano se la pasa gritando",2
"20","que grita",2
"21","que mi hermanito es muy griton",2
"22","que se la pasa gritando",2
"23","quiere decir que su hermano grita mucho",2
"24","quiere decir que su hermano grita mucho.",2
"25","siempre grita",2
"26","su hermano grita mucho",2
"27","13fg",1
"28","alguien que grita",1
"29","al hermano lo representa como una pelota y el grita mucho",1
"30","and fort",1
"31","a qiere",1
"32","como esta pequeno da lata",1
"33","cuando a alguien se le dice pelota, la mayoria de veces es porque tratan de decirle gordo/a asi que supongo que trata de decir que su hermano es un gordo griton",1
"34","cuando al hermano no le compran nada se pone gritar",1
"35","de que el hermano nada mas se la pasa gritando y eso molesta",1
"36","de que su hermano grita mucho",1
"37","de que su hermano o es un quejumbroso o es un lloron",1
"38","describe como es el hermano,quiere decir  que grita mucho",1
"39","el hermano es muy inquieto",1
"40","el hermano que grita.",1
"41","el hermano representa a un infante en plena etapa de inocencia y escandalo",1
"42","el nino grita mucho o habla de mas",1
"43","es alguien que grita o habla demasiado",1
"44","es cuando mi hermano siempre esta llorando o gritando",1
"45","es decir que tu hermanito es un griton",1
"46","es gordito y grita mucho",1
"47","es griton",1
"48","es muy griton",1
"49","es muy latoso",1
"50","es muy ruidoso",1
"51","es que su hermano es muy imperactivo",1
"52","es su apodo",1
"53","esta lleno de gritos",1
"54","esta usando la palabra pelota para todo, asi ue podemos pensar que su hermanito simplemente es muy griton",1
"55","es una machina a gritar",1
"56","es una maquina o bien alguien que grita demasiado",1
"57","es una persona gordita que grita",1
"58","esunaternura",1
"59","es un nino",1
"60","es un nino muy griton",1
"61","es un nino que grita mucho",1
"62","es un ni?'o que se la pasa gritando y llorando todo el dia",1
"63","es un ser que grita mucho",1
"64","explica que el hermano grita mucho e inquieto",1
"65","grita",1
"66","gritan mucho",1
"67","invalida x sistema",1
"68","la forma de expresar a un ser por medio de palabras metaforicas",1
"69","la pelota significa su impratividad osea como *rebotar* y los gritos representa el ruido que hace",1
"70","la referencia da a que el hermano grita mucho pero es como si le hubieran puesto como tipo sobrante ""pelota""",1
"71","llora o grita mucho",1
"72","??l molesta facilmente",1
"73","lo que yo entiendo es que su hermano grita mucho y a eso se refiere.",1
"74","mi hermanito en un nino que grita mucho",1
"75","mi hermanito es gordito y es griton",1
"76","mi hermanito es un nino de gritos",1
"77","mi hermanito grita mucho.",1
"78","mi hermanito me estresa cada bes que grita.",1
"79","mi hermano cada vez que grita se vuelve muy constante",1
"80","mi hermano es alguien que no para de gritar y hablar",1
"81","mi hermano es muy escandaloso",1
"82","mi hermano es muy griton",1
