"","word","n"
"1","la luna",24
"2","luna",16
"3","el",8
"4","moneda",7
"5","que",6
"6","mama",5
"7","la moneda",4
"8","no contesto",4
"9","no respondio",4
"10","papa",4
"11","ella",3
"12","hermano",3
"13","medalla",3
"14","no se",3
"15","oro",3
"16","y",3
"17","amigo",2
"18","cartera",2
"19","dinero",2
"20","hermanito",2
"21","la estrella",2
"22","la nina",2
"23","mar",2
"24","mi abuelo",2
"25","mi casa",2
"26","mi mama",2
"27","mi moneda",2
"28","mi papa",2
"29","pelota",2
"30","perro",2
"31","pesada",2
"32","plata",2
"33","que es",2
"34","abuela",1
"35","agua",1
"36","amor",1
"37","anillo",1
"38","anochecer",1
"39","arete",1
"40","aretes",1
"41","baston",1
"42","brillante",1
"43","caliente",1
"44","canica",1
"45","canto",1
"46","cara",1
"47","carro",1
"48","como",1
"49","cual",1
"50","dadega",1
"51","(dormido)",1
"52","el agua",1
"53","el amigo",1
"54","el anillo",1
"55","el arete",1
"56","el balon",1
"57","el dinero",1
"58","el fierro",1
"59","el hierro",1
"60","eliod",1
"61","el oro",1
"62","el pez",1
"63","ese",1
"64","fuerte",1
"65","hermana ",1
"66","hierro",1
"67","iman",1
"68","la bola",1
"69","la llanta",1
"70","la mina",1
"71","la paja",1
"72","la pelota",1
"73","la perla",1
"74","la plata",1
"75","luego",1
"76","mateo",1
"77","metal",1
"78","mi alcancia",1
"79","mi alma",1
"80","mi cabello",1
"81","mi consola",1
"82","mi dinero",1
"83","mi estomago ",1
"84","mi goma",1
"85","mi hermanito",1
"86","mike",1
"87","minero",1
"88","mi perro",1
"89","mi reloj",1
"90","mi vecino",1
"91","mi vida",1
"92","mucho dinero",1
"93","mujer",1
"94","nino",1
"95","no",1
"96","no ",1
"97","""no entendio""",1
"98","no entiendo",1
"99","no entiendo nada",1
"100","pelota roja",1
"101","pelotas",1
"102","planta",1
"103","porque",1
"104","rico",1
"105","robot",1
"106","senor",1
"107","si",1
"108","solta",1
"109","tambien",1
"110","tu sonrisa",1
"111","una canica",1
"112","veredo",1
"113","voliche",1
"114","y el otro",1
