"line","word"
1,"si, porque es una cancion que se va formando"
2,NA
3,"no, porque casi no se le entiende que quiere decir"
4,"no, porque una pelota no canta"
5,"si, porque rima poquito y habla sobre la familia"
6,"no, no rima y no tiene sentido de las palabras"
7,"si, porque se entiende que alguien de tu familia canta"
8,"no, no tiene sentido"
9,"si,todos tienen su chiste"
10,"no, porque no se escucha bien"
11,"si, porque luego las pelotas van en sentido contrario."
12,"si,su mama canta"
13,"si,porque su palabra significa algo"
14,"si,poema"
15,"si, porque luego las pelotas van en sentido contrario."
16,"si, porque a su mama le gusta cantar"
17,"si, porque mi mama canta"
18,"si, porque se explica lo que dice"
19,"si, porque rima"
20,"no, porque una pelota no canta*"
21,"no, es poema y no es cancion"
22,"si, porque describe una cosa o una persona"
23,"si, porque se oye bonito"
24,"si, porque mi mama canta"
25,"si, porque esta en sentido figurado pelota que canta es como alguien que canta"
26,"no, porque una pelota no canta"
27,"no porque las pelotas no cantan, pero puede que estuviera hablando en sentido figurado, seria una cara cantando."
28,"no, porque es tonta"
29,"si, porque algunas mamas cantan"
30,"no,porque no cantan"
31,"no, porque una pelota no canta"
32,"no, no tiene sentido"
33,"si, rima con no puedo contarlas"
34,"si,cada vez que rebota"
35,"si, porque el poema trata de pelota"
36,"si, porque rima con el poema"
37,"no, las pelotas no cantan"
38,"si, porque puede ser en mi imaginacion"
39,"no, ninguna pelota habla"
40,"si, porque a su mama le gusta cantar"
41,"si, porque es como si digieran el"
42,"no, porque no la conteste"
43,"si, porque compara a su familia"
44,"no, porque las pelotas no hablan"
45,"si, todo rima"
46,"si, porque indica que a la mama le gusta cantar"
47,"no, porque no lo entiendo"
48,"no, porque las pelotas no hablan"
49,"si, porque es fuego, plata y pelos..rima como pelota"
50,"si, porque suena a pelota"
51,"si, porque rima con el poema"
52,"no, porque las pelotas no hablan"
53,"si, porque la mama puede cantar"
54,"si, porque la persona es una pelota que canta mucho"
55,"no, porque las pelotas no cantan"
56,"si, porque se refiere a alguien que canta"
57,"no, porque las pelotas no hablan*"
58,"no,porque no cantan"
59,"no, porque no tiene sentido"
60,"no, porque las pelotas no cantan"
61,"no, porque las pelotas no cantan*"
62,"no, porque las pelotas no hablan*"
63,"si, porque la persona es una pelota que canta"
64,"no, porque las pelotas no cantan*"
65,"no, porque las pelotas no hablan*"
66,"si, porque a su mama le gusta cantar"
67,"no, porque las pelotas no cantan*"
68,"no, porque las pelotas no cantan*"
69,"si, es una persona que canta"
70,"si, es una persona que canta"
71,"si, es una persona que canta"
72,"no, porque las pelotas no cantan*"
73,"si, es una persona que canta"
74,"si,porque la mama canta"
75,"no, porque las pelotas no cantan*"
76,"no, porque no suena logico"
77,"si, porque puedes jugar con ella"
78,"no, no tiene sentido"
79,"no entiendo"
80,"no, porque las pelotas no cantan*"
81,"si, puede imaginar una pelota que canta"
82,"no, porque las pelotas no cantan*"
83,"no porque las pelotas no cantan*"
84,"si, todos cantan"
85,"no, porque no es redonda"
86,"no, porque las pelotas no cantan*"
87,"no entiendo"
88,"si, porque terminan con ta"
89,"si, porque a su mama le gusta cantar"
90,"si,porque tiene sentido"
91,"no, porque las pelotas no hablan*"
92,"si,porque tiene sentido"
93,"no, porque las pelotas no cantan*"
94,"si,tienen sentido"
95,"si,porque rebota"
96,"no, porque las pelotas no cantan*"
97,"no,porque no existen"
98,"si, porque rima"
99,"no, porque no tiene sentido"
100,"si, porque es un poema"
101,"no, porque las pelotas no cantan*"
102,"no, porque las pelotas no cantan*"
103,"no, porque las pelotas no cantan*"
104,"si,porque rima"
105,"no, porque las pelotas no cantan*"
106,"si, porque dice que su mama es una pelota que canta, o sea que es muy alegre y feliz"
107,"no, porque las pelotas no cantan*"
108,"no, porque las pelotas no cantan*"
109,"si, porque rima y ademas es un poema"
110,"no, porque las pelotas no cantan*"
111,"no, porque las pelotas no cantan*"
112,"si, porque su mama canta"
113,"no, porque ninguna pelota habla, menos que canta"
114,"si, tiene significado, creo que habla de la garganta o el chillido de una pelota"
115,"no, porque las pelotas no cantan*"
116,"si, porque a su mama le gusta cantar*"
117,"si, significa que su mama canta"
118,"no, las pelotas no tienen boca"
119,"no, porque las pelotas no cantan*"
120,"si, te demuestra que caracteres tiene tu familia"
121,"si, porque tiene sentido entre la pelota y lo demas"
122,"no, porque las pelotas no cantan*"
123,"si, mi mama canta"
124,"si, porque todas las personas las conocen por su redondez"
125,"no, porque no existe"
126,"no, porque las pelotas no hablan"
127,"no, porque las pelotas no cantan*"
128,"si, porque asi se demuestran las mamas cuando estan contentas o felices"
129,"si, porque canta la pelota cuando rebota"
130,"no, porque las pelotas no tienen boca"
131,"si, cuando nuestra mama nos regana nos grita, o tambien cuando no la obedecemos"
132,"no, porque las pelotas no cantan*"
133,"no, porque las pelotas no hablan*"
134,"si, porque habla sobre su mama"
135,"si, porque rima"
136,"si, porque dice en la cancion que toda tu familia parece pelotas"
137,"no, porque las pelotas no cantan*"
138,"no, porque las pelotas no cantan*"
139,"no, porque las pelotas no cantan*"
140,"no, porque las pelotas no cantan"
141,"no, porque no es una pelota que canta, sino una pelota cualquiera"
142,"no, porque las pelotas no cantan"
143,"no, porque las pelotas no pueden cantar porque no tienen boca*"
144,"no, porque las pelotas no cantan*"
145,"si, porque tenia varios ejemplos"
146,"si,porque todos los conocemos"
147,"no, porque no rima"
148,"si, porque todas las pelotas hacen lo que quieren"
149,"no, porque no se le entiende a la frase pelota"
150,"no, porque es obvio que ninguna ""pelota canta"""
151,"no, porque las pelotas no cantan*"
152,"si, porque cada vez que rebota su mama quiere cantar"
153,"no, porque las pelotas no cantan*"
154,"no,porque mi mama puede cantar, pero no todo el tiempo"
155,"no,porque esta en sentido figurado"
156,"si, porque su mama canta mucho y la describio como una pelota"
157,"no, porque es una pelota cualquiera"
158,"no,porque no todo es una pelota"
159,"no, porque no tiene sentido alguno"
160,"si, porque una mama puede cantar con una pelota"
161,"no, porque las pelotas no tienen boca"
162,"si, porque tu mama canta bonito"
163,"si, porque es una persona gordita que canta"
164,"no, porque las pelotas no hablan*"
165,"no, porque las pelotas no cantan*"
166,"no, porque su mama es un ser vivo y no un material"
167,"no, porque las pelotas no cantan*"
168,"no, porque las pelotas no cantan*"
169,"no, porque casi no rima"
170,"no, porque las pelotas ni se mueven ni cantan"
171,"no, porque las pelotas no cantan*"
172,"no, porque las pelotas no cantan"
173,"si, porque es mama que canta"
174,"no, porque las pelotas no cantan y la frase esta en sentido figurado"
175,"no, porque esta como insultando a las personas"
176,"si,porque se escucha bien y aparte si no tuviera sentido no la escuchariamos"
177,"no, porque es una expresion, yo creo que quiso decir """
178,"no, porque las pelotas no cantan*"
179,"no, porque las pelotas no cantan, esto se significa que esta hablando en sentido figurado"
180,"no, porque las pelotas no cantan, son para jugar"
181,"no, porque yo digo que no"
182,"no hay pelotas que puedan cantar aunque cuando rebotan hacen un ruido que parece como si cantaran"
183,"no, porque las pelotas no cantan*"
184,"no, porque es una frase que no existe y ademas es la frase ""pelota que canta"" no existe"
185,"no, porque las pelotas no cantan*"
186,"no, porque las pelotas no cantan*"
187,"yo no entiendo que significa esta frase"
188,"no, porque las pelotas no cantan*"
189,"no, porque no rima"
190,"no, porque las pelotas no cantan"
191,"si, porque es un poema y tiene palabras mezcladas con otras frases"
192,"no, porque las pelotas no cantan*"
193,"no, porque el sentimiento es de alegria"
194,"si, porque la pelota cada que rebota suena"
195,"no, porque las pelotas no cantan*"
196,"no porque las pelotas no cantan*"
197,"si, porque la pelota puede cantar"
198,"no, porque las pelotas no hablan"
199,"no, porque las pelotas no cantan (es una metafora)"
200,"no, porque las pelotas no cantan*"
201,"si, porque cuando la rebotas suena"
202,"no, porque es imposible que una pelota cante, aunque metaforicamente si"
203,"no porque las pelotas no hablan"
204,"si, porque su mama canta y la pelota tambien"
205,"no, porque las pelotas no cantan*"
206,"no, porque eso no existe"
207,"si, porque significa que su mama canta mucho"
208,"no, porque una pelota no canta ni habla, no tiene vida"
209,"si, porque son hermosas"
210,"no, porque ?como una pelota canta?"
211,"si, porque una pelota puede ser muchas cosas hasta una cabeza"
212,"no, porque las pelotas no cantan"
