"","line","text"
"1",1,"El que madruga"
"2",2,"Abuelo"
"3",3,"fudon"
"4",4,"Meteoro "
"5",5,"Nino"
"6",6,"Meteoro "
"7",7,"Sol"
"8",8,"Senor"
"9",9,"Balon"
"10",10,"Sol"
"11",11,"Vecino de pelo rojo"
"12",12,"Cualquiera"
"13",13,"Sol"
"14",14,"Papel "
"15",15,"Sol"
"16",16,"amanecer"
"17",17,"primo"
"18",18,"fenomeno"
"19",19,"Sol"
"20",20,"tio"
"21",21,"sol"
"22",22,"sol"
"23",23,"gato"
"24",24,"sol"
"25",25,"sol"
"26",26,""
"27",27,"senor"
"28",28,"gato"
"29",29,"fenomeno"
"30",30,"tiene esa"
"31",31,"sol"
"32",32,"sol"
"33",33,"sol"
"34",34,"bola"
"35",35,"nino"
"36",36,"sol"
"37",37,"sol"
"38",38,"sol"
"39",39,"pelotas"
"40",40,"sol"
"41",41,"sol"
"42",42,"rueda"
"43",43,"sol"
"44",44,"Abuelo"
"45",45,"Sol"
"46",46,"balon "
"47",47,"Sol"
"48",48,"Sol"
"49",49,"la pelota"
"50",50,"no contesto"
"51",51,"mr. senor"
"52",52,"Sol"
"53",53,"Volcan"
"54",54,"no contesto"
"55",55,"vecino"
"56",56,"Sol"
"57",57,"nino"
"58",58,"quemador"
"59",59,"corazon"
"60",60,"carro"
"61",61,"volcan"
"62",62,"pelotas"
"63",63,"dragon"
"64",64,"fuego"
"65",65,"nino"
"66",66,"volcan"
"67",67,"Meteorito"
"68",68,"sol"
"69",69,"fuego"
"70",70,"agua"
"71",71,"enojo"
"72",72,"casi"
"73",73,"pelotas"
"74",74,"vecino"
"75",75,"fuego"
"76",76,"sin respuesta"
"77",77,"sol"
"78",78,"viento"
"79",79,"sol"
"80",80,"meteorito"
"81",81,"no contesto"
"82",82,"sol"
"83",83,"sol"
"84",84,"sol"
"85",85,"sol"
"86",86,"sol"
"87",87,"nino"
"88",88,"tiene"
"89",89,"No entiendo"
"90",90,"Sol"
"91",91,"sol"
"92",92,"No entiendo nada"
"93",93,"Sol"
"94",94,"Sol"
"95",95,"Padre"
"96",96,"fuego"
"97",97,"Plata"
"98",98,"que cosa"
"99",99,"Juega"
"100",100,"sol"
"101",101,"fuego"
"102",102,"(dormido)"
"103",103,"sol"
"104",104,"Sol"
"105",105,"no contesto"
"106",106,"Fuego"
"107",107,"pelota"
"108",108,"circulo"
"109",109,"Sol"
"110",110,"sol"
"111",111,"Sol"
"112",112,"tio"
"113",113,"papa"
"114",114,"pelo"
"115",115,"balon"
"116",116,"bombero"
"117",117,"Sol"
"118",118,"senor"
"119",119,"balon"
"120",120,"aire"
"121",121,"balon"
"122",122,"sol"
"123",123,"no respondio"
"124",124,"papa"
"125",125,"sol"
"126",126,"calor"
"127",127,"sol"
"128",128,"sol"
"129",129,"no la conozco"
"130",130,"fuego"
"131",131,"hombre"
"132",132,"sol"
"133",133,"sol"
"134",134,"sol"
"135",135,"sol"
"136",136,"sofa"
"137",137,"cerillo"
"138",138,"sol"
"139",139,"(el ) o ella"
"140",140,"no respondio"
"141",141,"son tantas"
"142",142,"sol"
"143",143,"gas"
"144",144,"Sol"
"145",145,"encendedor"
"146",146,"sol"
"147",147,"sol"
"148",148,"sol"
"149",149,"circulo"
"150",150,"balon"
"151",151,"Sol"
"152",152,"Sol"
"153",153,"Abuelo"
"154",154,"hombre"
"155",155,"Balon"
"156",156,"balon"
"157",157,"Sol"
"158",158,"hombre"
"159",159,"sol"
"160",160,"hombre"
"161",161,"perro"
"162",162,"cocinero"
"163",163,"balon"
"164",164,"sol"
"165",165,"vecino"
"166",166,"sol"
"167",167,"hombre"
"168",168,"encendedor"
"169",169,"jugador"
"170",170,"sol"
"171",171,"Sol"
"172",172,"Arma"
"173",173,"odio"
"174",174,"Balon"
"175",175,"Balon"
"176",176,"Sol"
"177",177,"papa"
"178",178,"Sol"
"179",179,"rebota"
"180",180,"sol"
"181",181,"hombre"
"182",182,"senor"
"183",183,"enemigo"
"184",184,"amigo"
"185",185,"Fireball"
"186",186,"balon"
"187",187,"padre"
"188",188,"fogata"
"189",189,"balon"
"190",190,"perro"
"191",191,"no respondio"
"192",192,"balon"
"193",193,"hermano"
"194",194,"sol"
"195",195,"nino"
"196",196,"sol"
"197",197,"cerillo"
"198",198,"arma"
"199",199,"papa"
"200",200,"si"
"201",201,"sol"
"202",202,"sol"
"203",203,"sol"
"204",204,"sol"
"205",205,"Sol"
"206",206,"loco"
"207",207,"sol"
"208",208,"aceite"
"209",209,"Juan"
"210",210,"mango"
"211",211,"meteoro"
"212",212,"Rafles"
"213",213,"no"
"214",214,"diablo"
"215",215,"sol"
"216",216,"sol"
