"","word","ninos","author","proportion"
"1","abuelo",0.013953488372093,"ninas",0.037914691943128
"2","aceite",0.00465116279069767,"ninas",NA
"3","agua",0.00465116279069767,"ninas",NA
"4","aire",0.00465116279069767,"ninas",NA
"5","amanecer",0.00465116279069767,"ninas",0.004739336492891
"6","amigo",0.00465116279069767,"ninas",NA
"7","amor",NA,"ninas",0.023696682464455
"8","arma",0.00930232558139535,"ninas",NA
"9","asador",NA,"ninas",0.004739336492891
"10","asnigo",NA,"ninas",0.004739336492891
"11","balon",0.0651162790697674,"ninas",0.037914691943128
"12","balon ",NA,"ninas",0.018957345971564
"13","bascet",NA,"ninas",0.004739336492891
"14","bola",0.00465116279069767,"ninas",NA
"15","bombero",0.00465116279069767,"ninas",0.004739336492891
"16","bota",NA,"ninas",0.004739336492891
"17","brujo",NA,"ninas",0.004739336492891
"18","calor",0.00465116279069767,"ninas",0.004739336492891
"19","carbon",NA,"ninas",0.00947867298578199
"20","carro",0.00465116279069767,"ninas",NA
"21","casi",0.00465116279069767,"ninas",NA
"22","cerillo",0.00930232558139535,"ninas",0.004739336492891
"23","chile",NA,"ninas",0.004739336492891
"24","circulo",0.00930232558139535,"ninas",0.004739336492891
"25","coche",NA,"ninas",0.004739336492891
"26","cocinero",0.00465116279069767,"ninas",NA
"27","coco",NA,"ninas",0.004739336492891
"28","como",NA,"ninas",0.004739336492891
"29","corazon",0.00465116279069767,"ninas",NA
"30","cualquiera",0.00465116279069767,"ninas",NA
"31","cuando se enoja",NA,"ninas",0.004739336492891
"32","cuando se enojan",NA,"ninas",0.004739336492891
"33","de el ",NA,"ninas",0.004739336492891
"34","diablo",0.00465116279069767,"ninas",NA
"35","(dormido)",0.00465116279069767,"ninas",NA
"36","dragon",0.00465116279069767,"ninas",0.004739336492891
"37","(el ) o ella",0.00465116279069767,"ninas",NA
"38","el que madruga",0.00465116279069767,"ninas",NA
"39","encendedor",0.00930232558139535,"ninas",0.004739336492891
"40","encendedor ",NA,"ninas",0.004739336492891
"41","enemigo",0.00465116279069767,"ninas",NA
"42","enojo",0.00465116279069767,"ninas",0.014218009478673
"43","enojon",NA,"ninas",0.004739336492891
"44","es una pelota",NA,"ninas",0.004739336492891
"45","fenomeno",0.00930232558139535,"ninas",NA
"46","fireball",0.00465116279069767,"ninas",NA
"47","foco",NA,"ninas",0.004739336492891
"48","fogata",0.00465116279069767,"ninas",NA
"49","fudon",0.00465116279069767,"ninas",NA
"50","fuego",0.0325581395348837,"ninas",0.004739336492891
"51","gas",0.00465116279069767,"ninas",0.004739336492891
"52","gato",0.00930232558139535,"ninas",NA
"53","globo",NA,"ninas",0.004739336492891
"54","hermanito",NA,"ninas",0.00947867298578199
"55","hermano",0.00465116279069767,"ninas",0.004739336492891
"56","hombre",0.027906976744186,"ninas",0.004739336492891
"57","horno",NA,"ninas",0.00947867298578199
"58","jacinto",NA,"ninas",0.004739336492891
"59","jaguar",NA,"ninas",0.004739336492891
"60","jardin",NA,"ninas",0.004739336492891
"61","juan",0.00465116279069767,"ninas",NA
"62","juega",0.00465116279069767,"ninas",NA
"63","juego",NA,"ninas",0.004739336492891
"64","jugador",0.00465116279069767,"ninas",NA
"65","juguete",NA,"ninas",0.004739336492891
"66","la pelota",0.00465116279069767,"ninas",NA
"67","loco",0.00465116279069767,"ninas",NA
"68","mango",0.00465116279069767,"ninas",NA
"69","meteorito",0.00930232558139535,"ninas",0.00947867298578199
"70","meteoro",0.00465116279069767,"ninas",NA
"71","meteoro ",0.00930232558139535,"ninas",NA
"72","metiorito",NA,"ninas",0.004739336492891
"73","mr. senor",0.00465116279069767,"ninas",NA
"74","muychida",NA,"ninas",0.004739336492891
"75","naranja",NA,"ninas",0.004739336492891
"76","nino",0.027906976744186,"ninas",0.0521327014218009
"77","no",0.00465116279069767,"ninas",0.004739336492891
"78","no ",NA,"ninas",0.004739336492891
"79","no contesto",0.0186046511627907,"ninas",0.028436018957346
"80","no entiendo",0.00465116279069767,"ninas",0.004739336492891
"81","no entiendo nada",0.00465116279069767,"ninas",NA
"82","no la conozco",0.00465116279069767,"ninas",NA
"83","no respondio",0.013953488372093,"ninas",NA
"84","no se",NA,"ninas",0.004739336492891
"85","odio",0.00465116279069767,"ninas",NA
"86","oido",NA,"ninas",0.004739336492891
"87","oso",NA,"ninas",0.004739336492891
"88","padre",0.00930232558139535,"ninas",NA
"89","papa",0.0186046511627907,"ninas",0.033175355450237
"90","papel ",0.00465116279069767,"ninas",NA
"91","pelo",0.00465116279069767,"ninas",NA
"92","pelota",0.00465116279069767,"ninas",0.014218009478673
"93","pelota de fuego",NA,"ninas",0.004739336492891
"94","pelotas",0.013953488372093,"ninas",0.00947867298578199
"95","perro",0.00930232558139535,"ninas",0.014218009478673
"96","plata",0.00465116279069767,"ninas",NA
"97","porque",NA,"ninas",0.004739336492891
"98","primo",0.00465116279069767,"ninas",NA
"99","que cosa",0.00465116279069767,"ninas",NA
"100","quemador",0.00465116279069767,"ninas",NA
"101","rafles",0.00465116279069767,"ninas",NA
"102","rebota",0.00465116279069767,"ninas",NA
"103","rojo",NA,"ninas",0.004739336492891
"104","rueda",0.00465116279069767,"ninas",NA
"105","sarten",NA,"ninas",0.004739336492891
"106","senor",0.0186046511627907,"ninas",0.023696682464455
"107","si",0.00465116279069767,"ninas",0.004739336492891
"108","sin respuesta",0.00465116279069767,"ninas",NA
"109","sofa",0.00465116279069767,"ninas",NA
"110","sol",0.358139534883721,"ninas",0.345971563981043
"111","son tantas",0.00465116279069767,"ninas",NA
"112","tiempo",NA,"ninas",0.004739336492891
"113","tiene",0.00465116279069767,"ninas",NA
"114","tiene esa",0.00465116279069767,"ninas",NA
"115","tiene unas",NA,"ninas",0.004739336492891
"116","tio",0.00930232558139535,"ninas",0.004739336492891
"117","una fruga",NA,"ninas",0.004739336492891
"118","vapor",NA,"ninas",0.004739336492891
"119","vecino",0.013953488372093,"ninas",0.014218009478673
"120","vecino ",NA,"ninas",0.018957345971564
"121","vecino de pelo rojo",0.00465116279069767,"ninas",NA
"122","vestido",NA,"ninas",0.004739336492891
"123","viento",0.00465116279069767,"ninas",NA
"124","volcan",0.013953488372093,"ninas",0.018957345971564
"125","yeimi",NA,"ninas",0.004739336492891
