"","word","ninos","author","proportion"
"1","abuela",0.00465116279069767,"ninas",0.0188679245283019
"2","abuelita",NA,"ninas",0.00471698113207547
"3","agua",0.00465116279069767,"ninas",NA
"4","aire",NA,"ninas",0.00471698113207547
"5","alcancia",NA,"ninas",0.00471698113207547
"6","amiga",NA,"ninas",0.00471698113207547
"7","amigo",0.00930232558139535,"ninas",0.0141509433962264
"8","amor",0.00465116279069767,"ninas",NA
"9","anillo",0.00465116279069767,"ninas",NA
"10","anochecer",0.00465116279069767,"ninas",NA
"11","arbol",NA,"ninas",0.00471698113207547
"12","arete",0.00465116279069767,"ninas",0.00471698113207547
"13","aretes",0.00465116279069767,"ninas",NA
"14","balon",NA,"ninas",0.00471698113207547
"15","bandeja",NA,"ninas",0.00471698113207547
"16","baston",0.00465116279069767,"ninas",NA
"17","bondad",NA,"ninas",0.00471698113207547
"18","boton",NA,"ninas",0.00471698113207547
"19","brillante",0.00465116279069767,"ninas",NA
"20","cadena",NA,"ninas",0.00471698113207547
"21","caliente",0.00465116279069767,"ninas",0.00471698113207547
"22","canica",0.00465116279069767,"ninas",NA
"23","canto",0.00465116279069767,"ninas",NA
"24","cara",0.00465116279069767,"ninas",NA
"25","carro",0.00465116279069767,"ninas",NA
"26","cartera",0.00930232558139535,"ninas",NA
"27","collar",NA,"ninas",0.00471698113207547
"28","como",0.00465116279069767,"ninas",0.00471698113207547
"29","corazon",NA,"ninas",0.00471698113207547
"30","cual",0.00465116279069767,"ninas",NA
"31","cualquiera",NA,"ninas",0.00471698113207547
"32","cuando estan feliz",NA,"ninas",0.00471698113207547
"33","dadega",0.00465116279069767,"ninas",NA
"34","de fuego",NA,"ninas",0.00471698113207547
"35","dije",NA,"ninas",0.00471698113207547
"36","dinero",0.00930232558139535,"ninas",0.00471698113207547
"37","dolor",NA,"ninas",0.00471698113207547
"38","dorado",NA,"ninas",0.00471698113207547
"39","(dormido)",0.00465116279069767,"ninas",NA
"40","el",0.0372093023255814,"ninas",0.0330188679245283
"41","el agua",0.00465116279069767,"ninas",NA
"42","el amigo",0.00465116279069767,"ninas",NA
"43","el anillo",0.00465116279069767,"ninas",0.00943396226415094
"44","el arete",0.00465116279069767,"ninas",NA
"45","el balon",0.00465116279069767,"ninas",NA
"46","el bosque",NA,"ninas",0.00471698113207547
"47","el dinero",0.00465116279069767,"ninas",NA
"48","el es como una",NA,"ninas",0.00471698113207547
"49","el fierro",0.00465116279069767,"ninas",NA
"50","el hierro",0.00465116279069767,"ninas",NA
"51","eliod",0.00465116279069767,"ninas",NA
"52","ella",0.013953488372093,"ninas",0.00471698113207547
"53","el metal",NA,"ninas",0.00471698113207547
"54","el mundo",NA,"ninas",0.00471698113207547
"55","el oro",0.00465116279069767,"ninas",NA
"56","el pez",0.00465116279069767,"ninas",NA
"57","el plateado",NA,"ninas",0.00471698113207547
"58","el televisor",NA,"ninas",0.00471698113207547
"59","en un anillo",NA,"ninas",0.00471698113207547
"60","esa",NA,"ninas",0.00471698113207547
"61","ese",0.00465116279069767,"ninas",NA
"62","esfera",NA,"ninas",0.00471698113207547
"63","eso",NA,"ninas",0.00943396226415094
"64","esta",NA,"ninas",0.00943396226415094
"65","es una",NA,"ninas",0.00471698113207547
"66","familia",NA,"ninas",0.0141509433962264
"67","fuerte",0.00465116279069767,"ninas",NA
"68","globo",NA,"ninas",0.00471698113207547
"69","gran jaguar",NA,"ninas",0.00471698113207547
"70","hermana",NA,"ninas",0.0141509433962264
"71","hermana ",0.00465116279069767,"ninas",NA
"72","hermanito",0.00930232558139535,"ninas",NA
"73","hermano",0.013953488372093,"ninas",NA
"74","hierro",0.00465116279069767,"ninas",0.00943396226415094
"75","iman",0.00465116279069767,"ninas",NA
"76","jazmin",NA,"ninas",0.00471698113207547
"77","juan",NA,"ninas",0.00471698113207547
"78","??l",NA,"ninas",0.00471698113207547
"79","la",NA,"ninas",0.00471698113207547
"80","la bala",NA,"ninas",0.00471698113207547
"81","la bola",0.00465116279069767,"ninas",NA
"82","la brillantina",NA,"ninas",0.00471698113207547
"83","la calceta",NA,"ninas",0.00471698113207547
"84","la estatua",NA,"ninas",0.00471698113207547
"85","la estrella",0.00930232558139535,"ninas",NA
"86","la llanta",0.00465116279069767,"ninas",NA
"87","la luna",0.111627906976744,"ninas",0.0424528301886792
"88","la mente",NA,"ninas",0.00471698113207547
"89","la mina",0.00465116279069767,"ninas",NA
"90","la moneda",0.0186046511627907,"ninas",0.00943396226415094
"91","la nieve",NA,"ninas",0.00943396226415094
"92","la nina",0.00930232558139535,"ninas",NA
"93","la novia",NA,"ninas",0.00471698113207547
"94","la paja",0.00465116279069767,"ninas",NA
"95","la pelota",0.00465116279069767,"ninas",NA
"96","la perla",0.00465116279069767,"ninas",NA
"97","la plata",0.00465116279069767,"ninas",NA
"98","la tierra",NA,"ninas",0.00471698113207547
"99","luego",0.00465116279069767,"ninas",NA
"100","luna",0.0744186046511628,"ninas",0.183962264150943
"101","lupita",NA,"ninas",0.00471698113207547
"102","maceta",NA,"ninas",0.00471698113207547
"103","mama",0.0232558139534884,"ninas",0.0283018867924528
"104","mar",0.00930232558139535,"ninas",NA
"105","mateo",0.00465116279069767,"ninas",NA
"106","medalla",0.013953488372093,"ninas",0.00943396226415094
"107","medallita",NA,"ninas",0.00471698113207547
"108","mena",NA,"ninas",0.00471698113207547
"109","metal",0.00465116279069767,"ninas",NA
"110","mi abuela",NA,"ninas",0.00471698113207547
"111","mi abuelo",0.00930232558139535,"ninas",0.00471698113207547
"112","mi alcancia",0.00465116279069767,"ninas",NA
"113","mi alma",0.00465116279069767,"ninas",NA
"114","mi amiga",NA,"ninas",0.00471698113207547
"115","mi cabello",0.00465116279069767,"ninas",NA
"116","mi casa",0.00930232558139535,"ninas",NA
"117","mi consola",0.00465116279069767,"ninas",NA
"118","mi corazon",NA,"ninas",0.00471698113207547
"119","mi deporte",NA,"ninas",0.00471698113207547
"120","mi dinero",0.00465116279069767,"ninas",NA
