"","word","n"
"1","no sé",6
"2","no se",5
"3","perro porque tiene mucho pelo",5
"4","un perro",5
"5","gato",4
"6","perro porque es peludo*",4
"7","perro porque tiene pelos*",4
"8","un gato",4
"9","cabeza porque tiene pelos",3
"10","gato porque es peludo*",3
"11","perro porque tiene mucho pelo*",3
"12","coco tiene pelos",2
"13","gato, es peludo",2
"14","gato porque es peludo",2
"15","gato porque tiene mucho pelo",2
"16","gato porque tiene muchos pelos",2
"17","mi perro es una pelota de pelos",2
"18","no entiendo",2
"19","papa, tiene pelo en brazos y barba",2
"20","perro porque tiene muchos pelos*",2
"21","tiene muchos pelos",2
"22","un gato porqué tiene muchos pelos.",2
"23","un perro porque tiene mucho pelo",2
"24","algo extrano.",1
"25","algo peludo, porque tiene mucho pelo",1
"26","algo que tiene mucho pelo, porque así es como se oye",1
"27","alguien bueno",1
"28","alguien que es bueno",1
"29","alguien que tiene demasiados pelos, las pelotas son grandes",1
"30","alguna persona con mucho pelo ",1
"31","animales, son peludos",1
"32","animal porque los animales tienen pelos",1
"33","arbol porque tiene muchas hojas y es redondo",1
"34","ardilla ",1
"35","axila",1
"36","bola de pelos de los gatos",1
"37","cabello en tu cabeza",1
"38","cabello tiene pelos",1
"39","cabeza",1
"40","cabeza de un perro",1
"41","cabeza, es redonda y con cabello",1
"42","cabeza porque es una pelota y tiene pelos*",1
"43","cabeza, tiene mucho cabello",1
"44","chango porque tiene pelos",1
"45","como el zacate",1
"46","conejo porque es peludo y lindo",1
"47","creo que es ser genial",1
"48","cualquier animal porque tiene pelos",1
"49","cualquier otra mascota que penga pelos",1
"50","cuando se llenan de pelos",1
"51","cuando te cepillas mucho el cabello, se te quedan pelotas",1
"52","cuando te enojas mucho",1
"53","(dormido)",1
"54","el abuelo porque tiene pelo",1
"55","el cabello",1
"56","el cabello desordenado",1
"57","el cabello porque como tenemos mucho cabello, parece una bola de pelos.",1
"58","el coco porque es redondo y circular y además tiene pelos",1
"59","el gato porque a los gatos les gustan  las bolas de estambre",1
"60","el gato se hace rollo de pelos",1
"61","el hilo, porque es como un cabello",1
"62","el mar porque está muy grande",1
"63","el mundo",1
"64","el padre tiene mucho pelo",1
"65","el pecho porque también crece pelo",1
"66","el pelo porque se cae y podria hacer una pelota de pelos",1
"67","el perro o el gato",1
"68","el perro porque los perros estan muy peludos",1
"69","el sol porque es redondo",1
"70","el trapeador, porque tiene pelos",1
"71","el vello porque cuando te lo quitas puedes hacer una pelota de vellos",1
"72","es chida",1
"73","es que es muy chido, porque cuando dice pelos se refiere a chido, valiente, etc.",1
"74","es su perro porque tiene mucho pelo",1
"75","esta muy bonita mi pelota",1
"76","estrella brilla",1
"77","es una almohada",1
"78","es una pelota de pelusa porque tiene mucho pelo",1
"79","gato, chango, león, perro porque tienen pelos*",1
"80","gato, hamster porque los dos tienen mucho pelo",1
