"line","word"
1,"por que hace mucho ruido"
2,"que es un hermano que grita mucho, mas de lo normal :v"
3,"que es una persona gritona"
4,"porque el nino grita mucho"
5,"es muy griton"
6,"que grita todo el tiempo"
7,"que su hermano es un griton"
8,"porque su hermanito sube demasiado la voz"
9,"se refiere a que el hermano grita y el poeta ve a mundo como pelotas"
10,"porque talves su hermano grita mucho"
11,"por el grita"
12,"que no se esta en silencio jajajajaja"
13,"que su hermano puede gritar por que no tiene una pelota de pelos"
14,"como esta pequeno da lata"
15,"que es bien yoron"
16,"cuando al hermano no le compran nada se pone gritar"
17,"que su hermano es una pelota que grita"
18,"que grita mucho"
19,"que abla mucho o grita"
20,"que la nina sela pasa llorando o asiendo berrinche :v"
21,"por que grita mucho"
22,"que grita mucho"
23,"de que su hermano grita mucho"
24,"por que grita"
25,"por que no habla en voz baja"
26,"por que grita mucho"
27,"mi hermanito grita mucho"
28,"es gordito y grita mucho"
29,"por que el el hermano es u nino pequeno"
30,"que hay muchos gritos"
31,"que exagera al hacer berrinche"
32,"nolo se xd"
33,"que llora mucho :v"
34,"que su hermanogita mucho"
35,"grita"
36,"por que es dibertido"
37,"que cada q lo tocan hace un grito"
38,"que su hermanito tiene muchas energias para gritar"
39,"que mi hermanito no para de gritar"
40,"que su hermano grita mucho"
41,"que su hermano es alguien que grita mucho"
42,"q cuando le pegan el se pone a gritar"
43,"porque se la pasa gritando el pensativo ajajjajaj"
44,"que grita mucho"
45,"mi hermano etsa muy gordo y se la pasa gritando."
46,"si porque frita mucho"
47,"que enpieza a gritar"
48,"por que chilla mucho"
49,"no"
50,"que mi hermano en redondo y grita mucho"
51,"porque los hermanos lloran mucho"
52,"no"
53,"puede gritar"
54,"qu su hermano se la pasa gritando osea es un desastroso"
55,"explica que el hermano grita mucho e inquieto"
56,"13fg"
57,"es griton"
58,"que su hermanito es gordo y grita mucho"
59,"se refiere a que el hermanito siempre grita"
60,"por que su hermano solo grita"
61,"que su hermano chico grita mucho o habla mucho"
62,"que grita, o llora mucho por eso es una pelota de gritos"
63,"que su hermano no se para de quejar a cada rato anda gritando"
64,"que es un nino que grita mucho"
65,"por que el grita"
66,"que su hermano puede gritar por que tiene una pelotas de pelos"
67,"grita mucho"
68,"que es lloron"
69,"que tiene muchos sentimientos"
70,"que grita mucho"
71,"que tu hermano grita mucho y me desespera creo que eso dice la frase de pelota de gritos supongo"
72,"que el siempre grita"
73,"por que los hermanitos son muy molestones"
74,"de que el hermano nada mas se la pasa gritando y eso molesta"
75,"que su hermano grita todo el tiempo"
76,"porque grita mucho"
77,"que es un griton"
78,"que grita mucho"
79,"por que esta gordo y gita"
80,"que es un ruidoso"
81,"que da mucha lata"
82,"que su hermanito grita mucho"
83,"por que gryta mucho mi ermanito"
84,"por que mi hermanito grita mucho"
85,"que su hermano grita mucho"
86,"que es fastidioso"
87,"una pelota mu enojada"
88,"no see"
89,"que es muy platicon"
90,"que es muy berrinchudo"
91,"mi hermanito es un nino de gritos"
92,"xk su hermano simpre grita"
93,"que su hermano es muy gordo y grita mucho"
94,"mi hermano es muy griton"
95,"que es alguien muy griton"
96,"el hermano es muy inquieto"
97,"porque los ninos son muy escandalosos"
98,"la forma de expresar a un ser por medio de palabras metaforicas"
99,"que su hermano es una persona que grita mucho"
100,"por que grita mucho y salta mucho"
101,"tal vez por que es algo griton y molesto"
102,"significa que reclama o llora mucho"
103,"que el hermanito grite mucho"
104,"que se unde en el llanto"
105,"que su hermano grita mucho todo el tiempo"
106,"que su hermanito grita mucho"
107,"poequ es bien griton"
108,"por que siempre grita"
109,"por que grita mucho"
110,"por que llora mucho"
111,"es un ni?'o que se la pasa gritando y llorando todo el dia"
112,"por que chillan mucho o gritan mucho exageran"
113,"que su mama es una persona muy gritona"
114,"q no entisende"
115,"por que se la pasa gritando"
116,"porque grita mucho"
117,"su hermano es un nino que grita mucho"
118,"que es muy ruidoso"
119,"es una maquina o bien alguien que grita demasiado"
120,"pirhhhhgvfriufueiituj"
121,"por que llora o le hacen algo"
122,"puen que su hermana grita mucho"
123,"nose"
124,"and fort"
125,"que grita mucho"
126,"porque grita mucho"
127,"mi hermano grita mucho"
128,"que grita demasiado"
129,"que su hermanito siempre esta gritando y hace mucho ruido"
130,"que su hermano es una persona muy ruidosa"
131,"siempre grita"
132,"quiere decir que todo el tiempo esta gritando sin parar"
133,"que su hermanito es muy griton, que su hermanita esta muy loco"
134,"que grita mucho"
135,"quiere decir que su hermano grita mucho."
136,"que grita"
137,"que mi hermano tiene mucha energia"
138,"que es muy pequeno y grita"
139,"que es pequeno y que grita mucho"
140,"que es muy gritona"
141,"no para de gritar"
142,"que grita "
143,"que mi hermano grita mucho"
144,"pues que al parecer su hermano grita mucho pero no entiende la met?Åfora de pelota"
145,"que su hermano grita mucho."
146,"se refiere a que es una persona que grita"
147,"que su hermano hace mucho escandalo"
148,"que hecha mucho relajo"
149,"porque su esta loco"
150,"que grita demasiado"
