,word,secundaria,author,proportion
1,sol,0.426751592,primaria,0.351288056
2,balon,0.072186836,primaria,0.060889929
3,no contesto,NA,primaria,0.044496486
4,senor,0.027600849,primaria,0.025761124
5,abuelo,0.023354565,primaria,0.025761124
6,papa,0.027600849,primaria,0.030444965
7,perro,0.023354565,primaria,NA
8,meteorito,0.02760085,primaria,NA
9,nino,0.014861996,primaria,0.039812646
10,amor,0.012738854,primaria,NA
11,gato,0.008492569,primaria,NA
12,vecino,NA,primaria,0.025761124
13,fuego,NA,primaria,0.018735363
14,hombre,NA,primaria,0.016393443
