"","word","secundaria","author","proportion"
"1","abuela",0.00849256900212314,"primaria",0.0117096018735363
"2","abuelita",NA,"primaria",0.00234192037470726
"3","agua",NA,"primaria",0.00234192037470726
"4","aire",NA,"primaria",0.00234192037470726
"5","alcancia",NA,"primaria",0.00234192037470726
"6","alegria",0.00212314225053079,"primaria",NA
"7","aluminio",0.00636942675159236,"primaria",NA
"8","amiga",0.00212314225053079,"primaria",0.00234192037470726
"9","amigo",0.00424628450106157,"primaria",0.0117096018735363
"10","amor",0.00212314225053079,"primaria",0.00234192037470726
"11","angel",0.00212314225053079,"primaria",NA
"12","anillo",0.00212314225053079,"primaria",0.00234192037470726
"13","anochecer",NA,"primaria",0.00234192037470726
"14","arbol",NA,"primaria",0.00234192037470726
"15","arete",0.00212314225053079,"primaria",0.00468384074941452
"16","aretes",NA,"primaria",0.00234192037470726
"17","armadura",0.00212314225053079,"primaria",NA
"18","balon",0.0106157112526539,"primaria",0.00234192037470726
"19","bandeja",NA,"primaria",0.00234192037470726
"20","baston",NA,"primaria",0.00234192037470726
"21","bola de boliche",0.00212314225053079,"primaria",NA
"22","bolitas de himan",0.00212314225053079,"primaria",NA
"23","bondad",NA,"primaria",0.00234192037470726
"24","boton",NA,"primaria",0.00234192037470726
"25","brillante",0.00212314225053079,"primaria",0.00234192037470726
"26","cabeza",0.00212314225053079,"primaria",NA
"27","cadena",NA,"primaria",0.00234192037470726
"28","caliente",NA,"primaria",0.00468384074941452
"29","canica",0.00212314225053079,"primaria",0.00234192037470726
"30","canto",NA,"primaria",0.00234192037470726
"31","cara",NA,"primaria",0.00234192037470726
"32","carro",NA,"primaria",0.00234192037470726
"33","cartera",NA,"primaria",0.00468384074941452
"34","casi",0.00212314225053079,"primaria",NA
"35","celular",0.00212314225053079,"primaria",NA
"36","cerebro",0.00212314225053079,"primaria",NA
"37","collar",0.00212314225053079,"primaria",0.00234192037470726
"38","como",0.00212314225053079,"primaria",0.00468384074941452
"39","corazon",0.00212314225053079,"primaria",0.00234192037470726
"40","crg31",0.00212314225053079,"primaria",NA
"41","cual",NA,"primaria",0.00234192037470726
"42","cualquiera",NA,"primaria",0.00234192037470726
"43","cuando estan feliz",NA,"primaria",0.00234192037470726
"44","dadega",NA,"primaria",0.00234192037470726
"45","de fuego",NA,"primaria",0.00234192037470726
"46","de plata",0.00212314225053079,"primaria",NA
"47","dije",NA,"primaria",0.00234192037470726
"48","dinero",0.00849256900212314,"primaria",0.00702576112412178
"49","dolor",NA,"primaria",0.00234192037470726
"50","don",0.00212314225053079,"primaria",NA
"51","dorado",0.00212314225053079,"primaria",0.00234192037470726
"52","(dormido)",NA,"primaria",0.00234192037470726
"53","el",0.0339702760084926,"primaria",0.0351288056206089
"54","el abuelo",0.00212314225053079,"primaria",NA
"55","el agua",0.00212314225053079,"primaria",0.00234192037470726
"56","el aire",0.00212314225053079,"primaria",NA
"57","el alma",0.00212314225053079,"primaria",NA
"58","el aluminio",0.00212314225053079,"primaria",NA
"59","el amigo",NA,"primaria",0.00234192037470726
"60","el anillo",0.00424628450106157,"primaria",0.00702576112412178
"61","el arete",NA,"primaria",0.00234192037470726
"62","el aro",0.00212314225053079,"primaria",NA
"63","el balon",0.0148619957537155,"primaria",0.00234192037470726
"64","el banco",0.00212314225053079,"primaria",NA
"65","el bosque",NA,"primaria",0.00234192037470726
"66","el canario",0.00212314225053079,"primaria",NA
"67","el circulo",0.00212314225053079,"primaria",NA
"68","el dinero",0.00636942675159236,"primaria",0.00234192037470726
"69","el es",0.00212314225053079,"primaria",NA
"70","el es como una",NA,"primaria",0.00234192037470726
"71","el es ua pelota de plata",0.00212314225053079,"primaria",NA
"72","el fierro",NA,"primaria",0.00234192037470726
"73","el frio",0.00424628450106157,"primaria",NA
"74","el gato",0.00212314225053079,"primaria",NA
"75","el hierro",NA,"primaria",0.00234192037470726
"76","eliod",NA,"primaria",0.00234192037470726
"77","el jardinero",0.00212314225053079,"primaria",NA
"78","el juego",0.00424628450106157,"primaria",NA
"79","ella",0.0127388535031847,"primaria",0.00936768149882904
"80","el metal",NA,"primaria",0.00234192037470726
"81","el mundo",0.00636942675159236,"primaria",0.00234192037470726
"82","el ninja gris",0.00212314225053079,"primaria",NA
"83","el nino",0.00636942675159236,"primaria",NA
"84","el oro",NA,"primaria",0.00234192037470726
"85","el pajaro",0.00212314225053079,"primaria",NA
"86","el pelotas",0.00212314225053079,"primaria",NA
"87","el pez",NA,"primaria",0.00234192037470726
"88","el planeta",0.00212314225053079,"primaria",NA
"89","el plateado",NA,"primaria",0.00234192037470726
"90","el poeta",0.00212314225053079,"primaria",NA
"91","elsol",0.00212314225053079,"primaria",NA
"92","el sol",0.00424628450106157,"primaria",NA
"93","el televisor",NA,"primaria",0.00234192037470726
"94","el trofeo",0.00212314225053079,"primaria",NA
"95","en un anillo",NA,"primaria",0.00234192037470726
"96","esa",NA,"primaria",0.00234192037470726
