,word,secundaria,author,proportion
1,a ,NA,primaria,0.0023419204
2,abuela,NA,primaria,0.0046838407
3,amiga,NA,primaria,0.0023419204
4,amigo,0.0106157113,primaria,0.0140515222
5,amiguito,0.0021231423,primaria,NA
6,balon,0.008492569,primaria,0.0023419204
7,bola,0.0021231423,primaria,0.0023419204
8,bonita,NA,primaria,0.0023419204
9,brother,0.0021231423,primaria,NA
10,cabello,0.0276008493,primaria,0.0351288056
11,cabesa,0.0106157113,primaria,NA
12,cabeza,0.1380042463,primaria,0.1194379391
13,cama,0.0042462845,primaria,NA
14,carro,NA,primaria,0.0023419204
15,casa,0.0021231423,primaria,NA
16,cavesa,0.0021231423,primaria,NA
17,cepillo,0.0021231423,primaria,0.0046838407
18,cerebro,0.0021231423,primaria,NA
19,circulo,0.0021231423,primaria,0.0023419204
20,coco,NA,primaria,0.0117096019
21,cojin,0.0021231423,primaria,NA
22,conejo,NA,primaria,0.0023419204
23,corazon,NA,primaria,0.0023419204
24,cosita es algo grande y,0.0021231423,primaria,NA
25,cuarto,0.0021231423,primaria,NA
26,cuerpo,0.0021231423,primaria,0.0023419204
27,cuyo,0.0021231423,primaria,0.0023419204
28,dedos,0.0021231423,primaria,NA
29,dfq3f3,0.0021231423,primaria,NA
30,dog,0.0021231423,primaria,NA
31,(dormido),NA,primaria,0.0023419204
32,el gato,0.0021231423,primaria,NA
33,ermos,NA,primaria,0.0023419204
34,estambre,0.0106157113,primaria,NA
35,familia,0.0021231423,primaria,NA
36,gata,0.0021231423,primaria,NA
37,gatito,NA,primaria,0.0023419204
38,gato,0.1762208068,primaria,0.1147540984
39,gatos,0.0021231423,primaria,NA
40,gujada,0.0021231423,primaria,NA
41,hamster,0.0127388535,primaria,NA
42,hermana,0.0212314225,primaria,0.0210772834
43,hermanita,0.0021231423,primaria,NA
44,hermanito,NA,primaria,0.0117096019
45,hermano,0.0106157113,primaria,0.0281030445
46,invalida x sistema,0.0021231423,primaria,NA
47,jabon,NA,primaria,0.0023419204
48,juego,0.0021231423,primaria,NA
49,juguete,0.0042462845,primaria,NA
50,karen,NA,primaria,0.0023419204
51,la cabeza,0.008492569,primaria,NA
52,la mascota,0.0021231423,primaria,NA
53,la pelota,NA,primaria,0.0023419204
54,lengua,0.0021231423,primaria,NA
55,liliana,0.0021231423,primaria,NA
56,madrina,NA,primaria,0.0023419204
57,maestra,NA,primaria,0.0046838407
58,mama,0.0063694268,primaria,0.037470726
59,mascota,0.0488322718,primaria,0.0163934426
60,mente,0.0042462845,primaria,NA
61,mi abuela,0.0021231423,primaria,0.0023419204
62,mi cabesa,0.0042462845,primaria,NA
63,mi cabeza,0.0021231423,primaria,0.0046838407
64,mi colchon,0.0021231423,primaria,NA
65,mi fenomeno,NA,primaria,0.0023419204
66,mi gato,0.0063694268,primaria,NA
67,mi hermano,NA,primaria,0.0023419204
68,mi jugete es una pelota de pelos,0.0021231423,primaria,NA
69,mi mama,NA,primaria,0.0023419204
70,mi mascota,0.0021231423,primaria,NA
71,mi novia,0.0021231423,primaria,NA
72,mi papa,0.0042462845,primaria,0.0023419204
73,mi pelo,NA,primaria,0.0023419204
74,mi pelota,0.0021231423,primaria,NA
75,mi perrito,0.0021231423,primaria,NA
76,mi perro,0.0148619958,primaria,0.0046838407
77,mi perro es una pelota de pelos,0.0021231423,primaria,NA
78,mi primo,NA,primaria,0.0023419204
79,mi sombrero,0.0021231423,primaria,NA
80,mi tia es ua pelota de pelos,0.0021231423,primaria,NA
81,molote,0.0042462845,primaria,NA
82,monitor,0.0021231423,primaria,NA
83,mundo,NA,primaria,0.0023419204
84,muneca,NA,primaria,0.0023419204
85,muy feo,NA,primaria,0.0023419204
86,no,0.0021231423,primaria,0.0023419204
87,no contesto,NA,primaria,0.0046838407
88,"""no entendio""",NA,primaria,0.0023419204
89,no se,0.0021231423,primaria,0.0046838407
90,oso,0.0021231423,primaria,NA
91,padre,0.0021231423,primaria,NA
92,papa,0.0467091295,primaria,0.0866510539
93,pedro,NA,primaria,0.0023419204
94,peine,0.0021231423,primaria,NA
95,pelo,0.008492569,primaria,0.0140515222
96,pelos,NA,primaria,0.0023419204
97,pelota,0.016985138,primaria,0.0468384075
98,pelota de pelos,NA,primaria,0.0117096019
99,pelota de tenis,0.0021231423,primaria,NA
100,pelota pelos,NA,primaria,0.0023419204
101,pelotas,NA,primaria,0.0046838407
102,pelota :v,0.0021231423,primaria,NA
103,peluche,0.0042462845,primaria,NA
104,pelusa,NA,primaria,0.0023419204
105,perra,0.0021231423,primaria,NA
106,perrita,NA,primaria,0.0070257611
107,perrito,0.0021231423,primaria,0.0093676815
108,perro,0.2356687898,primaria,0.2740046838
109,perro gordo,0.0021231423,primaria,NA
110,perro o gato,0.0021231423,primaria,NA
111,perros,0.0021231423,primaria,NA
112,personalidad,0.0021231423,primaria,NA
113,pierna,NA,primaria,0.0023419204
114,planeta,NA,primaria,0.0023419204
115,pluma,NA,primaria,0.0023419204
116,pojhgfhddgft,0.0021231423,primaria,NA
117,prima,0.0021231423,primaria,NA
118,primo,NA,primaria,0.0046838407
119,qwe,0.0021231423,primaria,NA
120,ramon,NA,primaria,0.0023419204
121,raton,0.0021231423,primaria,NA
122,razon,0.0021231423,primaria,NA
123,sacate,NA,primaria,0.0023419204
124,salon,0.0021231423,primaria,NA
125,sillon,0.0021231423,primaria,NA
126,sombrero,0.0042462845,primaria,NA
127,talvez,0.0021231423,primaria,NA
128,tia,NA,primaria,0.0023419204
129,tiempo,0.0021231423,primaria,NA
130,tio,NA,primaria,0.0023419204
131,una cabeza,0.0021231423,primaria,NA
132,un gato,0.0042462845,primaria,NA
133,vecino,0.0021231423,primaria,NA
134,vida,0.0063694268,primaria,NA
135,y son tanntas queno puedo contarlas,0.0021231423,primaria,NA
136,NA,NA,primaria,0.0023419204
