genero,suma_total
hombre,107
hombre,287
hombre,134
hombre,134
hombre,151
hombre,160
hombre,209
hombre,203
hombre,288
hombre,207
hombre,92
hombre,118
hombre,198
hombre,136
hombre,110
hombre,183
hombre,214
hombre,116
hombre,72
hombre,265
hombre,95
hombre,101
hombre,161
hombre,63
hombre,103
hombre,247
hombre,175
hombre,84
hombre,158
hombre,162
hombre,114
hombre,85
hombre,120
hombre,65
hombre,57
hombre,155
hombre,155
hombre,182
hombre,161
hombre,240
hombre,323
hombre,203
hombre,139
hombre,141
hombre,344
hombre,108
hombre,83
hombre,103
hombre,22
hombre,238
hombre,80
hombre,60
hombre,38
hombre,118
hombre,160
hombre,4
hombre,76
hombre,196
hombre,176
hombre,136
hombre,141
hombre,200
hombre,199
hombre,135
hombre,149
hombre,142
hombre,43
hombre,154
hombre,103
hombre,156
hombre,370
hombre,126
hombre,139
hombre,156
hombre,145
hombre,88
hombre,74
hombre,85
hombre,75
hombre,99
hombre,175
hombre,167
hombre,79
hombre,139
hombre,97
hombre,109
hombre,112
hombre,19
hombre,70
hombre,85
hombre,139
hombre,153
hombre,168
hombre,137
hombre,160
hombre,102
hombre,187
hombre,330
hombre,203
hombre,184
hombre,279
hombre,122
hombre,321
hombre,175
hombre,205
hombre,158
hombre,139
hombre,147
hombre,145
hombre,116
hombre,223
hombre,219
hombre,97
hombre,81
hombre,175
hombre,315
hombre,165
hombre,332
hombre,153
hombre,71
hombre,147
hombre,201
hombre,29
hombre,43
hombre,149
hombre,118
hombre,71
hombre,141
hombre,167
hombre,279
hombre,96
hombre,239
hombre,151
hombre,100
hombre,188
hombre,112
hombre,211
hombre,132
hombre,173
hombre,178
hombre,141
hombre,145
hombre,124
hombre,259
hombre,116
hombre,113
hombre,132
hombre,142
hombre,139
hombre,70
hombre,110
hombre,222
hombre,121
hombre,71
hombre,154
hombre,106
hombre,119
hombre,160
hombre,80
hombre,264
hombre,114
hombre,149
hombre,121
hombre,150
hombre,150
hombre,166
hombre,133
hombre,160
hombre,169
hombre,307
hombre,147
hombre,139
hombre,176
hombre,138
hombre,132
hombre,140
hombre,207
hombre,126
hombre,189
hombre,156
hombre,44
hombre,64
hombre,148
hombre,118
hombre,148
hombre,31
hombre,250
hombre,267
hombre,117
hombre,128
hombre,129
hombre,151
hombre,358
hombre,122
hombre,96
hombre,82
hombre,225
hombre,181
hombre,136
hombre,195
hombre,131
hombre,132
hombre,330
hombre,305
hombre,201
hombre,162
hombre,244
hombre,113
hombre,127
hombre,160
hombre,326
hombre,213
hombre,192
hombre,274
hombre,132
hombre,193
hombre,144
mujer,193
mujer,155
mujer,215
mujer,152
mujer,179
mujer,190
mujer,206
mujer,196
mujer,135
mujer,156
mujer,128
mujer,180
mujer,172
mujer,168
mujer,215
mujer,169
mujer,59
mujer,209
mujer,182
mujer,239
mujer,204
mujer,112
mujer,151
mujer,125
mujer,137
mujer,212
mujer,399
mujer,76
mujer,223
mujer,67
mujer,90
mujer,113
mujer,236
mujer,282
mujer,262
mujer,233
mujer,130
mujer,203
mujer,136
mujer,32
mujer,34
mujer,134
mujer,65
mujer,146
mujer,133
mujer,111
mujer,76
mujer,221
mujer,57
mujer,249
mujer,257
mujer,263
mujer,286
mujer,122
mujer,182
mujer,195
mujer,170
mujer,206
mujer,262
mujer,168
mujer,205
mujer,175
mujer,151
mujer,112
mujer,116
mujer,240
mujer,96
mujer,87
mujer,175
mujer,273
mujer,165
mujer,70
mujer,242
mujer,153
mujer,156
mujer,167
mujer,204
mujer,233
mujer,150
mujer,170
mujer,173
mujer,234
mujer,317
mujer,162
mujer,280
mujer,155
mujer,109
mujer,97
mujer,176
mujer,261
mujer,119
mujer,142
mujer,248
mujer,171
mujer,203
mujer,169
mujer,337
mujer,241
mujer,193
mujer,169
mujer,147
mujer,182
mujer,178
mujer,134
mujer,83
mujer,77
mujer,70
mujer,252
mujer,117
mujer,267
mujer,164
mujer,34
mujer,83
mujer,70
mujer,79
mujer,140
mujer,277
mujer,99
mujer,210
mujer,141
mujer,127
mujer,361
mujer,80
mujer,97
mujer,38
mujer,99
mujer,144
mujer,163
mujer,131
mujer,214
mujer,147
mujer,153
mujer,117
mujer,342
mujer,232
mujer,258
mujer,261
mujer,277
mujer,219
mujer,252
mujer,130
mujer,175
mujer,282
mujer,161
mujer,255
mujer,146
mujer,223
mujer,146
mujer,192
mujer,224
mujer,255
mujer,175
mujer,177
mujer,286
mujer,116
mujer,275
mujer,169
mujer,46
mujer,145
mujer,151
mujer,196
mujer,165
mujer,156
mujer,224
mujer,196
mujer,247
mujer,181
mujer,226
mujer,95
mujer,115
mujer,170
mujer,133
mujer,105
mujer,183
mujer,253
mujer,199
mujer,108
mujer,196
mujer,173
mujer,339
mujer,186
mujer,110
mujer,264
mujer,88
mujer,230
mujer,163
mujer,149
mujer,209
mujer,208
mujer,148
mujer,117
mujer,261
mujer,256
mujer,180
mujer,162
mujer,163
mujer,170
mujer,87
mujer,154
mujer,80
mujer,173
mujer,267
mujer,126
mujer,84
mujer,145
mujer,116
mujer,78
mujer,231
mujer,253
mujer,196
mujer,190
mujer,217
mujer,156
mujer,147
mujer,185
mujer,193
mujer,167
mujer,156
mujer,146
mujer,175
mujer,297
mujer,278
mujer,292
mujer,355
mujer,259
mujer,189
mujer,148
mujer,128
mujer,155
mujer,148
mujer,315
mujer,180
mujer,171
mujer,140
mujer,281
mujer,172
mujer,124
mujer,225
mujer,183
mujer,166
mujer,146
mujer,182
mujer,201
mujer,151
mujer,148
mujer,299
mujer,288
mujer,71
mujer,122
mujer,111
mujer,236
mujer,313
mujer,128
mujer,358
mujer,227
