comparacion,puntaje_similitud
3_3,0.804828486
3_3,0.717509093
3_3,0.668343739
3_3,0.653036287
3_3,0.34930927
3_3,0.771948004
3_3,0.551673907
3_3,0.70789725
3_3,0.702666355
3_3,0.594355313
3_3,0.700248444
3_3,0.613914815
3_3,0.708541955
3_3,0.60170513
3_3,0.610112843
3_3,0.648455601
3_3,0.709932375
3_3,0.728422519
3_3,0.469674877
3_3,0.495120939
3_3,0.746726152
3_3,0.728422519
3_3,0.722768068
3_3,0.718062345
3_3,0.752339673
3_3,0.746726152
3_3,0.635132362
3_3,0.666623311
3_3,0.647634071
3_3,0.745657629
3_3,0.710542303
3_3,0.495916293
3_3,0.623169038
3_3,0.50247395
3_3,0.605172688
3_3,0.685509153
3_3,0.694515275
3_3,0.72070676
3_3,0.743073956
3_3,0.6251051
3_3,0.69572565
3_3,0.12493576
3_3,0.6888004
3_3,0.720420472
3_3,0.734863145
3_3,0.702825026
3_3,0.693353166
3_3,0.68447995
3_3,0.696864737
3_3,0.737705335
3_3,0.667595774
3_3,0.338714653
3_3,0.728422519
3_3,0.68408558
3_3,0.745906103
3_3,0.731756902
3_3,0.754000895
3_3,0.728881637
3_3,0.4729443
3_3,0.728422519
3_3,0.678020428
3_3,0.735260254
3_3,0.702495638
3_3,0.528740078
3_3,0.698707085
3_3,0.72070676
3_3,0.697687328
3_3,0.6163318
3_3,0.456553
3_3,0.711057236
3_3,0.46886426
3_3,0.524001597
3_3,0.63220435
3_3,0.682951131
3_3,0.741924347
3_3,0.739882929
3_3,0.642187979
3_3,0.693334609
3_3,0.664463559
3_3,0.663627781
3_3,0.763840479
3_3,0.702495638
3_3,0.267817296
3_3,0.74715679
3_3,0.746726152
3_3,0.731791042
3_3,0.675857274
3_3,0.684400486
3_3,0.736454777
3_3,0.728881637
3_3,0.680780424
3_3,0.736816913
3_3,0.700593995
3_3,0.747712356
3_3,0.64970893
3_3,0.728422519
3_3,0.728881637
3_3,0.657896264
3_3,0.698787498
3_3,0.745040027
3_2,0.70859741
3_2,0.67918503
3_2,0.618157613
3_2,0.728422519
3_2,0.685303896
3_2,0.743558967
3_2,0.62405272
3_2,0.664493549
3_2,0.604277503
3_2,0.6955593
3_2,0.672891804
3_2,0.75936234
3_2,0.657764849
3_2,0.656875728
3_2,0.5931892
3_2,0.61423653
3_2,0.6925687
3_2,0.796595935
3_2,0.719336836
3_2,0.7134026
3_2,0.717444227
3_2,0.745338896
3_2,0.743952396
3_2,0.737577626
3_2,0.765535206
3_2,0.630478622
3_2,0.759247981
3_2,0.312233595
3_2,0.605262971
3_2,0.721101963
3_2,0.750647916
3_2,0.666731041
3_2,0.6424798
3_2,0.576258355
3_2,0.673313461
3_2,0.648935091
3_2,0.688201653
3_2,0.578254187
3_2,0.630340394
3_2,0.565628408
3_2,0.654889999
3_2,0.639093654
3_2,0.70715094
3_2,0.631411654
3_2,0.615576695
3_2,0.57411724
3_2,0.616658486
3_2,0.657550717
3_2,0.7080836
3_2,0.683900386
3_2,0.679989783
3_2,0.681634049
3_2,0.693929731
3_2,0.689210277
3_2,0.67584906
3_2,0.713519597
3_2,0.597256875
3_2,0.699889631
3_2,0.287462447
3_2,0.579173515
3_2,0.682092896
3_2,0.695234768
3_2,0.608788966
3_2,0.58781683
3_2,0.537572408
3_2,0.639318804
3_2,0.616143986
3_2,0.648545361
3_2,0.539948862
3_2,0.616751929
3_2,0.556890498
3_2,0.612482962
3_2,0.669913228
3_2,0.6776562
3_2,0.608018567
3_2,0.596288647
3_2,0.5543481
3_2,0.582870055
3_2,0.620003125
3_2,0.655469085
3_2,0.642499807
3_2,0.6281625
3_2,0.631818517
3_2,0.665845799
3_2,0.636019177
3_2,0.650204016
3_2,0.665624302
3_2,0.551479855
3_2,0.696345298
3_2,0.3513971
3_2,0.544621491
3_2,0.640968847
3_2,0.663724673
3_2,0.6113614
3_2,0.594824299
3_2,0.543353986
3_2,0.647845523
3_2,0.5796565
3_2,0.60702056
3_2,0.496897133
3_1,0.008384729
3_1,0.606714
3_1,0.715549691
3_1,0.335649747
3_1,0.712210995
3_1,0.84129703
3_1,0.685860249
3_1,0.681703935
3_1,0.84129703
3_1,0.61883277
3_1,0.705182024
3_1,0.5044862
3_1,0.422951823
3_1,0
3_1,0.16758263
3_1,0.2564228
3_1,0.82330215
3_1,0.16758263
3_1,0.744191256
3_1,0.711258029
3_1,0.651555783
3_1,0.63200656
3_1,0.573134147
3_1,0.56434274
3_1,0.728422519
3_1,0.731075
3_1,0.728422519
3_1,0.5298478
3_1,0.671040049
3_1,0.69371915
3_1,0.546076853
3_1,0.670153334
3_1,0.7531685
3_1,0.706491038
3_1,0.5152114
3_1,0.5391861
3_1,0.680370751
3_1,0.12453965
3_1,0.57609913
3_1,-0.016293814
3_1,0.581242121
3_1,0.642078978
3_1,0.301136424
3_1,0.649996398
3_1,0.77720064
3_1,0.655380898
3_1,0.636237879
3_1,0.77720064
3_1,0.5755851
3_1,0.67344426
3_1,0.4843748
3_1,0.412824995
3_1,0
3_1,0.24592282
3_1,0.2720146
3_1,0.7630248
3_1,0.24592282
3_1,0.710222392
3_1,0.685909314
3_1,0.61230654
3_1,0.617375159
3_1,0.544165985
3_1,0.565113465
3_1,0.673313461
3_1,0.698615553
3_1,0.673313461
3_1,0.539619956
3_1,0.642149632
3_1,0.661317087
3_1,0.525741424
3_1,0.63577727
3_1,0.738729841
3_1,0.665349502
3_1,0.495666246
3_1,0.54767936
3_1,0.651411206
3_1,0.118907094
3_1,0.535798652
3_1,-0.006126514
3_1,0.55019754
3_1,0.61130977
3_1,0.26384532
3_1,0.624086477
3_1,0.73650295
3_1,0.603318956
3_1,0.5797533
3_1,0.73650295
3_1,0.5288905
3_1,0.659934843
3_1,0.519043862
3_1,0.377539871
3_1,0
3_1,0.18292865
3_1,0.22671214
3_1,0.72302485
3_1,0.18292865
3_1,0.699906024
3_1,0.632720735
3_1,0.5598022
3_1,0.595050554
3_0,0
3_0,0.5926689
3_0,0.5053657
3_0,0
3_0,0
3_0,0
3_0,0.56988186
3_0,0.5046175
3_0,0
3_0,0
3_0,0
3_0,0.49112606
3_0,0.47046426
3_0,0
3_0,0
3_0,0
3_0,0.50246745
3_0,0.42653474
3_0,0
3_0,0
3_0,0
3_0,0.2349642
3_0,0.25041062
3_0,0
3_0,0
3_0,0
3_0,0.59261876
3_0,0.50090235
3_0,0
3_0,0
3_0,0
3_0,0.41873693
3_0,0.3816884
3_0,0
