,que mi hermanito grita mucho,n_similarities,2dim,5dim,10dim,20dim,50dim,eval_og
0,si. porque canta,0,0,0,0,0,0,2
1,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
2,NS,0,0,0,0,0,0,1
3,que mi hermano habla y llora mucho,0.32829186,0.004135817,-0.024165545,-0.006690264,-0.000459008,-0.000103258,3
4,porque es muy travieso o llora mucho,0.50417924,0.9209119,0.91910756,-0.009795409,-0.002236687,-9.42E-05,3
5,sus hemanos gritan mucho,0.587024,-0.47047094,-0.10315436,-0.015784612,-0.00374648,0.001283439,3
6,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
7,porque algunos gritamos cuando queremos,0,0,0,0,0,0,2
8,es muy irritante y llora mucho,0.39172617,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,3
9,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
10,mi hermano es un griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
11,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
12,NS,0,0,0,0,0,0,1
13,su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
14,que grita mucho y no para de reir,0.63773954,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
15,que su hermano es chillon,0.30738476,-0.041525424,-0.073130935,0.004510202,0.007470787,0.001552388,3
16,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
17,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
18,lenguaje literal,0,0,0,0,0,0,2
19,que mi hermano esta gritando,0.45310497,-0.08828074,0.0218627,-0.003427502,-0.000319723,-0.000449769,3
20,que es griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
21,mi hermano es una pelota que grita mucho,0.60425675,0.6598271,0.44950983,0.41227862,0.4118954,0.41047364,3
22,porque cuando no le dan algo se enoja y empieza a gritar,0.5912515,-0.47728553,0.069842845,0.000427675,-0.001628837,-0.000958549,3
23,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
24,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
25,0,0,0,0,0,0,0,0
26,es como cuando grita mucho muy fuerte,0.5692198,0.9955339,0.81271434,0.70530456,0.699852,0.5230107,3
27,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
28,no grita porque no es como su hermano,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,1
29,que se asusta siempre o es muy enojona y grita mucho de furia,0.6052917,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
30,es lloron y es pelota de gritos,0.4947111,0.37198728,0.046005696,0.017324783,0.002141833,0.000320736,3
31,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
32,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
33,que bota,0.32965043,0.44887322,-0.040328406,-0.018899981,0.02335608,0.006942791,1
34,que su hermano siempre esta gritando,0.45310497,-0.08828074,0.0218627,-0.003427502,-0.000319723,-0.000449769,3
35,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
36,que es aburrido,0.21235228,0,0,0,0,0,1
37,que su hermano siempre o la mayoria de veces grita o llora,0.6046258,0.6751732,0.53623796,0.40186307,0.40225986,0.39623824,3
38,porque su hermanito es pequeno y grita por eso,0.8110508,0.9999893,0.99985445,0.9970799,0.8556826,0.8217512,3
39,cuando un hermanito grita porque quiere algo,0.8323351,0.99999994,1,1,1,1,3
40,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,1
41,si. porque siempre chilla,0.53725517,0.46122682,0.037388176,0.15310349,-0.001660016,7.45E-07,3
42,que esta gritando todo el dia,0.5244153,-0.51134896,0.14512928,-0.002803262,-0.00037792,-0.000597566,3
43,porque las hermanas por todo se enojan,0.44135043,0,0,0,0,0,3
44,su hermano es muy travieso,0.38341755,-0.040281028,-0.08080984,-0.004813299,-0.001795985,-4.88E-05,3
45,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
46,que su hermano es griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
47,es muy escandaloso,0.23753607,-0.49071535,-0.37589234,-0.069461375,-0.011570905,-9.20E-05,3
48,llora por ella ,0.3590144,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,1
49,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
50,porque esa pelota esta muy poco inflada,0.40923604,0.5306839,0.04140625,-0.010899864,0.002403207,0.001123399,1
51,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
52,una persona que grita mucho,0.6832276,0.99475455,0.80474293,0.5302667,0.5162337,0.500969,3
53,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
54,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
