genero,suma_total
mujer,169
mujer,70
mujer,141
mujer,138
mujer,211
mujer,159
mujer,153
mujer,162
mujer,126
mujer,138
mujer,99
mujer,145
mujer,148
mujer,116
mujer,19
mujer,163
mujer,137
mujer,166
mujer,178
mujer,129
mujer,169
mujer,192
mujer,158
mujer,134
mujer,171
mujer,137
mujer,166
mujer,123
mujer,169
mujer,184
mujer,151
mujer,164
mujer,160
mujer,147
mujer,172
mujer,146
mujer,112
mujer,235
mujer,200
mujer,191
mujer,116
mujer,133
mujer,179
mujer,202
mujer,107
mujer,137
mujer,121
mujer,169
mujer,98
mujer,116
mujer,114
mujer,160
mujer,115
mujer,116
mujer,110
mujer,118
mujer,149
mujer,114
mujer,79
mujer,153
mujer,141
mujer,118
mujer,175
mujer,152
mujer,135
mujer,157
mujer,133
mujer,150
mujer,92
mujer,160
mujer,103
mujer,120
mujer,104
mujer,119
mujer,154
mujer,109
mujer,111
mujer,189
mujer,133
mujer,85
mujer,121
mujer,170
mujer,107
mujer,152
mujer,129
mujer,114
mujer,56
mujer,133
mujer,157
mujer,198
mujer,120
mujer,115
mujer,206
mujer,110
mujer,207
mujer,161
mujer,101
mujer,102
mujer,164
mujer,192
mujer,153
mujer,190
mujer,150
mujer,124
mujer,106
mujer,151
mujer,164
mujer,172
mujer,133
mujer,134
mujer,187
mujer,296
mujer,135
mujer,160
mujer,152
mujer,137
mujer,135
mujer,154
mujer,172
mujer,143
mujer,175
mujer,114
mujer,131
mujer,181
mujer,151
mujer,167
mujer,134
mujer,130
mujer,166
mujer,166
mujer,205
mujer,116
mujer,213
mujer,135
mujer,176
mujer,153
mujer,170
mujer,189
mujer,317
mujer,135
mujer,186
mujer,189
mujer,241
mujer,195
mujer,121
mujer,144
mujer,209
mujer,206
mujer,176
mujer,162
mujer,163
mujer,184
mujer,96
mujer,275
mujer,129
mujer,147
mujer,128
mujer,197
mujer,110
mujer,176
mujer,244
mujer,127
mujer,167
mujer,145
mujer,87
mujer,180
mujer,175
mujer,151
mujer,148
mujer,164
mujer,160
mujer,147
mujer,75
mujer,197
mujer,157
mujer,175
mujer,152
mujer,161
mujer,238
mujer,156
mujer,104
mujer,224
mujer,185
mujer,209
mujer,107
mujer,160
mujer,145
mujer,177
mujer,186
mujer,198
mujer,176
mujer,223
mujer,146
mujer,194
mujer,184
mujer,231
mujer,168
mujer,139
mujer,167
mujer,184
mujer,137
mujer,178
mujer,166
mujer,157
mujer,155
mujer,286
mujer,257
mujer,176
mujer,132
mujer,116
mujer,115
mujer,190
hombre,97
hombre,134
hombre,67
hombre,211
hombre,135
hombre,111
hombre,122
hombre,150
hombre,43
hombre,137
hombre,201
hombre,137
hombre,114
hombre,133
hombre,107
hombre,159
hombre,138
hombre,174
hombre,125
hombre,126
hombre,124
hombre,161
hombre,123
hombre,107
hombre,151
hombre,46
hombre,132
hombre,82
hombre,198
hombre,132
hombre,164
hombre,142
hombre,115
hombre,118
hombre,113
hombre,139
hombre,170
hombre,234
hombre,179
hombre,168
hombre,143
hombre,135
hombre,87
hombre,105
hombre,148
hombre,70
hombre,200
hombre,100
hombre,120
hombre,141
hombre,230
hombre,76
hombre,170
hombre,143
hombre,194
hombre,164
hombre,124
hombre,122
hombre,143
hombre,175
hombre,228
hombre,143
hombre,134
hombre,207
hombre,181
hombre,119
hombre,121
hombre,164
hombre,178
hombre,127
hombre,154
hombre,176
hombre,171
hombre,115
hombre,130
hombre,96
hombre,146
hombre,147
hombre,108
hombre,102
hombre,53
hombre,136
hombre,85
hombre,113
hombre,55
hombre,100
hombre,101
hombre,181
hombre,89
hombre,100
hombre,157
hombre,117
hombre,48
hombre,125
hombre,114
hombre,93
hombre,165
hombre,150
hombre,155
hombre,128
hombre,98
hombre,3
hombre,74
hombre,88
hombre,69
hombre,183
hombre,118
hombre,102
hombre,74
hombre,109
hombre,75
hombre,171
hombre,152
hombre,127
hombre,141
hombre,101
hombre,115
hombre,201
hombre,118
hombre,149
hombre,106
hombre,163
hombre,55
hombre,141
hombre,96
hombre,137
hombre,121
hombre,120
hombre,135
hombre,199
hombre,154
hombre,153
hombre,195
hombre,246
hombre,158
hombre,160
hombre,103
hombre,109
hombre,124
hombre,84
hombre,108
hombre,219
hombre,220
hombre,142
hombre,133
hombre,182
hombre,125
hombre,290
hombre,243
hombre,219
hombre,132
hombre,198
hombre,191
hombre,162
hombre,116
hombre,127
hombre,86
hombre,110
hombre,101
hombre,179
hombre,134
hombre,126
hombre,134
hombre,225
hombre,156
hombre,149
hombre,199
hombre,154
hombre,188
hombre,223
hombre,59
hombre,175
hombre,167
hombre,129
hombre,164
hombre,180
hombre,143
hombre,154
hombre,106
hombre,202
hombre,135
hombre,142
hombre,187
hombre,177
hombre,135
hombre,172
hombre,93
hombre,158
hombre,98
hombre,155
hombre,136
hombre,113
hombre,110
hombre,162
hombre,177
hombre,188
hombre,144
hombre,182
hombre,177
hombre,155
hombre,182
hombre,244
hombre,160
hombre,184
hombre,181
hombre,152
hombre,221
hombre,114
hombre,134
hombre,86
hombre,138
hombre,167
hombre,121
hombre,154
hombre,126
hombre,121
