concepto_r_1_clean_ans,concepto_r_1_nouns,concepto_r_1_nouns_count,concepto_r_1_verbs,concepto_r_1_verbs_count,concepto_r_1_adjts,concepto_r_1_adjts_count,concepto_r_1_advbs,concepto_r_1_advbs_count,concepto_r_1_tokens,concepto_r_1_mean_tokens,df_1_clean_ans,df_1_nouns,df_1_nouns_count,df_1_verbs,df_1_verbs_count,df_1_adjts,df_1_adjts_count,df_1_advbs,df_1_advbs_count,df_1_tokens,df_1_mean_tokens,c1_1_clean_ans,c1_1_nouns,c1_1_nouns_count,c1_1_verbs,c1_1_verbs_count,c1_1_adjts,c1_1_adjts_count,c1_1_advbs,c1_1_advbs_count,c1_1_tokens,c1_1_mean_tokens,c2_1_clean_ans,c2_1_nouns,c2_1_nouns_count,c2_1_verbs,c2_1_verbs_count,c2_1_adjts,c2_1_adjts_count,c2_1_advbs,c2_1_advbs_count,c2_1_tokens,c2_1_mean_tokens,c3_1_clean_ans,c3_1_nouns,c3_1_nouns_count,c3_1_verbs,c3_1_verbs_count,c3_1_adjts,c3_1_adjts_count,c3_1_advbs,c3_1_advbs_count,c3_1_tokens,c3_1_mean_tokens,criterio_1_clean_ans,criterio_1_nouns,criterio_1_nouns_count,criterio_1_verbs,criterio_1_verbs_count,criterio_1_adjts,criterio_1_adjts_count,criterio_1_advbs,criterio_1_advbs_count,criterio_1_tokens,criterio_1_mean_tokens,concepto_r_2_clean_ans,concepto_r_2_nouns,concepto_r_2_nouns_count,concepto_r_2_verbs,concepto_r_2_verbs_count,concepto_r_2_adjts,concepto_r_2_adjts_count,concepto_r_2_advbs,concepto_r_2_advbs_count,concepto_r_2_tokens,concepto_r_2_mean_tokens,df_2_clean_ans,df_2_nouns,df_2_nouns_count,df_2_verbs,df_2_verbs_count,df_2_adjts,df_2_adjts_count,df_2_advbs,df_2_advbs_count,df_2_tokens,df_2_mean_tokens,c1_2_clean_ans,c1_2_nouns,c1_2_nouns_count,c1_2_verbs,c1_2_verbs_count,c1_2_adjts,c1_2_adjts_count,c1_2_advbs,c1_2_advbs_count,c1_2_tokens,c1_2_mean_tokens,c2_2_clean_ans,c2_2_nouns,c2_2_nouns_count,c2_2_verbs,c2_2_verbs_count,c2_2_adjts,c2_2_adjts_count,c2_2_advbs,c2_2_advbs_count,c2_2_tokens,c2_2_mean_tokens,c3_2_clean_ans,c3_2_nouns,c3_2_nouns_count,c3_2_verbs,c3_2_verbs_count,c3_2_adjts,c3_2_adjts_count,c3_2_advbs,c3_2_advbs_count,c3_2_tokens,c3_2_mean_tokens,c4_2_clean_ans,c4_2_nouns,c4_2_nouns_count,c4_2_verbs,c4_2_verbs_count,c4_2_adjts,c4_2_adjts_count,c4_2_advbs,c4_2_advbs_count,c4_2_tokens,c4_2_mean_tokens,criterio_2_clean_ans,criterio_2_nouns,criterio_2_nouns_count,criterio_2_verbs,criterio_2_verbs_count,criterio_2_adjts,criterio_2_adjts_count,criterio_2_advbs,criterio_2_advbs_count,criterio_2_tokens,criterio_2_mean_tokens,concepto_r_3_clean_ans,concepto_r_3_nouns,concepto_r_3_nouns_count,concepto_r_3_verbs,concepto_r_3_verbs_count,concepto_r_3_adjts,concepto_r_3_adjts_count,concepto_r_3_advbs,concepto_r_3_advbs_count,concepto_r_3_tokens,concepto_r_3_mean_tokens,df_3_clean_ans,df_3_nouns,df_3_nouns_count,df_3_verbs,df_3_verbs_count,df_3_adjts,df_3_adjts_count,df_3_advbs,df_3_advbs_count,df_3_tokens,df_3_mean_tokens,c1_3_clean_ans,c1_3_nouns,c1_3_nouns_count,c1_3_verbs,c1_3_verbs_count,c1_3_adjts,c1_3_adjts_count,c1_3_advbs,c1_3_advbs_count,c1_3_tokens,c1_3_mean_tokens,c2_3_clean_ans,c2_3_nouns,c2_3_nouns_count,c2_3_verbs,c2_3_verbs_count,c2_3_adjts,c2_3_adjts_count,c2_3_advbs,c2_3_advbs_count,c2_3_tokens,c2_3_mean_tokens,c3_3_clean_ans,c3_3_nouns,c3_3_nouns_count,c3_3_verbs,c3_3_verbs_count,c3_3_adjts,c3_3_adjts_count,c3_3_advbs,c3_3_advbs_count,c3_3_tokens,c3_3_mean_tokens,c4_3_clean_ans,c4_3_nouns,c4_3_nouns_count,c4_3_verbs,c4_3_verbs_count,c4_3_adjts,c4_3_adjts_count,c4_3_advbs,c4_3_advbs_count,c4_3_tokens,c4_3_mean_tokens,criterio_3_clean_ans,criterio_3_nouns,criterio_3_nouns_count,criterio_3_verbs,criterio_3_verbs_count,criterio_3_adjts,criterio_3_adjts_count,criterio_3_advbs,criterio_3_advbs_count,criterio_3_tokens,criterio_3_mean_tokens,concepto_r_4_clean_ans,concepto_r_4_nouns,concepto_r_4_nouns_count,concepto_r_4_verbs,concepto_r_4_verbs_count,concepto_r_4_adjts,concepto_r_4_adjts_count,concepto_r_4_advbs,concepto_r_4_advbs_count,concepto_r_4_tokens,concepto_r_4_mean_tokens,df_4_clean_ans,df_4_nouns,df_4_nouns_count,df_4_verbs,df_4_verbs_count,df_4_adjts,df_4_adjts_count,df_4_advbs,df_4_advbs_count,df_4_tokens,df_4_mean_tokens,c1_4_clean_ans,c1_4_nouns,c1_4_nouns_count,c1_4_verbs,c1_4_verbs_count,c1_4_adjts,c1_4_adjts_count,c1_4_advbs,c1_4_advbs_count,c1_4_tokens,c1_4_mean_tokens,c2_4_clean_ans,c2_4_nouns,c2_4_nouns_count,c2_4_verbs,c2_4_verbs_count,c2_4_adjts,c2_4_adjts_count,c2_4_advbs,c2_4_advbs_count,c2_4_tokens,c2_4_mean_tokens,c3_4_clean_ans,c3_4_nouns,c3_4_nouns_count,c3_4_verbs,c3_4_verbs_count,c3_4_adjts,c3_4_adjts_count,c3_4_advbs,c3_4_advbs_count,c3_4_tokens,c3_4_mean_tokens,c4_4_clean_ans,c4_4_nouns,c4_4_nouns_count,c4_4_verbs,c4_4_verbs_count,c4_4_adjts,c4_4_adjts_count,c4_4_advbs,c4_4_advbs_count,c4_4_tokens,c4_4_mean_tokens,criterio_4_clean_ans,criterio_4_nouns,criterio_4_nouns_count,criterio_4_verbs,criterio_4_verbs_count,criterio_4_adjts,criterio_4_adjts_count,criterio_4_advbs,criterio_4_advbs_count,criterio_4_tokens,criterio_4_mean_tokens,concepto_r_5_clean_ans,concepto_r_5_nouns,concepto_r_5_nouns_count,concepto_r_5_verbs,concepto_r_5_verbs_count,concepto_r_5_adjts,concepto_r_5_adjts_count,concepto_r_5_advbs,concepto_r_5_advbs_count,concepto_r_5_tokens,concepto_r_5_mean_tokens,df_5_clean_ans,df_5_nouns,df_5_nouns_count,df_5_verbs,df_5_verbs_count,df_5_adjts,df_5_adjts_count,df_5_advbs,df_5_advbs_count,df_5_tokens,df_5_mean_tokens,c1_5_clean_ans,c1_5_nouns,c1_5_nouns_count,c1_5_verbs,c1_5_verbs_count,c1_5_adjts,c1_5_adjts_count,c1_5_advbs,c1_5_advbs_count,c1_5_tokens,c1_5_mean_tokens,c2_5_clean_ans,c2_5_nouns,c2_5_nouns_count,c2_5_verbs,c2_5_verbs_count,c2_5_adjts,c2_5_adjts_count,c2_5_advbs,c2_5_advbs_count,c2_5_tokens,c2_5_mean_tokens,c3_5_clean_ans,c3_5_nouns,c3_5_nouns_count,c3_5_verbs,c3_5_verbs_count,c3_5_adjts,c3_5_adjts_count,c3_5_advbs,c3_5_advbs_count,c3_5_tokens,c3_5_mean_tokens,c4_5_clean_ans,c4_5_nouns,c4_5_nouns_count,c4_5_verbs,c4_5_verbs_count,c4_5_adjts,c4_5_adjts_count,c4_5_advbs,c4_5_advbs_count,c4_5_tokens,c4_5_mean_tokens,criterio_5_clean_ans,criterio_5_nouns,criterio_5_nouns_count,criterio_5_verbs,criterio_5_verbs_count,criterio_5_adjts,criterio_5_adjts_count,criterio_5_advbs,criterio_5_advbs_count,criterio_5_tokens,criterio_5_mean_tokens,concepto_r_6_clean_ans,concepto_r_6_nouns,concepto_r_6_nouns_count,concepto_r_6_verbs,concepto_r_6_verbs_count,concepto_r_6_adjts,concepto_r_6_adjts_count,concepto_r_6_advbs,concepto_r_6_advbs_count,concepto_r_6_tokens,concepto_r_6_mean_tokens,df_6_clean_ans,df_6_nouns,df_6_nouns_count,df_6_verbs,df_6_verbs_count,df_6_adjts,df_6_adjts_count,df_6_advbs,df_6_advbs_count,df_6_tokens,df_6_mean_tokens,c1_6_clean_ans,c1_6_nouns,c1_6_nouns_count,c1_6_verbs,c1_6_verbs_count,c1_6_adjts,c1_6_adjts_count,c1_6_advbs,c1_6_advbs_count,c1_6_tokens,c1_6_mean_tokens,c2_6_clean_ans,c2_6_nouns,c2_6_nouns_count,c2_6_verbs,c2_6_verbs_count,c2_6_adjts,c2_6_adjts_count,c2_6_advbs,c2_6_advbs_count,c2_6_tokens,c2_6_mean_tokens,c3_6_clean_ans,c3_6_nouns,c3_6_nouns_count,c3_6_verbs,c3_6_verbs_count,c3_6_adjts,c3_6_adjts_count,c3_6_advbs,c3_6_advbs_count,c3_6_tokens,c3_6_mean_tokens,criterio_6_clean_ans,criterio_6_nouns,criterio_6_nouns_count,criterio_6_verbs,criterio_6_verbs_count,criterio_6_adjts,criterio_6_adjts_count,criterio_6_advbs,criterio_6_advbs_count,criterio_6_tokens,criterio_6_mean_tokens
[NS],piel,46,,,,,,,428,1,[papel],papel,69,,,,,,,428,1,[papel],papel,16,güerita,1,delicada,4,no,1,465,1.086448598,[NS],color,7,cortar,1,blanda,1,mal,1,456,1.065420561,[NS],quemadura,1,creciendo,1,delgada,1,,,436,1.018691589,[literal],metafora,132,tiene,1,literal,40,no,2,433,1.011682243,[NS],dientes,73,,,,,,,428,1,[oro],oro,58,,,suave,1,,,428,1,[brillosas],colores,11,existen,1,bonitas,26,no,4,463,1.081775701,[NS],colores,6,huelen,1,colorida,1,bien,1,453,1.058411215,[NS],olor,1,ayudan,1,bonitas,1,bien,1,433,1.011682243,[NS],pelitos,1,liquida,1,suave,1,,,428,1,[metafora],metafora,201,,,desvinculado,94,,,431,1.007009346,[NS],mirada,47,,,,,,,428,1,[frios],amiga,1,,,frios,56,,,428,1,[helado],helado,1,estuviera,1,frios,12,no,20,550,1.285046729,[NS],sangre,2,sienten,1,asquerosos,1,no,3,445,1.039719626,[NS],tubos,1,respirar,1,importantes,1,no,1,434,1.014018692,[NS],,,,,tierna,1,,,428,1,"[desvinculado, metafora]",metafora,196,,,desvinculado,74,,,440,1.028037383,[NS],sonrisa,104,,,,,,,428,1,[Tibia],hielo,91,,,amargo,3,,,428,1,[caliente],maneras,1,reir,1,caliente,5,menos,1,529,1.235981308,[NS],cariño,1,brillando,1,alegre,7,NStural,1,450,1.051401869,[NS],felicidad,1,romper,1,amorosa,1,,,432,1.009345794,[NS],,,,,,,,,428,1,"[desvinculado, metafora]",metafora,132,,,desvinculado,131,no,8,448,1.046728972,[lento],año,1,,,lento,79,,,428,1,[NS],atras,51,va,9,,,,,436,1.018691589,[],estaciones,2,celebra,1,lento,37,despacio,2,580,1.355140187,[NS],meses,2,vas,1,lento,2,cerca,1,469,1.095794393,[NS],vacaciones,2,,,tranquilo,1,,,428,1,[NS],,,,,,,,,428,1,"[desvinculado, convencioNSl]",NN,6,,,desvinculado,81,,,434,1.014018692,[NS],segundos,14,,,mejores,95,,,523,1.221962617,[vuelan],llego,78,vuelan,93,,,,,428,1,[rapido],tiempo,12,ir,3,rapido,63,no,6,700,1.635514019,[NS],rapidos,1,festejar,2,rapido,15,ya,1,446,1.042056075,[NS],tiempo,1,,,buena,1,,,429,1.002336449,"[metafora, convencional]",metafora,159,,,convencional,129,,,434,1.014018692
[NS],cabello,55,,,,,,,,,[papel],zacate,74,,,,,,,,,[delicada],color,7,pizarron,1,suave,44,muy,2,,,[NS],carne,1,rasguño,1,delicada,3,no,3,,,[NS],colores,1,,,sedoso,2,,,,,[metafora],imposibilidad,1,significa,1,incierto,57,,,,,[flores],piel,51,,,,,,,,,[NS],perlas,94,,,,,,,,,[bonitas],diferencia,1,ayudan,1,dorado,5,,,,,[colores],girasoles,1,especifica,1,rico,6,,,,,[NS],petalos,1,inyectar,1,lisos,1,,,,,[NS],morenos,1,,,,,,,,,[desvinculado],imposibilidad,2,,,literal,32,,,,,[corazon],corazones,21,,,,,,,,,[NS],,,,,dulce,93,,,,,[rojos],rojos,16,importa,1,blanco,1,muy,2,,,[sangre],papel,1,bombean,1,azul,1,ilumiNSnte,1,,,[NS],profundos,1,vivir,1,bonita,1,,,,,[NS],,,,,feliz,1,,,,,[desvinculado],imposibilidad,1,,,imagiNStivo,12,,,,,[],sonrrisa,1,,,,,,,,,[],amargos,45,,,,,,,,,[],labios,1,tiene,1,bonita,41,sonriente,3,,,[],ladrillos,1,haciendo,1,feliz,6,adentro,1,,,[],expresiva,1,ver,1,amistosa,1,,,,,[NS],,,,,,,,,,,[],NN,7,,,literal,48,,,,,[],noche,31,,,,,,,,,[],calor,1,viene,27,,,,,,,[],accidentes,1,correr,1,tardado,2,no,10,,,[],dia,1,quito,1,aburrido,1,casi,1,,,[],balneario,1,,,frio,1,,,,,[NS],,,,,,,,,,,[],metafora,163,,,literal,77,,,,,[NS],tiempos,95,,,,,,,,,[vuelan],,,vendran,37,,,,,,,[rapido],volada,2,perder,3,importantes,1,mejor,8,,,[NS],importancia,1,estar,1,festivo,1,,,,,[NS],momentos,1,,,,,,,,,[metafora],invalida,1,,,literal,46,,,,
[NS],nubes,84,,,,,,,,,[papel],estropajo,18,,,,,,,,,[papel],carne,5,calentar,1,suavecita,1,,,,,[NS],chino,3,saben,1,suave,10,,,,,[NS],formas,1,,,peludo,1,,,,,[literal],NN,8,,,desvinculada,56,,,,,[NS],,,,,,,,,,,[oro],chiquitos,1,,,,,,,,,[dorado],hojas,1,masticar,1,amarillo,7,,,,,[NS],olor,7,brillar,2,bonitas,2,,,,,[NS],llamativas,1,sirven,1,alegre,1,,,,,[NS],,,,,,,,,,,[metafora],incierta,1,,,semantico,8,,,,,[NS],,,,,,,,,,,[frios],,,,,ardiente,65,,,,,[frios],rotos,1,sienten,7,bonitos,2,mucho,4,,,[papel],pegajosos,1,ver,2,frio,1,poco,1,,,[NS],,,atenta,1,amable,1,,,,,[NS],,,,,,,,,,,"[desvinculado, incierta]",NN,2,,,literal,45,,,,,[sonrisa],ojos,68,,,,,,,,,[tibia],sonrisa,1,,,,,,,,,[NS],sonrisa,2,contenta,1,normal,2,casi,2,,,[NS],felicidad,1,usamos,1,bonita,5,no,2,,,[NS],capas,1,lloran,1,verdes,2,,,,,[NS],,,,,,,,,,,[literal],imposibilidad,2,,,incierto,31,,,,,[lento],verano,92,,,,,,,,,[NS],noche,1,atra,1,,,,,,,[lento],cambio,1,va,6,rapido,8,lentamente,1,,,[NS],estrellas,2,llega,1,rapido,1,ya,2,,,[NS],plantas,1,,,,,,,,,[NS],,,,,,,,,,,[literal],incierta,2,,,imagiNStivo,9,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],minutos,1,pasar,11,buenos,3,mal,3,,,[NS],tiempo,11,viene,1,mejor,2,,,,,[NS],reyes,1,,,,,,,,,[literal],incierta,2,,,imaginativo,9,,,,
[piel],,,,,,,,,,,[papel],leche,50,,,,,,,,,[suave],cuerpo,2,romper,1,delgada,6,,,,,[NS],colores,1,evaporar,1,bonita,2,,,,,[NS],cuidado,1,,,grandes,1,,,,,[incierto],sentido,1,,, imaginativo,19,,,,,[flores],,,,,,,,,,,[oro],reseca,1,,,,,,,,,[bonitas],oro,13,brillar,5,suave,64,,,,,[colores],venta,1,oler,5,fresco,1,,,,,[NS],amarillos,1,masticar,1,limpios,1,,,,,[NS],,,,,,,,,,,[desvinculado],invalida,1,,,incierto,29,,,,,[corazon],,,,,,,,,,,[NS],,,,,agresiva,1,,,,,[rojos],carne,1,tienes,1,destrozados,1,fijamente,5,,,[asquerosos],rojos,1,atenta,1,frios,2,muy,1,,,[NS],,,gusta,1,respetuosa,1,,,,,[NS],,,,,,,,,,,[desvinculado],invalida,1,,,incierto,9,,,,,[sonrisa],,,,,,,,,,,[tibia],,,,,,,,,,,[bonita],medida,1,quiere,1,brillante,3,no,20,,,[alegre],hoyitos,1,ver,1,hermosa,3,reluciente,1,,,[NS],protegerse,1,,,impecable,1,,,,,[NS],,,,,,,,,,,"[desvinculado, incierto]",incierta,2,,,desvinculada,5,,,,,[lento],,,,,,,,,,,[NS],,,quedo,49,,,,,,,[lento],horario,2,pasan,1,largo,5,mucho,2,,,[NS],lugares,1,dar,1,gira,1,no,1,,,[NS],diversion,1,,,,,,,,,[NS],,,,,,,,,,,[literal],invalida,1,,,desvinculada,6,,,,,[NS],,,,,,,,,,,[vuelan],,,,,,,,,,,[],entretenimiento,1,correr,2,mejores,38,hoy,3,,,[rapido],horas,1,ira,1,mejores,2,,,,,[NS],noche,1,,,,,,,,,[metafora],,,,,desvinculado,27,,,,
[piel],,,,,,,,,,,[papel],,,,,,,,,,,"[suave, suavecita]",liso,4,poner,1,distinta,1,,,,,[NS],esponjosas,2,crece,1,lisa,1,,,,,[NS],cabellos,1,,,pequeñas,1,,,,,[incierto],invalida,2,,,desvinculado,62,,,,,[NS],,,,,,,,,,,[oro],,,,,,,,,,,[amarillo],ramas,1,oler,4,lindas,3,,,,,[girasoles],palito,1,,,ricas,1,,,,,[NS],sucios,1,huelen,1,grandes,2,,,,,[NS],,,,,,,,,,,[metafora],,,,,imagiNStivo,5,,,,,[corazon],,,,,,,,,,,[frios],,,,,,,,,,,[blanco],ruidosos,1,enojan,1,caliente,3,bien,1,,,[azul],sinceridad,1,vivir,3,pequeños,1,,,,,[NS],,,,,limpia,1,,,,,[NS],,,,,,,,,,,"[desvinculado, incierta]",incierta,2,,,autorreferencial,25,,,,,[sonrisa],,,,,,,,,,,[tibia],,,,,,,,,,,[normal],hielo,16,sonreir,9,agradable,2,bien,1,,,[NS],colores,3,,,chiquita,1,,,,,[NS],pupilas,1,,,inteligentes,1,,,,,[NS],,,,,,,,,,,"[desvinculado, incierto]",invalida,1,,,imagiNStivo,11,,,,,[lento],,,,,,,,,,,[NS],,,quedar,1,,,,,,,[tardado],cansada,1,celebrar,1,aburrido,3,ya,26,,,[NS],calor,10,acabo,1,verdes,2,poco,1,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[convencioNSl],,,,,semantico,2,,,,,[NS],,,,,,,,,,,[vuelan],,,,,,,,,,,[perder],muerte,1,vuelan,4,frio,4,ya,24,,,[NS],segundos,7,,,nuevo,1,,,,,[NS],regalos,1,,,,,,,,,[metafora],,,,,ocnvencional,1,,,,
[piel],,,,,,,,,,,[papel],,,,,,,,,,,[suave],momia,1,,,blanco,3,,,,,[NS],leche,7,mover,1,transparente,1,,,,,[NS],pasto,1,,,feo,2,,,,,[incierto],incierta,1,,,fonologico,1,,,,,[flores],,,,,,,,,,,[NS],,,,,,,,,,,[suave],hermosas,5,,,pequeñas,1,,,,,[colorida],color,6,,,pequeñas,1,,,,,[NS],negra,1,,,comoda,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,desvinculada,14,,,,,[NS],,,,,,,,,,,[frios],,,,,,,,,,,[rotos],refrigerador,1,da,1,frio,2,encima,1,,,[NS],amor,2,pensar,1,linda,8,,,,,[NS],,,,,triste,2,,,,,[NS],,,,,,,,,,,[metafora],,,,,desvinculada,22,,,,,[NS],,,,,,,,,,,[tibia],,,,,,,,,,,[bonita],helado,1,brilla,1,alegre,13,simpre,1,,,[NS],rojos,2,,,cuadrados,1,,,,,[NS],chiquitos,1,,,agradable,1,,,,,[NS],,,,,,,,,,,"[desvinculado, metafora]",,,,,autorreferencial,1,,,,,[NS],,,,,,,,,,,[NS],,,quear,1,,,,,,,[NS],actividades,1,tarda,2,dura,1,menos,1,,,[NS],noche,2,existe,1,libre,1,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[tautoloogico],,,,,autorreferencial,5,,,,,[NS],,,,,,,,,,,[vuelan],,,,,,,,,,,[pasar],movimiento,1,esperan,1,mejor,11,bien,2,,,[rapido],cielo,1,,,reunida,1,,,,,[NS],,,,,,,,,,,[metafora],,,,,semantico,1,,,,
[piel],,,,,,,,,,,[papel],,,,,,,,,,,[suave],campo,1,,,bonito,4,,,,,[blanda],lluvia,1,,,resbalosa,1,,,,,[NS],leche,1,,,fragil,1,,,,,[incierto],,,,,imposible,5,,,,,[flores],,,,,,,,,,,[NS],,,,,,,,,,,[colores],caras,1,,,brillantes,34,,,,,"[olor, huelen, rico]",oro,3,,,costosas,1,,,,,[NS],calcio,1,,,humectada,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,autoreferencial,1,,,,,[corazon],,,,,,,,,,,[NS],,,,,,,,,,,[rojos],cariño,1,ver,5,sentimental,1,,,,,[pegajosos],especiales,1,,,importante,1,,,,,[NS],,,,,enfadada,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,imposible,2,,,,,[sonrisa],,,,,,,,,,,[NS],,,,,,,,,,,[brillante],fingida,2,sentir,1,timida,2,muy,2,,,[NS],bolita,1,,,blancos,1,,,,,[NS],color,3,,,hermosa,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,imagiNStivos,1,,,,,[lento],,,,,,,,,,,[NS],,,,,,,,,,,[lento],reloj,1,queda,1,atrasada,1,casi,3,,,[NS],tierra,1,ponen,1,frio,1,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[tautologico],,,,,incierto,6,,,,,[NS],,,,,,,,,,,[vuelan],,,,,,,,,,,[correr],futuro,11,vuela,1,malo,4,adelante,1,,,[rapido],cosas,2,,,inolvidable,1,,,,,[NS],,,,,,,,,,,[metafora],,,,,desvinculada,3,,,,
[NS],,,,,,,,,,,[papel],,,,,,,,,,,[delgada],fuerza,1,,,fragil,3,,,,,[delicada],cielo,3,,,delgada,2,,,,,[NS],color,1,,,suave,1,,,,,[metafora],,,,,,,,,,,[flores],,,,,,,,,,,[NS],,,,,,,,,,,[colores],petalos,3,,,duro,1,,,,,[bonitas],valor,1,,,lindas,1,,,,,[NS],guera,1,,,rasposo,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[corazon],,,,,,,,,,,[NS],,,,,,,,,,,[bonitos],piedad,1,conquistar,1,despistado,1,,,,,[rojos],chiquitos,1,,,tierna,11,,,,,[NS],,,,,vanidosa,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[NS],,,,,,,,,,,[tibia],,,,,,,,,,,[agradable],luna,1,sonries,1,distinta,1,siempre,1,,,[cariño],seña,1,,,graciosa,1,,,,,[NS],,,,,bonitos,1,,,,,[NS],,,,,,,,,,,[metafora],,,,,imposible,3,,,,,[NS],,,,,,,,,,,[],,,,,,,,,,,[camiNSr],festividades,1,hacer,2,atras,1,siempre,1,,,[NS],sol,2,acaba,1,soleados,1,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[imagiNStivo],,,,,ilegible,1,,,,,[NS],,,,,,,,,,,[vuelan],,,,,,,,,,,[],tiempos,22,cuenta,1,buenas,9,algo,3,,,[rapido],dia,1,,,lento,1,,,,,[NS],,,,,,,,,,,[convencional],,,,,incierto,3,,,,
[piel],,,,,,,,,,,[NS],,,,,,,,,,,"[color, carne]",capas,1,,,debil,1,,,,,[suave],esponjoso,3,,,facil,1,,,,,[NS],almuhadas,1,,,suaves,3,,,,,[desvinculada],,,,,,,,,,,[flores],,,,,,,,,,,[NS],,,,,,,,,,,[bonitas],plantas,1,,,verde,1,,,,,[colores],rosas,1,,,limpios,8,,,,,[NS],relucientes,1,,,interesantes,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[corazon],,,,,,,,,,,[frios],,,,,,,,,,,[rojos],puño,1,ves,1,grande,3,,,,,[sinceridad],gente,1,,,mala,1,,,,,[respirar],,,,,hermosa,1,,,,,[NS],,,,,,,,,,,[metafora],,,,,,,,,,,[sonrisa],,,,,,,,,,,[NS],,,,,,,,,,,"[distintas, maneras]",blancos,7,dormido,1,hermosa,7,mucho,3,,,[NS],boca,1,,,roja,1,,,,,[NS],,,,,bonita,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,invailida,1,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NS],dias,3,sube,1,sales,1,,,,,[NS],luna,1,va,1,pasado,1,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[NN],,,,,,,,,,,[segundos],,,,,,,,,,,[vuelan],,,,,,,,,,,[],dias,5,volver,1,bueno,3,nunca,2,,,[rapidos],mundo,1,,,frio,1,,,,,[NS],,,,,,,,,,,[convencional],,,,,autorreferencial,3,,,,
[piel],,,,,,,,,,,[papel],,,,,,,,,,,[suave],protectora,1,,,flexible,1,,,,,[NS],gases,1,,,duro,4,,,,,[NS],blanditas,1,,,abiertas,1,,,,,[incierto],,,,,,,,,,,[flores],,,,,,,,,,,[NS],,,,,,,,,,,[colores],encantadoras,1,,,suaves,2,,,,,[NS],capullo,1,,,fuertes,7,,,,,[NS],blancos,1,,,hermoso,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[corazon],,,,,,,,,,,[NS],,,,,,,,,,,[rojos],color,1,mirar,6,felices,2,,,,,[NS],responsable,1,,,miedoso,1,,,,,[NS],,,,,abrasable,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[sonrisa],,,,,,,,,,,[tibia],,,,,,,,,,,[alegre],cara,2,arden,1,triste,4,tan,1,,,[NS],pupila,2,,,negro,1,,,,,[NS],,,,,frustrados,1,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[año],,,,,,,,,,,[NS],,,,,,,,,,,[estaciones],enojo,1,desvanecer,1,malo,1,,,,,[NS],vuelta,1,dormir,1,,,,,,,[NS],,,,,,,,,,,[NS],,,,,,,,,,,[desvinculado],,,,,,,,,,,[NS],,,,,,,,,,,[vuelan],,,,,,,,,,,[pasar],problemas,1,subir,1,mal,1,poco,1,,,[rapido],futuro,1,,,,,,,,,[NS],,,,,,,,,,,[convencional],,,,,,,,,,
