numero,escuela,nivel,sexo,grado,edad,suma_total_sustantivos,suma_total_verbos,suma_total_adjetivos,suma_total_adverbios,total_palabras_clasificadas,total_palabras,gran_total
0,Americas Unidas,1,M,4,9,14,7,5,10,36,97,38
1,Americas Unidas,1,M,4,9,26,15,11,12,64,134,53
2,Americas Unidas,1,M,4,9,10,11,1,1,23,67,25
3,Americas Unidas,1,M,4,9,32,27,25,18,102,211,62
4,Americas Unidas,1,M,4,9,25,22,11,11,69,135,52
5,Americas Unidas,1,M,4,9,24,15,12,13,64,111,58
6,Americas Unidas,1,M,4,9,23,18,12,11,64,122,48
7,Americas Unidas,1,M,4,9,26,18,18,6,68,150,54
8,Americas Unidas,1,M,4,9,8,4,6,3,21,43,28
9,Americas Unidas,1,M,4,9,33,15,9,6,63,137,55
10,Americas Unidas,1,M,4,10,46,16,15,10,87,201,71
11,Americas Unidas,1,M,4,10,31,21,10,14,76,137,43
12,Americas Unidas,1,M,4,10,24,16,5,11,56,114,49
13,Americas Unidas,1,M,4,11,26,14,14,8,62,133,49
14,Americas Unidas,1,M,5,10,16,15,11,16,58,107,54
15,Americas Unidas,1,M,5,10,39,19,12,7,77,159,63
16,Americas Unidas,1,M,5,10,28,20,9,12,69,138,49
17,Americas Unidas,1,M,5,10,34,24,13,19,90,174,56
18,Americas Unidas,1,M,5,10,24,18,14,10,66,125,56
19,Americas Unidas,1,M,5,10,27,16,14,10,67,126,55
20,Americas Unidas,1,M,5,10,26,20,9,9,64,124,60
21,Americas Unidas,1,M,5,10,39,25,8,15,87,161,57
22,Americas Unidas,1,M,5,10,24,13,6,10,53,123,42
23,Americas Unidas,1,M,5,10,27,13,4,10,54,107,45
24,Americas Unidas,1,M,5,10,38,13,12,14,77,151,70
25,Americas Unidas,1,M,5,10,11,2,8,3,24,46,18
26,Americas Unidas,1,M,5,11,28,16,9,13,66,132,38
27,Americas Unidas,1,M,5,11,10,12,6,8,36,82,56
28,Americas Unidas,1,M,5,11,37,23,17,22,99,198,57
29,Americas Unidas,1,M,5,11,26,20,4,15,65,132,44
30,Americas Unidas,1,M,5,11,41,16,12,15,84,164,57
31,Americas Unidas,1,M,6,11,25,18,9,11,63,142,62
32,Americas Unidas,1,M,6,11,27,16,14,17,74,115,60
33,Americas Unidas,1,M,6,11,29,15,8,6,58,118,45
34,Americas Unidas,1,M,6,11,26,18,10,7,61,113,59
35,Americas Unidas,1,M,6,11,30,16,5,10,61,139,53
36,Americas Unidas,1,M,6,11,31,20,15,12,78,170,49
37,Americas Unidas,1,M,6,11,54,25,15,14,108,234,66
38,Americas Unidas,1,M,6,11,45,19,11,12,87,179,49
