"","word","ninos","author","proportion"
"1","algo extrano.",NA,"ninas",0.00471698113207547
"2","algo peludo, porque tiene mucho pelo",NA,"ninas",0.00471698113207547
"3","algo que tiene mucho pelo, porque asi es como se oye",0.00462962962962963,"ninas",NA
"4","alguien bueno",NA,"ninas",0.00471698113207547
"5","alguien que es bueno",NA,"ninas",0.00471698113207547
"6","alguien que tiene demasiados pelos, las pelotas son grandes",0.00462962962962963,"ninas",NA
"7","alguna persona con mucho pelo",0.00462962962962963,"ninas",NA
"8","animales, son peludos",NA,"ninas",0.00471698113207547
"9","animal porque los animales tienen pelos",NA,"ninas",0.00471698113207547
"10","arbol porque tiene muchas hojas y es redondo",NA,"ninas",0.00471698113207547
"11","ardilla",0.00462962962962963,"ninas",NA
"12","axila",0.00462962962962963,"ninas",NA
"13","bola de pelos de los gatos",0.00462962962962963,"ninas",NA
"14","cabello en tu cabeza",NA,"ninas",0.00471698113207547
"15","cabello tiene pelos",NA,"ninas",0.00471698113207547
"16","cabeza",NA,"ninas",0.00471698113207547
"17","cabeza de un perro",NA,"ninas",0.00471698113207547
"18","cabeza, es redonda y con cabello",NA,"ninas",0.00471698113207547
"19","cabeza porque es una pelota y tiene pelos*",0.00462962962962963,"ninas",NA
"20","cabeza porque tiene pelos",0.0138888888888889,"ninas",NA
"21","cabeza, tiene mucho cabello",NA,"ninas",0.00471698113207547
"22","chango porque tiene pelos",0.00462962962962963,"ninas",NA
"23","coco tiene pelos",NA,"ninas",0.00943396226415094
"24","como el zacate",0.00462962962962963,"ninas",NA
"25","conejo porque es peludo y lindo",NA,"ninas",0.00471698113207547
"26","creo que es ser genial",0.00462962962962963,"ninas",NA
"27","cualquier animal porque tiene pelos",0.00462962962962963,"ninas",NA
"28","cualquier otra mascota que penga pelos",0.00462962962962963,"ninas",NA
"29","cuando se llenan de pelos",NA,"ninas",0.00471698113207547
"30","cuando te cepillas mucho el cabello, se te quedan pelotas",NA,"ninas",0.00471698113207547
"31","cuando te enojas mucho",0.00462962962962963,"ninas",NA
"32","(dormido)",0.00462962962962963,"ninas",NA
"33","el abuelo porque tiene pelo",NA,"ninas",0.00471698113207547
"34","el cabello",NA,"ninas",0.00471698113207547
"35","el cabello desordenado",0.00462962962962963,"ninas",NA
"36","el cabello porque como tenemos mucho cabello, parece una bola de pelos.",NA,"ninas",0.00471698113207547
"37","el coco porque es redondo y circular y ademas tiene pelos",0.00462962962962963,"ninas",NA
"38","el gato porque a los gatos les gustan  las bolas de estambre",NA,"ninas",0.00471698113207547
"39","el gato se hace rollo de pelos",0.00462962962962963,"ninas",NA
"40","el hilo, porque es como un cabello",NA,"ninas",0.00471698113207547
"41","el mar porque esta muy grande",0.00462962962962963,"ninas",NA
"42","el mundo",0.00462962962962963,"ninas",NA
"43","el padre tiene mucho pelo",0.00462962962962963,"ninas",NA
"44","el pecho porque tambien crece pelo",0.00462962962962963,"ninas",NA
"45","el pelo porque se cae y podria hacer una pelota de pelos",NA,"ninas",0.00471698113207547
"46","el perro o el gato",NA,"ninas",0.00471698113207547
"47","el perro porque los perros estan muy peludos",NA,"ninas",0.00471698113207547
"48","el sol porque es redondo",0.00462962962962963,"ninas",NA
"49","el trapeador, porque tiene pelos",NA,"ninas",0.00471698113207547
"50","el vello porque cuando te lo quitas puedes hacer una pelota de vellos",0.00462962962962963,"ninas",NA
"51","es chida",0.00462962962962963,"ninas",NA
"52","es que es muy chido, porque cuando dice pelos se refiere a chido, valiente, etc.",0.00462962962962963,"ninas",NA
"53","es su perro porque tiene mucho pelo",0.00462962962962963,"ninas",NA
"54","esta muy bonita mi pelota",NA,"ninas",0.00471698113207547
"55","estrella brilla",NA,"ninas",0.00471698113207547
"56","es una almohada",NA,"ninas",0.00471698113207547
"57","es una pelota de pelusa porque tiene mucho pelo",NA,"ninas",0.00471698113207547
"58","gato",NA,"ninas",0.0188679245283019
"59","gato, chango, leon, perro porque tienen pelos*",0.00462962962962963,"ninas",NA
"60","gato, es peludo",NA,"ninas",0.00943396226415094
"61","gato, hamster porque los dos tienen mucho pelo",0.00462962962962963,"ninas",NA
"62","gato, perro, cabello, por su pelo*",NA,"ninas",0.00471698113207547
"63","gato perro leon",NA,"ninas",0.00471698113207547
"64","gato porque es de pelos",NA,"ninas",0.00471698113207547
"65","gato porque es peludo",NA,"ninas",0.00943396226415094
"66","gato porque es peludo *",NA,"ninas",0.00471698113207547
"67","gato porque es peludo*",NA,"ninas",0.0141509433962264
"68","gato porque esta cubierto de pelos",NA,"ninas",0.00471698113207547
"69","gato porque son peluditos",NA,"ninas",0.00471698113207547
"70","gato porque son peludos",NA,"ninas",0.00471698113207547
"71","gato porque tiene mucho pelo",0.00925925925925926,"ninas",NA
"72","gato porque tiene muchos pelos",0.00462962962962963,"ninas",0.00471698113207547
"73","gato porque tiene pelo*",NA,"ninas",0.00471698113207547
"74","gato porque tiene pelos",0.00462962962962963,"ninas",NA
"75","gato porque tiene pelos*",NA,"ninas",0.00471698113207547
"76","gato, porque tiene pelos",0.00462962962962963,"ninas",NA
"77","gatos porque hay gatos que parecen una bola de pelos",NA,"ninas",0.00471698113207547
"78","gatos sueltan pelos",NA,"ninas",0.00471698113207547
"79","gatos tienen mucho pelo",NA,"ninas",0.00471698113207547
"80","hamster, porque el chiste es que tenga pelos",0.00462962962962963,"ninas",NA
"81","hamster, porque tiene alrededor de su rostro pelo",0.00462962962962963,"ninas",NA
"82","jamster porque tiene pelo",0.00462962962962963,"ninas",NA
"83","juntando muchos pelos y hacerlos bolas",NA,"ninas",0.00471698113207547
"84","la axila",0.00462962962962963,"ninas",NA
"85","la bola de estambre porque tiene muchos pelos",NA,"ninas",0.00471698113207547
"86","la cabeza",0.00462962962962963,"ninas",NA
"87","la cabeza de chewbacca",0.00462962962962963,"ninas",NA
"88","la cabeza esta llena de muchos pelos",NA,"ninas",0.00471698113207547
"89","la cabeza porque tiene cabello",0.00462962962962963,"ninas",NA
"90","la cabeza porque tiene cabellos",NA,"ninas",0.00471698113207547
"91","la cabeza porque tiene mucho cabello",NA,"ninas",0.00471698113207547
"92","la cabeza porque tiene mucho pelo",0.00462962962962963,"ninas",NA
"93","la cabeza porque tiene muchos pelos",0.00462962962962963,"ninas",NA
"94","la cabeza porque tiene pelo",0.00462962962962963,"ninas",NA
"95","la de los gatos",0.00462962962962963,"ninas",NA
"96","la mascota",NA,"ninas",0.00471698113207547
"97","la parte de arriba de un arbol",NA,"ninas",0.00471698113207547
"98","la pelota de picos",0.00462962962962963,"ninas",NA
"99","la ropa, porque puede que la ropa tenga muchas pelusas que parezcan pelos",NA,"ninas",0.00471698113207547
"100","las cabezas de los demas",0.00462962962962963,"ninas",NA
"101","las manos porque salen pelos",0.00462962962962963,"ninas",NA
"102","leon, porque tienen mucho pelo*",NA,"ninas",0.00471698113207547
"103","los gatos",NA,"ninas",0.00471698113207547
"104","los gatos hacen pelotas de pelos cuando se lamben",NA,"ninas",0.00471698113207547
"105","los gatos o perros tienen pelos",NA,"ninas",0.00471698113207547
"106","los gatos porque tienen mucho pelo",NA,"ninas",0.00471698113207547
"107","los pelos que se caen forman pelota de pelos porque a las mujeres se nos cae el pelo",NA,"ninas",0.00471698113207547
"108","los perros y la cabeza",0.00462962962962963,"ninas",NA
"109","mi abuelita, es muy activa",NA,"ninas",0.00471698113207547
"110","mi abuelito es una pelota de pelos",0.00462962962962963,"ninas",NA
"111","mi amigo es una pelota de pelos, mi amigo es lo mejor",0.00462962962962963,"ninas",NA
"112","mi axila porque tiene pelos",0.00462962962962963,"ninas",NA
"113","mi cabello, porque cuando te peinas te puedes hacer chinos",0.00462962962962963,"ninas",NA
"114","mi cabello porque esta hecho de pelos",NA,"ninas",0.00471698113207547
"115","mi cabello porque se la pasa enredado ",0.00462962962962963,"ninas",NA
"116","mi cabeza ",NA,"ninas",0.00471698113207547
"117","mi cabeza es una pelota de pelos porque es, asi :)",NA,"ninas",0.00471698113207547
"118","mi cabeza, porque tengo mucho cabello",NA,"ninas",0.00471698113207547
"119","mi cabeza porque tengo mucho pelo",NA,"ninas",0.00471698113207547
"120","mi cabeza, tiene mucho cabello",0.00462962962962963,"ninas",NA
"121","mi cabeza tiene mucho pelo",NA,"ninas",0.00471698113207547
"122","mi corazon",NA,"ninas",0.00471698113207547
"123","mi gato",NA,"ninas",0.00471698113207547
"124","mi gato porque suelta mucho pelo",0.00462962962962963,"ninas",NA
"125","mi gato porque tiene pelos",0.00462962962962963,"ninas",NA
"126","mi hermana, siempre se enoja",NA,"ninas",0.00471698113207547
"127","mi hermanita porque se enoja mucho",NA,"ninas",0.00471698113207547
"128","mi hermano porque es ruidoso",0.00462962962962963,"ninas",NA
"129","mi hermano porque tiene el pelo largo",NA,"ninas",0.00471698113207547
"130","mi mama",0.00462962962962963,"ninas",NA
"131","mi mama o mi hermano",NA,"ninas",0.00471698113207547
"132","mi mama porque tiene mucho pelo",NA,"ninas",0.00471698113207547
"133","mi oso panda",0.00462962962962963,"ninas",NA
"134","mi papa, porque a veces esta peludo",NA,"ninas",0.00471698113207547
"135","mi papa, un chango, un gato, un leon, un gorila",0.00462962962962963,"ninas",NA
"136","mi perrito",NA,"ninas",0.00471698113207547
"137","mi perrito porque es gordo y peludo*",0.00462962962962963,"ninas",NA
"138","mi perro",NA,"ninas",0.00471698113207547
"139","mi perro, esta lleno de pelos",NA,"ninas",0.00471698113207547
"140","mi perro es una pelota de pelos",0.00925925925925926,"ninas",NA
"141","mi perro porque tiene mucho pelo",0.00462962962962963,"ninas",NA
"142","mi perro porque tiene muchos pelos",0.00462962962962963,"ninas",NA
"143","mi perro porque tiene pelos",0.00462962962962963,"ninas",NA
"144","mi primo es una pelota divertida",0.00462962962962963,"ninas",NA
"145","mi primo porque puede ser tambien su primo",NA,"ninas",0.00471698113207547
"146","mi primo tiene pelos",0.00462962962962963,"ninas",NA
"147","mi vecina porque, que se?",0.00462962962962963,"ninas",NA
"148","mono, porque es peludo*",NA,"ninas",0.00471698113207547
"149","muchos pelos, porque una pelota es como mucho",0.00462962962962963,"ninas",NA
"150","nada",NA,"ninas",0.00471698113207547
"151","nada porque no existen esas pelotas",0.00462962962962963,"ninas",NA
"152","no contesto",NA,"ninas",0.00471698113207547
"153","no entiendo",0.00925925925925926,"ninas",NA
"154","no existe",0.00462962962962963,"ninas",NA
"155","no lo se",0.00462962962962963,"ninas",NA
"156","no lo se es como si fuera de que el balon esta duro",0.00462962962962963,"ninas",NA
"157","no respondio",0.00462962962962963,"ninas",NA
"158","no se",0.0277777777777778,"ninas",0.0235849056603774
"159","no se me ocurre nada",NA,"ninas",0.00471698113207547
"160","no se me ocurre ninguna",0.00462962962962963,"ninas",NA
"161","no se, no se me ocurre otra cosa",0.00462962962962963,"ninas",NA
"162","no se porque dije mascota",NA,"ninas",0.00471698113207547
"163","o sea que es una pelota peluda",0.00462962962962963,"ninas",NA
"164","oso de peluche porque tiene mucho pelo",NA,"ninas",0.00471698113207547
"165","oso, es peludo",NA,"ninas",0.00471698113207547
"166","otra puede ser mi perro tiene mucho cabello y esta gordito",NA,"ninas",0.00471698113207547
"167","otro gato.",NA,"ninas",0.00471698113207547
