"line","word"
1,"porque es alegre"
2,"no, porque las pelotas no cantan "
3,"si, pelota la que le platico"
4,"no, porque no existe una pelota que canta "
5,"no, porqué una pelota no puee hablar."
6,"no, porque las pelotas no cantan "
7,"no,porqué no hablan"
8,"si,es una metafora "
9,"si, porqué te diviertes jugando con ella."
10,"si,es algo qué nos gusta y se puede decir así"
11,"no, porque en realidad es una metáfora y las metáforas son mentira "
12,"si, porqué se inspira "
13,"no, porque me gusta mucho la frase"
14,"si."
15,"si, es algo significativo o algo"
16,"si, porque va diciendo todo con la frase pelota"
17,"no, porque como que no se escucha bien"
18,"no, porque no no tiene vida y no tiene boca"
19,"no, porque no rima"
20,"no, si no todas las pelotas estuvieran cantando "
21,"no, porque no tienen boca"
22,"no, porque  no puede ser mi mamá una pelota que canta"
23,"si, porque  a cada rato canta"
24,"no, porque las pelotas no cantan "
25,"si, es como me dijieron mi mamá canta"
27,"no se canta ¡no tiene sentido!"
28,"si, porque si"
29,"no, porque nomas son pelotas"
30,"si, porque alguien se expresa con anhelo"
31,"no, porque mi mamá no canta"
32,"si, porque si rima"
33,"no, porque las pelotas solo se mueven"
34,"no, no sé"
35,"si, porque su máma canta"
36,"si, porque es cantada en todo"
37,"no, porque no puedo encontrar el ritmo del poema"
38,"si, a sentido figurado podría ser una radio"
39,"si, porqué si da sentido eso de pelotas"
40,"si, cuando una persona canta"
41,"no, porque las pelotas no cantan "
42,"si, porque es un juguete para rebotar, rodar y aventar."
43,"si, porqué suena muchas veces"
44,"si, porque canta"
45,"si,  figurado porque está hablando con pret"
46,"no, porqúe no existen esas pelotas y menos su familia"
47,"si, es un poema"
48,"si, se refiere a jugar"
49,"si, porque son juguetes"
50,"no, porqué no canta"
51,"si, porque lo revise 3"
52,"si, porque es una persona qué canta "
53,"no, porque es algo muy raro "
54,"no, porqué las pelotas no son seres vivos"
55,"si, porqué están describiendo a las personas y a los seres vivos como las pelotas"
56,"no, porque las pelotas no cantan "
57,"no, porque las pelotas no tienen boca"
58,"no, porque las pelotas no cantan "
59,"si, porque tu te puedes expresar"
60,"no, porque las pelotas no cantan "
61,"no, porque una pelota no pueden ser todas las cosas"
62,"no, porque las pelotas no cantan "
63,"si, porque rima*"
64,"si, porque es como si dijeras que una persona canta pero con pelotas"
65,"no, porque ninguna pelota puede cantar"
66,"no, porque las pelotas no cantan "
67,"no, porque las pelotas no hablan"
68,"no, porque las pelotas no cantan "
69,"no, porque una pelota no tiene boca"
70,"si, pelota en movimiento"
71,"no, porque las pelotas no cantan "
72,"si, porque es como si dijeras que alguien que canta"
73,"no, porque las pelotas no pueden cantar"
74,"si, porque habla mucho"
75,"no, porque las pelotas no cantan* "
76,"no, porque las pelotas no se mueven ni hablan"
77,"no, porque las pelotas no cantan"
78,"si, porque tal vez se refiere a que rebota"
79,"si, porque es redonda y circular"
80,"si, porque se refiere a objetos"
81,"no le entiendo"
82,"no, porque las pelotas no cantan"
83,"no, porque no rima tanto pelota que canta porque no termina igual"
84,"si, quiere decir que su mamá es una persona que canta"
85,"no, porque las pelotas no tienen boca"
86,"si, porque las mamas luego cantan"
87,"no, no se"
88,"si, porque habla de puras pelotas y cuando lo leí si tenía sentido"
89,"no, porque no tiene sentido"
90,"si, porque su mamá canta"
91,"no, porque no rima"
92,"no, porque las pelotas no cantan"
93,"no, porque las pelotas no hablan"
94,"no, porque las pelotas rebotan"
95,"no, porque las pelotas no cantan"
96,"no, porque las pelotas no cantan"
97,"no, porque las pelotas no cantan* "
98,"no, porque no rima"
99,"no, porque no rima"
100,"no, porque una pelota no canta "
101,"no, porque ninguna pelota canta"
102,"(dormido)"
103,"si, el sol es redondo y con fuego"
104,"no tiene sentido porque casi no rima"
105,"no, porque las pelotas no cantan* "
106,"no, mi mamá no canta o tal vez las demás igual no"
107,"si, porque tiene muchas rimas"
108,"si, tiene un poco de sentido"
109,"no, porque las pelotas no cantan* "
110,"si, porque cuando dice la pelota que canta se refiere a sus cabezas"
111,"no, porque no tiene ningun efecto"
112,"si, es una frase feliz y divertida y alegre"
113,"no, ninguna pelota puede cantar"
114,"si, porque rima*"
115,"no, porque las pelotas no cantan* "
116,"si, porque la mamá puede cantar"
117,"si, porque si se entiende"
118,"no, porque yo lo digo"
119,"si, porque dices una rima"
120,"no, porque las pelotas no cantan"
121,"no, porque ellas no hablan"
122,"no, porque las pelotas no cantan* "
123,"no, no sé"
