"line","word"
1,"no"
2,"no"
3,"no"
4,"no"
5,"si"
6,"si"
7,"no"
8,"si"
9,"si"
10,"no"
11,"no"
12,"si"
13,"si"
14,"no"
15,"si"
16,"si"
17,"si"
18,"si"
19,"no"
20,"no"
21,"no"
22,"no"
23,"no"
24,"no"
25,"si"
26,"si"
27,"no"
28,"no"
29,"si"
30,"si"
31,"si"
32,"no"
33,"no"
34,"no"
35,"no"
36,"no"
37,"no"
38,"no"
39,"no"
40,"no"
41,"si"
42,"si"
43,"si"
44,"no"
45,"si"
46,"no"
47,"si"
48,"no"
49,"no"
50,"no"
51,"no"
52,"no"
53,"si"
54,"no"
55,"no"
56,"si"
57,"no"
58,"si"
59,"si"
60,"no"
61,"no"
62,"si"
63,"si"
64,"si"
65,"no"
66,"no"
67,"si"
68,"si"
69,"no"
70,"si"
71,"no"
72,"si"
73,"no"
74,"no"
75,"no"
76,"si"
77,"no"
78,"no"
79,"no"
80,"no"
81,"no"
82,"si"
83,"no"
84,"no"
85,"si"
86,"no"
87,"no"
88,"no"
89,"no"
90,"no"
91,"no"
92,"si"
93,"no"
94,"no"
95,"no"
96,"no"
97,"no"
98,"si"
99,"no"
100,"no"
101,"no"
102,"no"
103,"si"
104,"no"
105,"no"
106,"no"
107,"si"
108,"si"
109,"si"
110,"no"
111,"no"
112,"no"
113,"no"
114,"no"
115,"no"
116,"si"
117,"si"
118,"no"
119,"no"
120,"no"
121,"no"
122,"no"
123,"no"
124,"si"
125,"no"
126,"no"
127,"no"
128,"no"
129,"no"
130,"no"
131,"no"
132,"no"
133,"si"
134,"no"
135,"no"
136,"no"
137,"no"
138,"no"
139,"no"
140,"no"
141,"si"
142,"si"
143,"si"
144,"no"
145,"no"
146,"no"
147,"no"
148,"si"
149,"si"
150,"no"
151,"no"
152,"si"
153,"no"
154,"si"
155,"no"
156,"no"
157,"no"
158,"si"
159,"si"
160,"no"
161,"si"
162,"si"
163,"no"
164,"no"
165,"no"
166,"no"
167,"no"
168,"si"
169,"si"
170,"no"
171,"no"
172,"no"
173,"si"
174,"no"
175,"no"
176,"no"
177,"si"
178,"no"
179,"si"
180,"no"
181,"si"
182,"no"
183,"no"
184,"no"
185,"no"
186,"no"
187,"no"
188,"no"
189,"no"
190,"no"
191,"no"
192,"no"
193,"no"
194,"no"
195,"no"
196,"no"
197,"si"
198,"no"
199,"si"
200,"no"
201,"no"
202,"no"
203,"no"
204,"no"
205,"no"
206,"no"
207,"si"
208,"no"
209,"si"
210,"si"
211,"si"
212,"si"
213,"si"
214,"no"
215,"no"
216,"si"
217,"no"
218,"si"
219,"no"
220,"no"
221,"no"
222,"si"
223,"si"
224,"si"
225,"no"
226,"no"
227,"invalida x sistema"
228,"no"
229,"no"
230,"si"
231,"si"
232,"si"
233,"si"
234,"si"
235,"si"
236,"no"
237,"no"
238,"no"
239,"si"
240,"no"
241,"no"
242,"si"
243,"si"
244,"si"
245,"si"
246,"si"
247,"si"
248,"no"
249,"si"
250,"no"
251,"no"
252,"no"
253,"no"
254,"si"
255,"no"
256,"no"
257,"no"
258,"si"
259,"no"
260,"no"
261,"no"
262,"no"
263,"si"
264,"no"
265,"no"
266,"no"
267,"no"
268,"si"
269,"si"
270,"no"
271,"si"
272,"no"
273,"no"
274,"no"
275,"si"
276,"no"
277,"no"
278,"no"
279,"si"
280,"no"
281,"no"
282,"no"
283,"si"
284,"no"
285,"no"
286,"no"
287,"no"
288,"no"
289,"no"
290,"si"
291,"no"
292,"si"
293,"no"
294,"si"
295,"si"
296,"si"
297,"si"
298,"no"
299,"si"
300,"no"
301,"si"
302,"si"
303,"si"
304,"si"
305,"no"
306,"si"
307,"no"
308,"no"
309,"no"
310,"si"
311,"si"
312,"si"
313,"si"
314,"no"
315,"no"
316,"no"
317,"si"
318,"no"
319,"no"
320,"si"
321,"no"
322,"no"
323,"si"
324,"si"
325,"si"
326,"si"
327,"no"
328,"si"
329,"no"
330,"no"
331,"no"
332,"no"
333,"no"
334,"no"
335,"si"
336,"no"
337,"no"
338,"no"
339,"si"
340,"no"
341,"si"
342,"no"
343,"no"
344,"si"
345,"no"
346,"no"
347,"no"
348,"no"
349,"si"
350,"si"
351,"si"
352,"no"
353,"si"
354,"si"
355,"no"
356,"si"
357,"no"
358,"no"
359,"si"
360,"no"
361,"no"
362,"no"
363,"no"
364,"si"
365,"no"
366,"no"
367,"si"
368,"si"
369,"no"
370,"no"
371,"no"
372,"si"
373,"si"
374,"si"
375,"no"
376,"no"
377,"no"
378,"si"
379,"si"
380,"no"
381,"no"
382,"no"
383,"no"
384,"si"
385,"no"
386,"si"
387,"no"
388,"no"
389,"no"
390,"si"
391,"si"
392,"si"
393,"no"
394,"si"
395,"si"
396,"si"
397,"si"
398,"si"
399,"si"
400,"no"
401,"si"
402,"no"
403,"no"
404,"no"
405,"si"
406,"si"
407,"si"
408,"si"
409,"no"
410,"si"
411,"si"
412,"no"
413,"no"
414,"si"
415,"si"
416,"si"
417,"si"
418,"si"
419,"si"
420,"si"
421,"si"
422,"no"
423,"no"
424,"si"
425,"no"
426,"no"
427,"si"
428,"no"
429,"si"
430,"no"
431,"no"
432,"si"
433,"no"
434,"no"
435,"no"
436,"no"
437,"no"
438,"no"
439,"si"
440,"si"
441,"no"
442,"si"
443,"no"
444,"si"
445,"si"
446,"no"
447,"no"
448,"no"
449,"si"
450,"si"
451,"si"
452,"no"
453,"si"
454,"si"
455,"si"
456,"si"
457,"no"
458,"no"
459,"si"
460,"si"
461,"si"
462,"si"
463,"si"
464,"no"
465,"no"
466,"no"
467,"no"
468,"no"
469,"no"
470,"no"
471,"si"
