Secundaria,,,,,,,,Primaria,,,,,,,,,,word,secundaria,author,proportion
1,sol,0.409766454,,sol,0.409766454,sol,,1,0.351288056,sol,,0.351288056,sol,sol,,,1,sol,0.426751592,0.351288056,sol
,el sol,0.014861996,,balon,0.06581741,balon,,,,,,0.058548009,balon,balon,,,2,balon,0.072186836,0.060889929,balon
,elsol,0.002123142,,senor,0.027600849,,,,,,,0.039812646,nino,,,,3,senor,0.027600849,0.039812646,nino
,sol,0.426751592,,abuelo,0.023354565,,,,,,,0.025761124,abuelo,,,,4,abuelo,0.023354565,0.025761124,abuelo
,,,,papa,0.023354565,papa,,,,,,0.025761124,papa,papa,,,5,papa,0.027600849,0.030444965,papa
,,,,perro,0.021231423,perro,,,,,,0.023419204,no contesto,no contesto,,,6,perro,0.023354565,0.044496486,no contesto
,,,,meteorito,0.01910828,meteorito,,2,0.058548009,balon,,0.023419204,senor,senor,,,7,meteorito,0.02760085,0.025761124,senor
,,,,el sol,0.014861996,sol,,,0.00234192,balon? ,,0.023419204,vecino,vecino,,,8,nino,0.014861996,0.025761124,vecino
2,balon,0.06581741,,nino,0.014861996,,,,0.060889929,balon,,0.018735363,fuego,,,,9,amor,0.012738854,0.018735363,fuego
,balon de futbol,0.002123142,,amor,0.012738854,,,,,,,0.016393443,hombre,,,,10,gato,0.008492569,0.016393443,hombre
,el balon,0.002123142,,gato,0.008492569,,,,,,,0.016393443,volcan,,,,,,,,
,un balon,0.002123142,,hombre,0.008492569,,,,,,,0.011709602,amor,,,,,,,,
,balon,0.072186836,,pelota,0.008492569,,,3,0.039812646,nino,,0.011709602,pelotas,,,,,,,,
,,,,tio,0.008492569,,,,,,,0.011709602,perro,,,,,,,,
,,,,circulo,0.006369427,,,,,,,0.009367682,encendedor,,,,,,,,
3,senor,0.027600849,,cometa,0.006369427,,,,,,,0.009367682,enojo,,,,,,,,
,,,,hermano,0.006369427,,,,,,,0.009367682,meteorito,,,,,,,,
,,,,horno,0.006369427,,,,,,,0.009367682,pelota,,,,,,,,
,,,,joven,0.006369427,,,4,0.025761124,abuelo,,0.007025761,cerillo,,,,,,,,
4,abuelo,0.023354565,,juego,0.006369427,,,,,,,0.007025761,circulo,,,,,,,,
,,,,no,0.006369427,,,,,,,0.007025761,no,,,,,,,,
,,,,tiempo,0.006369427,,,,,,,0.007025761,no respondio,no contesto,,,,,,,
,,,,vecino,0.006369427,,,,,,,0.007025761,tio,,,,,,,,
,,,,amigo,0.004246285,,,5,0.025761124,papa,,0.004683841,amanecer,,,,,,,,
,,,,asteroide,0.004246285,,,,0.004683841,padre,,0.004683841,arma,,,,,,,,
5,papa,0.023354565,,corazon,0.004246285,,,,0.030444965,papa,,0.004683841,bombero,,,,,,,,
,padre,0.002123142,,incendio,0.004246285,,,,,,,0.004683841,calor,,,,,,,,
,pap?Å,0.002123142,,meteoro,0.004246285,meteorito,,,,,,0.004683841,carbon,,,,,,,,
,papa,0.027600849,,metiorito,0.004246285,meteorito,,,,,,0.004683841,dragon,,,,,,,,
,,,,mundo,0.004246285,,,6,0.023419204,no contesto,,0.004683841,fenomeno,,,,,,,,
,,,,ninja rojo,0.004246285,,,,0.007025761,no respondio,,0.004683841,gas,,,,,,,,
,,,,pelotas,0.004246285,,,,0.004683841,no entiendo,,0.004683841,gato,,,,,,,,
6,perro,0.021231423,,telefono,0.004246285,,,,0.00234192,no entiendo nada,,0.004683841,hermanito,,,,,,,,
,mi perro,0.002123142,,vida,0.004246285,,,,0.00234192,no la conozco,,0.004683841,hermano,,,,,,,,
,perro,0.023354565,,1s,0.002123142,,,,0.00234192,no se,,0.004683841,horno,,,,,,,,
,,,,alma,0.002123142,,,,0.00234192,que cosa? ,,0.004683841,no entiendo,no contesto,,,,,,,
,,,,alumno,0.002123142,,,,0.044496486,no contesto,,0.004683841,padre,papa,,,,,,,
,,,,amigos,0.002123142,,,,,,,0.004683841,si,,,,,,,,
7,meteorito,0.01910828,,antorcha,0.002123142,,,,,,,0.00234192,aceite,,,,,,,,
,meteoro,0.004246285,,aro,0.002123142,,,,,,,0.00234192,agua,,,,,,,,
,metiorito,0.004246285,,ave fenix,0.002123142,,,,,,,0.00234192,aire,,,,,,,,
,meteorito,0.02760085,,balon de futbol,0.002123142,balon,,7,0.023419204,senor,,0.00234192,amigo,,,,,,,,
,,,,bebe,0.002123142,,,,0.00234192,mr. senor,,0.00234192,asador,,,,,,,,
,,,,boliche,0.002123142,,,,0.025761124,senor,,0.00234192,asnigo,,,,,,,,
,,,,bragon,0.002123142,,,,,,,0.00234192,balon? ,balon,,,,,,,
8,nino,0.014861996,,bujo en su escoba,0.002123142,,,,,,,0.00234192,bascet,,,,,,,,
,,,,cabello,0.002123142,,,,,,,0.00234192,bola,,,,,,,,
,,,,caliente,0.002123142,,,,,,,0.00234192,bota,,,,,,,,
,,,,calor,0.002123142,,,8,0.023419204,vecino,,0.00234192,brujo,,,,,,,,
,,,,carlos,0.002123142,,,,0.00234192,vecino de pelo rojo,,0.00234192,carro,,,,,,,,
9,amor,0.012738854,,celular,0.002123142,,,,0.025761124,vecino,,0.00234192,casi,,,,,,,,
,,,,cerillo,0.002123142,,,,,,,0.00234192,chile,,,,,,,,
,,,,chico,0.002123142,,,,,,,0.00234192,coche,,,,,,,,
,,,,como yo,0.002123142,,,,,,,0.00234192,cocinero,,,,,,,,
,,,,conbirtio,0.002123142,,,,,,,0.00234192,coco,,,,,,,,
10,gato,0.008492569,,corredor,0.002123142,,,9,0.018735363,fuego,,0.00234192,como,,,,,,,,
,,,,deporte,0.002123142,,,,,,,0.00234192,corazon,,,,,,,,
,,,,diablo,0.002123142,,,,,,,0.00234192,cualquiera,,,,,,,,
,,,,dice que,0.002123142,,,,,,,0.00234192,cuando se enoja,,,,,,,,
