"","word","n"
"1","sol",73
"2","balon",12
"3","nino",11
"4","abuelo",8
"5","papa",7
"6","vecino",7
"7","no contesto",6
"8","senor",6
"9","amor",5
"10","volcan",4
"11","enojo",3
"12","pelota",3
"13","perro",3
"14","carbon",2
"15","encendedor",2
"16","hermanito",2
"17","horno",2
"18","meteorito",2
"19","no",2
"20","pelotas",2
"21","amanecer",1
"22","asador",1
"23","asnigo",1
"24","bascet",1
"25","bombero",1
"26","bota",1
"27","brujo",1
"28","calor",1
"29","cerillo",1
"30","chile",1
"31","circulo",1
"32","coche",1
"33","coco",1
"34","como",1
"35","cuando se enoja",1
"36","cuando se enojan",1
"37","de el",1
"38","dragon",1
"39","enojon",1
"40","es una pelota",1
"41","foco",1
"42","fuego",1
"43","gas",1
"44","globo",1
"45","hermano",1
"46","hombre",1
"47","jacinto",1
"48","jaguar",1
"49","jardin",1
"50","juego",1
"51","juguete",1
"52","metiorito",1
"53","muy chida",1
"54","naranja",1
"55","no entiendo",1
"56","no se",1
"57","oido",1
"58","oso",1
"59","pelota de fuego",1
"60","porque",1
"61","rojo",1
"62","si",1
"63","tiempo",1
"64","tiene unas",1
"65","tio",1
"66","una fruga",1
"67","vapor",1
"68","vestido",1
"69","yeimi",1
"70",NA,1
