"","word","n"
"1","sol",73
"2","nino",11
"3","abuelo",8
"4","balon",8
"5","papa",7
"6","no contesto",6
"7","amor",5
"8","senor",5
"9","balon ",4
"10","vecino ",4
"11","volcan",4
"12","enojo",3
"13","pelota",3
"14","perro",3
"15","vecino",3
"16","carbon",2
"17","hermanito",2
"18","horno",2
"19","meteorito",2
"20","pelotas",2
"21","amanecer",1
"22","asador",1
"23","asnigo",1
"24","bascet",1
"25","bombero",1
"26","bota",1
"27","brujo",1
"28","calor",1
"29","cerillo",1
"30","chile",1
"31","circulo",1
"32","coche",1
"33","coco",1
"34","como",1
"35","cuando se enoja",1
"36","cuando se enojan",1
"37","de el ",1
"38","dragon",1
"39","encendedor",1
"40","encendedor ",1
"41","enojon",1
"42","es una pelota",1
"43","foco",1
"44","fuego",1
"45","gas",1
"46","globo",1
"47","hermano",1
"48","hombre",1
"49","jacinto",1
"50","jaguar",1
"51","jardin",1
"52","juego",1
"53","juguete",1
"54","metiorito",1
"55","muychida",1
"56","naranja",1
"57","no",1
"58","no ",1
"59","no entiendo",1
"60","no se",1
"61","oido",1
"62","oso",1
"63","pelota de fuego",1
"64","porque",1
"65","rojo",1
"66","sarten",1
"67","si",1
"68","tiempo",1
"69","tiene unas",1
"70","tio",1
"71","una fruga",1
"72","vapor",1
"73","vestido",1
"74","yeimi",1
