"","word","n"
"1","perro",117
"2","cabeza",51
"3","gato",49
"4","papa",37
"5","pelota",20
"6","mama",16
"7","cabello",15
"8","hermano",12
"9","hermana",9
"10","mascota",7
"11","amigo",6
"12","pelo",6
"13","coco",5
"14","hermanito",5
"15","pelota de pelos",5
"16","perrito",4
"17","perrita",3
"18","abuela",2
"19","cepillo",2
"20","maestra",2
"21","mi cabeza",2
"22","mi perro",2
"23","no contesto",2
"24","no se",2
"25","pelotas",2
"26","primo",2
"27","a ",1
"28","amiga",1
"29","balon",1
"30","bola",1
"31","bonita",1
"32","carro",1
"33","circulo",1
"34","conejo",1
"35","corazon",1
"36","cuerpo",1
"37","cuyo",1
"38","(dormido)",1
"39","ermos",1
"40","gatito",1
"41","jabon",1
"42","karen",1
"43","la pelota",1
"44","madrina",1
"45","mi abuela",1
"46","mi fenomeno",1
"47","mi hermano",1
"48","mi mama",1
"49","mi papa",1
"50","mi pelo",1
"51","mi primo",1
"52","mundo",1
"53","muneca",1
"54","muy feo",1
"55","no",1
"56","""no entendio""",1
"57","pedro",1
"58","pelos",1
"59","pelota pelos",1
"60","pelusa",1
"61","pierna",1
"62","planeta",1
"63","pluma",1
"64","ramon",1
"65","sacate",1
"66","tia",1
"67","tio",1
"68",NA,1
