"line","word"
1,"gato"
2,"cabeza"
3,"juguete"
4,"balon"
5,"gato"
6,"cabeza"
7,"perro"
8,"papa"
9,"monitor"
10,"gato"
11,"perro"
12,"perro"
13,"cabeza"
14,"papa"
15,"mi perro"
16,"mascota"
17,"mascota"
18,"cabeza"
19,"la cabeza"
20,"cabeza"
21,"perro"
22,"hermano"
23,"gato"
24,"perro"
25,"gato"
26,"perro"
27,"mi pelota"
28,"cabeza"
29,"perro"
30,"gato"
31,"mascota"
32,"salon"
33,"una cabeza"
34,"cabeza"
35,"hermano"
36,"hermana"
37,"gato"
38,"pelota"
39,"gato"
40,"gato"
41,"perro"
42,"amigo"
43,"gato"
44,"cabeza"
45,"gato"
46,"dedos"
47,"balon"
48,"cabesa"
49,"no"
50,"perro"
51,"pelota :v"
52,"hermana"
53,"peine"
54,"perro"
55,"mi jugete es una pelota de pelos"
56,"dfq3f3"
57,"perro gordo"
58,"perro"
59,"cabeza"
60,"gato"
61,"perro"
62,"gato"
63,"cabesa"
64,"cabesa"
65,"perro"
66,"cabeza"
67,"juego"
68,"hermano"
69,"papa"
70,"gato"
71,"casa"
72,"papa"
73,"mascota"
74,"perro"
75,"cuerpo"
76,"bola"
77,"pelota"
78,"mi perro"
79,"perro"
80,"un gato"
81,"cabello"
82,"cavesa"
83,"y son tanntas queno puedo contarlas"
84,"cabeza"
85,"cabeza"
86,"cabeza"
87,"hermano"
88,"mama"
89,"mi cabesa"
90,"perro"
91,"perro"
92,"cabesa"
93,"gato"
94,"cabello"
95,"cabeza"
96,"hermana"
97,"perro"
98,"cosita es algo grande y"
99,"mascota"
100,"amigo"
101,"papa"
102,"perro"
103,"papa"
104,"mi perro"
105,"amiguito"
106,"mascota"
107,"perro"
108,"mi gato"
109,"peluche"
110,"mi perro es una pelota de pelos"
111,"cabeza"
112,"mascota"
113,"mama"
114,"brother"
115,"hamster"
116,"perra"
117,"perro"
118,"perrito"
119,"liliana"
120,"pojhgfhddgft"
121,"perro"
122,"mi perro"
123,"mi cabesa"
124,"mascota"
125,"hermano"
126,"perro"
127,"perro"
128,"cabeza"
129,"perro"
130,"perro"
131,"pelo"
132,"perro"
133,"gato"
134,"pelota"
135,"perro"
136,"amigo"
137,"perro"
138,"cabeza"
139,"perro"
140,"gato"
141,"perro"
142,"perro"
143,"mama"
144,"mascota"
145,"perro"
146,"papa"
147,"gato"
148,"perro"
149,"gato"
150,"gato"
151,"perro"
152,"vida"
153,"perro"
154,"hermana"
155,"cabeza"
156,"gato"
157,"mascota"
158,"perro"
159,"gato"
160,"razon"
161,"gato"
162,"perro"
163,"cabeza"
164,"gato"
165,"gato"
166,"perros"
167,"mascota"
168,"perro"
169,"gato"
170,"perro"
171,"mascota"
172,"perro"
173,"perro"
174,"perro"
175,"perro"
176,"gatos"
177,"hamster"
178,"mascota"
179,"gato"
180,"perro"
181,"mi novia"
182,"perro"
183,"gato"
184,"cabello"
185,"perro"
186,"sombrero"
187,"personalidad"
188,"cabeza"
189,"cabeza"
190,"cabeza"
191,"gato"
192,"cabeza"
193,"hermanita"
194,"cabeza"
195,"sombrero"
