,word,secundaria,author,proportion
1,1s,0.002123142,primaria,NA
2,abuelo,0.023354565,primaria,0.025761124
3,aceite,NA,primaria,0.00234192
4,agua,NA,primaria,0.00234192
5,aire,NA,primaria,0.00234192
6,alma,0.002123142,primaria,NA
7,alumno,0.002123142,primaria,NA
8,amanecer,NA,primaria,0.004683841
9,amigo,0.004246285,primaria,0.00234192
10,amigos,0.002123142,primaria,NA
11,amor,0.012738854,primaria,0.011709602
12,antorcha,0.002123142,primaria,NA
13,arma,NA,primaria,0.004683841
14,aro,0.002123142,primaria,NA
15,asador,NA,primaria,0.00234192
16,asnigo,NA,primaria,0.00234192
17,asteroide,0.004246285,primaria,NA
18,ave fenix,0.002123142,primaria,NA
19,balon,0.06581741,primaria,0.058548009
20,balon de futbol,0.002123142,primaria,NA
21,balon? ,NA,primaria,0.00234192
22,bascet,NA,primaria,0.00234192
23,bebe,0.002123142,primaria,NA
24,bola,NA,primaria,0.00234192
25,boliche,0.002123142,primaria,NA
26,bombero,NA,primaria,0.004683841
27,bota,NA,primaria,0.00234192
28,bragon,0.002123142,primaria,NA
29,brujo,NA,primaria,0.00234192
30,bujo en su escoba,0.002123142,primaria,NA
31,cabello,0.002123142,primaria,NA
32,caliente,0.002123142,primaria,NA
33,calor,0.002123142,primaria,0.004683841
34,carbon,NA,primaria,0.004683841
35,carlos,0.002123142,primaria,NA
36,carro,NA,primaria,0.00234192
37,casi,NA,primaria,0.00234192
38,celular,0.002123142,primaria,NA
39,cerillo,0.002123142,primaria,0.007025761
40,chico,0.002123142,primaria,NA
41,chile,NA,primaria,0.00234192
42,circulo,0.006369427,primaria,0.007025761
43,coche,NA,primaria,0.00234192
44,cocinero,NA,primaria,0.00234192
45,coco,NA,primaria,0.00234192
46,cometa,0.006369427,primaria,NA
47,como,NA,primaria,0.00234192
48,como yo,0.002123142,primaria,NA
49,conbirtio,0.002123142,primaria,NA
50,corazon,0.004246285,primaria,0.00234192
51,corredor,0.002123142,primaria,NA
52,cualquiera,NA,primaria,0.00234192
53,cuando se enoja,NA,primaria,0.00234192
54,cuando se enojan,NA,primaria,0.00234192
55,de el,NA,primaria,0.00234192
56,deporte,0.002123142,primaria,NA
57,diablo,0.002123142,primaria,0.00234192
58,dice que,0.002123142,primaria,NA
59,(dormido),NA,primaria,0.00234192
